Source,SourceDoc,Admin0,Admin1,Admin2,Year,Crop,Season, Area , Yield , MT 
MOALP,AgroMOALP,,Rift Valley,Baringo,2000,Maize,,2550,0.46,1170
MOALP,AgroMOALP,,Rift Valley,Baringo,2001,Maize,Long Rains,10400,2.16,22446
MOALP,AgroMOALP,,Rift Valley,Baringo,2001,Maize,,10400,2.16,22446
MoALF,Spreadsheet,,Rift Valley,Baringo,2002,Maize,,19650,1.41,27614
MoALF,Spreadsheet,,Rift Valley,Baringo,2003,Maize,,18151.67,1.45,26385.08
MoALF,Spreadsheet,,Rift Valley,Baringo,2004,Maize,,23996,1.33,31926
MoALF,Spreadsheet,,Rift Valley,Baringo,2005,Maize,,13795,3.98,54904.1
MoALF,Spreadsheet,,Rift Valley,Baringo,2006,Maize,,20550,2.25,46242
MoALF,Spreadsheet,,Rift Valley,Baringo,2007,Maize,,28340,2.7,76518
MoALF,Spreadsheet,,Rift Valley,Baringo,2008,Maize,,20966.53,2.25,47193.62
MoALF,Spreadsheet,,Rift Valley,Baringo,2009,Maize,,27231,1.21,33066.99
MoALF,Spreadsheet,,Rift Valley,Baringo,2010,Maize,,27645,2.36,65247.17
MoALF,Spreadsheet,,Rift Valley,Baringo,2011,Maize,,31720,1.76,55784.7
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2012,Maize,,39753,1.86,74059.84
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2013,Maize,,29117,1.97,57389.61
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2014,Maize,,34960,1,34925.04
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2012,Millet,,1110,0.82,909.09
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2013,Millet,,3390,1.28,4332.42
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2014,Millet,,2301,1.32,3044.22
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2012,"Potatoes, Irish",,1709,15.13,25859
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2013,"Potatoes, Irish",,1764,15.25,26895
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2014,"Potatoes, Irish",,2013,16.36,32933.8
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2012,Rice,,820,3.6,2952
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2013,Rice,,900,4.24,3820
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2014,Rice,,40,2.25,89.9
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2012,Sorghum,,1110,0.82,909.09
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2013,Sorghum,,948,0.86,819.07
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2014,Sorghum,,849,0.9,764.1
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2012,Sweet potatoes,,283,2,556
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2013,Sweet potatoes,,172,6.6,1137
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2014,Sweet potatoes,,360.5,3.2,1146
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1970,Wheat,,NC,NC,NC
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1971,Wheat,,NC,NC,NC
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1972,Wheat,,NC,NC,NC
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1973,Wheat,,NC,NC,NC
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1974,Wheat,,NC,NC,NC
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1975,Wheat,,NC,NC,NC
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1976,Wheat,,NC,NC,NC
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1977,Wheat,,55,1.62,89
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1978,Wheat,,710,1.62,1150
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1979,Wheat,,450,1.44,648
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1980,Wheat,,224,1.8,403
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1981,Wheat,,402,2.11,847
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1982,Wheat,,239,1.8,430
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1983,Wheat,,196,3.32,650
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1984,Wheat,,187,0.9,168
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1985,Wheat,,265,2.7,716
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1986,Wheat,,265,2.7,716
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1987,Wheat,,166,0.9,149
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1988,Wheat,,1433,1.8,2579
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1989,Wheat,,1579,2.34,3695
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1990,Wheat,,559,1.27,710
MoALF,Spreadsheet,,Rift Valley,Baringo,1991,Wheat,,460,1.35,621
MoALF,Spreadsheet,,Rift Valley,Baringo,1992,Wheat,,118,2.07,244.26
MoALF,Spreadsheet,,Rift Valley,Baringo,1993,Wheat,,145,1.8,261
MoALF,Spreadsheet,,Rift Valley,Baringo,1994,Wheat,,400,2.25,900
MoALF,Spreadsheet,,Rift Valley,Baringo,1995,Wheat,,103,2.25,231.75
MoALF,Spreadsheet,,Rift Valley,Baringo,1996,Wheat,,150,2.5,375
MoALF,Spreadsheet,,Rift Valley,Baringo,1997,Wheat,,165,2,330
MoALF,Spreadsheet,,Rift Valley,Baringo,1998,Wheat,,210,1.8,378.38
MoALF,Spreadsheet,,Rift Valley,Baringo,1999,Wheat,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Baringo,2000,Wheat,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Baringo,2001,Wheat,,25,2.62,65.61
MoALF,Spreadsheet,,Rift Valley,Baringo,2002,Wheat,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Baringo,2003,Wheat,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Baringo,2004,Wheat,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Baringo,2005,Wheat,,30,2.5,75
MoALF,Spreadsheet,,Rift Valley,Baringo,2006,Wheat,,30,3,90
MoALF,Spreadsheet,,Rift Valley,Baringo,2007,Wheat,,10,3.5,35
MoALF,Spreadsheet,,Rift Valley,Baringo,2008,Wheat,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Baringo,2009,Wheat,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Baringo,2010,Wheat,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Baringo,2011,Wheat,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Baringo,2012,Wheat,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1975,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1976,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1977,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1978,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1979,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1980,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1981,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1982,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1983,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1984,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1985,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1986,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1987,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1988,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1989,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1990,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1991,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1992,"Beans, dry",,5238,0.72,3771.36
MoALF,Spreadsheet,,Rift Valley,Bomet,1993,"Beans, dry",,7915,0.67,5342.58
MoALF,Spreadsheet,,Rift Valley,Bomet,1994,"Beans, dry",,9000,0.72,6480
MoALF,Spreadsheet,,Rift Valley,Bomet,1995,"Beans, dry",,7669,0.45,3451.05
MoALF,Spreadsheet,,Rift Valley,Bomet,1996,"Beans, dry",,7500,0.27,2025
MoALF,Spreadsheet,,Rift Valley,Bomet,1997,"Beans, dry",,6130,0.3,1839.15
MoALF,Spreadsheet,,Rift Valley,Bomet,1998,"Beans, dry",,5520,0.28,1548.15
MoALF,Spreadsheet,,Rift Valley,Bomet,1999,"Beans, dry",,7900,0.55,4383
MoALF,Spreadsheet,,Rift Valley,Bomet,2000,"Beans, dry",,9700,0.5,4887
MoALF,Spreadsheet,,Rift Valley,Bomet,2001,"Beans, dry",,11232,0.45,5054.4
MoALF,Spreadsheet,,Rift Valley,Bomet,2002,"Beans, dry",,12000,0.45,5400.54
MoALF,Spreadsheet,,Rift Valley,Bomet,2003,"Beans, dry",,6270,0.9,5651.58
MoALF,Spreadsheet,,Rift Valley,Bomet,2004,"Beans, dry",,7070,1.27,9000.9
MoALF,Spreadsheet,,Rift Valley,Bomet,2005,"Beans, dry",,7215,0.7,5050.5
MoALF,Spreadsheet,,Rift Valley,Bomet,2006,"Beans, dry",,6604,0.75,4934.65
MoALF,Spreadsheet,,Rift Valley,Bomet,2007,"Beans, dry",,10374,1.2,12448
MoALF,Spreadsheet,,Rift Valley,Bomet,2008,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,2009,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,2010,"Beans, dry",,0,0,15369.3
MoALF,Spreadsheet,,Rift Valley,Bomet,2011,"Beans, dry",,21075,0.69,14449.05
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2012,"Beans, dry",,19138,0.59,11195.73
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2013,"Beans, dry",,20204,0.51,10364.65
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2014,"Beans, dry",,31857,0.68,21503.48
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2012,Cassava,,20,16.2,324
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2013,Cassava,,28,15.4,430
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2014,Cassava,,23,15,345
MoALF,Spreadsheet,,Rift Valley,Bomet,1975,Maize,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1976,Maize,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1977,Maize,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1978,Maize,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1979,Maize,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1980,Maize,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1981,Maize,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1982,Maize,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1983,Maize,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1984,Maize,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1985,Maize,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1986,Maize,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1987,Maize,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1988,Maize,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1989,Maize,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1990,Maize,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1991,Maize,,0,0,0
MOALP,AgroMOALP,,Rift Valley,Bomet,1992,Maize,,30000,2.7,81000
MOA,AgroMOA,,Rift Valley,Bomet,1993,Maize,Long Rains,38945,1.8,70101
MOA,AgroMOA,,Rift Valley,Bomet,1994,Maize,Long Rains,38585,3.15,121542.75
MOA,AgroMOA,,Rift Valley,Bomet,1995,Maize,Long Rains,33200,2.7,89640
MOA,AgroMOA,,Rift Valley,Bomet,1995,Maize,,33200,2.7,89640
MOA,AgroMOA,,Rift Valley,Bomet,1996,Maize,Long Rains,33100,3.15,104265
MOALP,AgroMOALP,,Rift Valley,Bomet,1997,Maize,Long Rains,37185,1.5,55777.5
