year,code,name,ASAL,DrySpell4_MAM,DrySpell4_MAMJJA,DrySpell4_OND
1981,51345,-999,1,4.4,10.7,6.3
1982,51345,-999,1,7,12.5,5.9
1983,51345,-999,1,8.5,15.5,6.9
1984,51345,-999,1,4.9,11.1,7.2
1985,51345,-999,1,5.8,10.5,8.1
1986,51345,-999,1,6.1,11.9,5.7
1987,51345,-999,1,6.4,12.6,7.6
1988,51345,-999,1,7.9,14,6.8
1989,51345,-999,1,5.5,12,6.2
1990,51345,-999,1,3.2,9.6,6.3
1991,51345,-999,1,6.5,13.7,7.9
1992,51345,-999,1,7.1,13.2,7.8
1993,51345,-999,1,6.8,13.3,8.6
1994,51345,-999,1,6.2,13.1,7.8
1995,51345,-999,1,6.8,12.5,6.5
1996,51345,-999,1,5.9,12,6.3
1997,51345,-999,1,4.4,10.6,6
1998,51345,-999,1,6.3,11.9,8
1999,51345,-999,1,5.7,12.7,7
2000,51345,-999,1,5.6,12.4,5.8
2001,51345,-999,1,7.1,11.6,6.3
2002,51345,-999,1,7.7,14.6,6.3
2003,51345,-999,1,4.9,10.3,6.2
2004,51345,-999,1,5.8,12,7.5
2005,51345,-999,1,6.2,11.6,7.9
2006,51345,-999,1,6.1,11.1,5.6
2007,51345,-999,1,5.6,12,7.6
2008,51345,-999,1,6.9,13.8,7.6
2009,51345,-999,1,6.4,12.4,6.7
2010,51345,-999,1,5.4,10.1,6.5
2011,51345,-999,1,7.3,12,6.7
2012,51345,-999,1,6.5,10.7,7.1
2013,51345,-999,1,6,12.4,6.5
2014,51345,-999,1,8.1,15.8,6.3
2015,51345,-999,1,5.7,13.7,6.6
2016,51345,-999,1,3.5,7.1,4.9
2017,51345,-999,1,5.7,12.1,6.8
1981,51346,-999,1,3.6,8.7,6.5
1982,51346,-999,1,5.8,9.9,6.1
1983,51346,-999,1,6.3,12.4,7.8
1984,51346,-999,1,5.8,10.6,6.8
1985,51346,-999,1,6.3,10.6,6.3
1986,51346,-999,1,6.5,11.8,5.4
1987,51346,-999,1,5.9,11.2,6.5
1988,51346,-999,1,6,10.4,5.9
1989,51346,-999,1,6.1,11.4,6.3
1990,51346,-999,1,4.1,8.8,6.4
1991,51346,-999,1,6.4,10.7,6.1
1992,51346,-999,1,6.7,11,6.7
1993,51346,-999,1,6.8,11.8,7.4
1994,51346,-999,1,6.9,12.5,7
1995,51346,-999,1,5.4,11.2,6.7
1996,51346,-999,1,5.6,10.3,5.6
1997,51346,-999,1,4,9.1,5.8
1998,51346,-999,1,5.3,9.5,6.8
1999,51346,-999,1,5.7,11.4,7.2
2000,51346,-999,1,5,9.8,6
2001,51346,-999,1,5.7,9.9,6.7
2002,51346,-999,1,6.8,11.9,7.3
2003,51346,-999,1,4.5,8.7,5.5
2004,51346,-999,1,4.8,9.5,6.6
2005,51346,-999,1,5.6,10.1,7
2006,51346,-999,1,6.3,10.5,6.6
2007,51346,-999,1,5.9,10.2,6.2
2008,51346,-999,1,6,10.4,6.2
2009,51346,-999,1,5.1,9.2,6.4
2010,51346,-999,1,5.3,10,6
2011,51346,-999,1,6.1,10,6
2012,51346,-999,1,5.2,9.2,7.1
2013,51346,-999,1,5.4,10.5,6
2014,51346,-999,1,6.4,12.1,7.1
2015,51346,-999,1,5.5,11.4,5.6
2016,51346,-999,1,3.8,7.2,4
2017,51346,-999,1,4.7,8.6,5.7
1981,51347,-999,1,1.2,5.3,5.1
1982,51347,-999,1,7.4,13.6,6.3
1983,51347,-999,1,5.1,10.5,3.6
1984,51347,-999,1,6.7,10.1,5.8
1985,51347,-999,1,4.4,12,7.6
1986,51347,-999,1,4.8,9.7,5.8
1987,51347,-999,1,5.1,10.8,8.2
1988,51347,-999,1,4.7,11.2,5.9
1989,51347,-999,1,6.5,11.4,4.3
1990,51347,-999,1,4.6,10.5,5.9
1991,51347,-999,1,5.6,10.4,6.1
1992,51347,-999,1,5.9,14,7.2
1993,51347,-999,1,6.6,11.4,5.1
1994,51347,-999,1,6.3,14.4,7.4
1995,51347,-999,1,7.4,12.8,4.9
1996,51347,-999,1,4.2,10,7.2
1997,51347,-999,1,3.7,8.7,7.1
1998,51347,-999,1,5.5,12,7.3
1999,51347,-999,1,6.2,11.6,5.5
2000,51347,-999,1,6.2,12,7.2
2001,51347,-999,1,4.5,10.7,6.2
2002,51347,-999,1,5.4,11.1,6.4
2003,51347,-999,1,5.3,10.3,6.7
2004,51347,-999,1,6.1,11.2,6
2005,51347,-999,1,7.4,13,6.1
2006,51347,-999,1,5.9,10.4,6.1
2007,51347,-999,1,6,10.8,6.3
2008,51347,-999,1,4.7,9,5.5
2009,51347,-999,1,7.3,11.8,4.2
2010,51347,-999,1,6.4,11.3,4.7
2011,51347,-999,1,6,10.8,5.6
2012,51347,-999,1,5.1,11.8,6.6
2013,51347,-999,1,5.9,12,7.3
2014,51347,-999,1,6.5,13.7,7.8
2015,51347,-999,1,5.9,12.4,5.2
2016,51347,-999,1,3.6,5.9,3.4
2017,51347,-999,1,3.1,7.2,6.5
1981,51348,-999,1,3.4,3.9,5.3
1982,51348,-999,1,5.6,6,6.2
1983,51348,-999,1,4.2,4.7,6.2
1984,51348,-999,1,4.6,5,5.6
1985,51348,-999,1,5.6,5.9,6.7
1986,51348,-999,1,5,5.4,5.6
1987,51348,-999,1,5.5,6,5.6
1988,51348,-999,1,3.8,4.2,5.4
1989,51348,-999,1,5.8,6.1,6.1
1990,51348,-999,1,4.5,4.8,5.5
1991,51348,-999,1,5.9,6.3,7
1992,51348,-999,1,5.6,6.1,6.3
1993,51348,-999,1,4.7,5.1,5.3
1994,51348,-999,1,5.6,6.2,6
1995,51348,-999,1,5.9,6.4,6.4
1996,51348,-999,1,5.3,5.8,5.5
1997,51348,-999,1,4.8,5.2,6.8
