year,code,name,ASAL,DrySpell4_MAM,DrySpell4_MAMJJA,DrySpell4_OND
1994,51372,-999,0,2,6.3,3.5
1995,51372,-999,0,3.9,9,2.5
1996,51372,-999,0,2.6,7.6,5.1
1997,51372,-999,0,3.8,9.2,2.7
1998,51372,-999,0,2.9,8.8,5.3
1999,51372,-999,0,2.7,9.3,3.4
2000,51372,-999,0,3.9,10.3,3.8
2001,51372,-999,0,4.1,9.3,4.9
2002,51372,-999,0,2.6,9.3,2.8
2003,51372,-999,0,3.5,8.5,5.8
2004,51372,-999,0,3,8.4,6.8
2005,51372,-999,0,3.2,10.7,4.4
2006,51372,-999,0,1.2,8.9,3.1
2007,51372,-999,0,4.6,8.6,7.2
2008,51372,-999,0,5,8.9,5.2
2009,51372,-999,0,3.2,10,7.5
2010,51372,-999,0,2.7,7.7,3.8
2011,51372,-999,0,3.6,7.3,3.1
2012,51372,-999,0,3,6.3,5.1
2013,51372,-999,0,2.5,8.4,3.9
2014,51372,-999,0,4.9,9.3,4.8
2015,51372,-999,0,2,6.5,2.6
2016,51372,-999,0,6,7.6,4.9
2017,51372,-999,0,6.3,9.9,4.3
1981,51375,-999,0,1.3,5.1,6.7
1982,51375,-999,0,2.5,5.7,3
1983,51375,-999,0,2.5,6.2,3.9
1984,51375,-999,0,5.9,9.5,3.9
1985,51375,-999,0,1.3,4.1,5.2
1986,51375,-999,0,2.4,7.9,4.2
1987,51375,-999,0,2.6,6.5,2.2
1988,51375,-999,0,2.6,5.9,3.8
1989,51375,-999,0,2.3,7.2,1.8
1990,51375,-999,0,0.2,4.4,4.8
1991,51375,-999,0,2,6.4,4.9
1992,51375,-999,0,3.1,5.8,2
1993,51375,-999,0,3.9,9.2,3.9
1994,51375,-999,0,0.9,2.7,2.9
1995,51375,-999,0,1.3,3.7,3.5
1996,51375,-999,0,0.8,4.2,5
1997,51375,-999,0,3.2,6.2,1.1
1998,51375,-999,0,2.9,6.7,3.6
1999,51375,-999,0,1.5,4.5,2.1
2000,51375,-999,0,2.5,7.9,3.5
2001,51375,-999,0,1,4.3,3.8
2002,51375,-999,0,0.1,5.8,1.6
2003,51375,-999,0,2.6,5,2.6
2004,51375,-999,0,3.1,7.1,3.2
2005,51375,-999,0,1.6,5.1,2.5
2006,51375,-999,0,0,3.5,2.6
2007,51375,-999,0,4.3,6.4,4.7
2008,51375,-999,0,3.1,6.3,4.3
2009,51375,-999,0,3.3,9.7,3.7
2010,51375,-999,0,1.7,4.8,3.6
2011,51375,-999,0,3.9,4.6,1.8
2012,51375,-999,0,1.7,4.1,0.7
2013,51375,-999,0,1.8,5.5,2.7
2014,51375,-999,0,4.1,6.9,3.2
2015,51375,-999,0,1.8,5.2,2.1
2016,51375,-999,0,5.3,8.6,5.2
2017,51375,-999,0,5.7,9.7,4
1981,51378,-999,0,3.7,6.3,7.8
1982,51378,-999,0,4.3,7.7,5
1983,51378,-999,0,5,9.9,6.4
1984,51378,-999,0,5.8,10.1,4.1
1985,51378,-999,0,3.5,8.3,6.2
1986,51378,-999,0,4,11,4.3
1987,51378,-999,0,3.3,8.8,6.6
1988,51378,-999,0,2.5,8,3.1
1989,51378,-999,0,4.1,9.4,3.8
1990,51378,-999,0,1.7,6.5,7.3
1991,51378,-999,0,3.6,7.9,6.1
1992,51378,-999,0,5.3,10.4,4.1
1993,51378,-999,0,5.3,12.2,6.2
1994,51378,-999,0,3.3,8.9,5.7
1995,51378,-999,0,4.3,9.3,3.2
1996,51378,-999,0,5.1,10.9,6.2
1997,51378,-999,0,4.1,9.8,3.9
1998,51378,-999,0,4.1,9.3,5.9
1999,51378,-999,0,4.4,11.2,6.1
2000,51378,-999,0,5.9,13.7,6.1
2001,51378,-999,0,5.7,11.5,5.6
2002,51378,-999,0,4.5,11.1,5
2003,51378,-999,0,3.7,9.5,6
2004,51378,-999,0,3.3,10.3,8
2005,51378,-999,0,4.4,12,5.8
2006,51378,-999,0,2.5,10,4.8
2007,51378,-999,0,5.7,11.1,7.7
2008,51378,-999,0,5.1,10.1,6.2
2009,51378,-999,0,4.8,10.8,6.5
2010,51378,-999,0,4.5,11.1,5.5
2011,51378,-999,0,5.5,9.8,5.3
2012,51378,-999,0,2.8,8.1,6.1
2013,51378,-999,0,3.2,9.9,5.6
2014,51378,-999,0,7.2,12.3,5.5
2015,51378,-999,0,2.4,7.6,4.5
2016,51378,-999,0,5.9,9,3.4
2017,51378,-999,0,5.8,10.1,4.3
1981,51382,-999,0,3.1,4.7,6.9
1982,51382,-999,0,4.7,9.3,5.6
1983,51382,-999,0,6,10.2,5.9
1984,51382,-999,0,6.2,11.1,5.6
1985,51382,-999,0,2.7,8.8,7.4
1986,51382,-999,0,3.2,10.2,6.5
1987,51382,-999,0,3.1,7.3,6.2
1988,51382,-999,0,3.6,7,4.8
1989,51382,-999,0,5.2,10.1,4.6
1990,51382,-999,0,2.9,9.1,7.7
1991,51382,-999,0,4.8,10.6,6.6
1992,51382,-999,0,6.1,8.9,6.9
1993,51382,-999,0,4.9,11,5.9
1994,51382,-999,0,3.9,9.5,6.8
1995,51382,-999,0,5.5,10.7,5
1996,51382,-999,0,6.6,10.1,6.5
1997,51382,-999,0,5.2,10.2,5.2
1998,51382,-999,0,5.2,10.4,5.4
1999,51382,-999,0,5.2,10.2,6.3
2000,51382,-999,0,6,11.7,6
2001,51382,-999,0,5.2,10.8,5.3
2002,51382,-999,0,5.5,9.8,6.7
2003,51382,-999,0,4.1,9.3,5.7
2004,51382,-999,0,3.9,7.2,7.3
2005,51382,-999,0,4.5,10.1,5.1
2006,51382,-999,0,4.4,10.7,4.9
2007,51382,-999,0,5.3,9.4,6.7
2008,51382,-999,0,4.9,10.9,4.5
2009,51382,-999,0,5.1,12.7,7
2010,51382,-999,0,3.7,8.4,8.5
2011,51382,-999,0,4.9,9,5.8
2012,51382,-999,0,2.4,5.9,4.5
2013,51382,-999,0,3.6,7.4,4.7
2014,51382,-999,0,6.9,11.9,5.6
2015,51382,-999,0,3.6,9.6,5.5
2016,51382,-999,0,5.2,6.9,2
2017,51382,-999,0,5.5,10.7,5.6
1981,51385,-999,0,6.5,9.7,7.5
1982,51385,-999,0,5.5,11.7,5.8
1983,51385,-999,0,6.3,11.3,7.3
1984,51385,-999,0,6,13.2,7.3
1985,51385,-999,0,4,7.9,7.8
1986,51385,-999,0,5.2,13.2,8.7
1987,51385,-999,0,3.3,8.4,6.3
1988,51385,-999,0,4.2,8.6,6.6
1989,51385,-999,0,7.2,14.2,6.2
1990,51385,-999,0,5.5,13.1,6.4
1991,51385,-999,0,5.5,11.8,6.6
1992,51385,-999,0,5.5,11.6,7.6
1993,51385,-999,0,5,9.4,7.3
1994,51385,-999,0,5.4,11.4,7.5
1995,51385,-999,0,5.8,11.9,7.7
1996,51385,-999,0,8.2,12.3,7.5
1997,51385,-999,0,4.5,9,6.2
1998,51385,-999,0,7.2,12.5,7.5
1999,51385,-999,0,6.9,13,5.7
2000,51385,-999,0,5.6,12.6,6.2
2001,51385,-999,0,6.1,13.5,6.7
2002,51385,-999,0,5.8,11.5,5.6
2003,51385,-999,0,5.1,11.9,6.2
2004,51385,-999,0,4,8.8,7.6
2005,51385,-999,0,5.2,11.5,5.7
2006,51385,-999,0,6.3,13.9,5.1
2007,51385,-999,0,6,10.3,7.5
2008,51385,-999,0,6.8,13.3,5
2009,51385,-999,0,6.8,13.8,7.1
2010,51385,-999,0,4.1,9.6,6.3
2011,51385,-999,0,5.3,11.8,4.1
2012,51385,-999,0,3.2,8.2,4.9
2013,51385,-999,0,3.3,8.4,7
2014,51385,-999,0,8.3,14.7,5.6
2015,51385,-999,0,6.7,12.3,7.6
2016,51385,-999,0,4.9,8.7,2.6
2017,51385,-999,0,4.4,9.8,7.6
1981,51386,-999,0,3.1,7.3,7.8
1982,51386,-999,0,5.7,14.4,6.4
1983,51386,-999,0,5.2,10,6.6
1984,51386,-999,0,6.5,12.1,6
1985,51386,-999,0,4.6,10.3,8
1986,51386,-999,0,4.3,10.7,6.8
1987,51386,-999,0,6.5,11.8,8.1
1988,51386,-999,0,3.9,10.3,4.7
1989,51386,-999,0,6.1,11.8,5.7
1990,51386,-999,0,4,10.9,7.4
1991,51386,-999,0,6.5,12.3,5.7
1992,51386,-999,0,6.5,12.3,7.2
1993,51386,-999,0,5.8,12.3,8
1994,51386,-999,0,6,12.3,7.1
1995,51386,-999,0,5.8,11.6,5.9
1996,51386,-999,0,5.9,10.5,8.2
1997,51386,-999,0,3.9,8.7,5.1
1998,51386,-999,0,6.9,13.4,7.8
1999,51386,-999,0,6.8,13.2,6.9
2000,51386,-999,0,8.8,16.5,6.7
2001,51386,-999,0,5.7,12,6.4
2002,51386,-999,0,4.4,11.2,4.8
2003,51386,-999,0,5.3,11.5,6.7
2004,51386,-999,0,4.7,11.3,7.3
2005,51386,-999,0,5.7,13.3,5.8
2006,51386,-999,0,6.1,13.2,5.2
2007,51386,-999,0,5.9,10.5,6.8
2008,51386,-999,0,5.6,12.2,5.4
2009,51386,-999,0,6.6,13.7,6.6
2010,51386,-999,0,5.4,12,6.5
2011,51386,-999,0,6.3,11.7,5.3
2012,51386,-999,0,3.3,8.8,5.2
2013,51386,-999,0,4.9,10.3,7.1
2014,51386,-999,0,7.1,15.5,6.7
2015,51386,-999,0,5.4,12.9,5.7
2016,51386,-999,0,4.8,8.2,3.6
2017,51386,-999,0,4.7,10.5,5.9
1981,51391,-999,0,5.1,7.8,6.5
1982,51391,-999,0,4.4,9.8,5.4
1983,51391,-999,0,5.1,7.7,5
1984,51391,-999,0,5.8,11.5,7.7
1985,51391,-999,0,4.6,7.7,6.8
1986,51391,-999,0,5.7,12.1,8.1
1987,51391,-999,0,3.7,8.5,6.4
1988,51391,-999,0,4,6.3,5.1
1989,51391,-999,0,6.2,10.6,5.3
1990,51391,-999,0,4,10.3,7.2
1991,51391,-999,0,4.2,7.5,5.7
1992,51391,-999,0,6.2,9.6,7.5
1993,51391,-999,0,3.9,9.3,6.3
1994,51391,-999,0,5.2,9.4,6.3
1995,51391,-999,0,5.2,10.3,7.3
1996,51391,-999,0,5.8,8.6,6.4
1997,51391,-999,0,5.6,9.9,7.1
1998,51391,-999,0,7,10.5,5.3
1999,51391,-999,0,5.3,12.2,6.1
2000,51391,-999,0,5.2,9.6,4.7
2001,51391,-999,0,5.9,10.5,5.4
2002,51391,-999,0,5.9,11.2,4.9
2003,51391,-999,0,5.1,9.7,6.8
2004,51391,-999,0,3.7,7.9,6.9
2005,51391,-999,0,4.9,10.7,4.8
2006,51391,-999,0,6.1,11.5,5.6
2007,51391,-999,0,5.7,8.5,7.1
2008,51391,-999,0,6.6,9.5,4.8
2009,51391,-999,0,5,12.1,7
2010,51391,-999,0,3,7.6,6.1
2011,51391,-999,0,4.8,8.6,3.8
2012,51391,-999,0,2.8,4.4,4.7
2013,51391,-999,0,3.8,6.8,4.2
2014,51391,-999,0,6,11.9,4.9
2015,51391,-999,0,5,8.8,6.9
2016,51391,-999,0,6.5,9.6,2.2
2017,51391,-999,0,5.4,9.5,7.5
1981,51393,-999,0,5,7.6,6.8
1982,51393,-999,0,5.3,10.6,5.7
1983,51393,-999,0,5.8,9.8,6
1984,51393,-999,0,6.7,12.7,6.5
1985,51393,-999,0,2.8,7.3,7.9
1986,51393,-999,0,4.4,12.1,8.3
1987,51393,-999,0,3.7,7.9,6.8
1988,51393,-999,0,4.3,7.3,6.3
1989,51393,-999,0,6.4,11.3,5.5
1990,51393,-999,0,4.8,11.2,7.4
1991,51393,-999,0,5.3,10.3,6.7
1992,51393,-999,0,5.9,8.7,7
1993,51393,-999,0,4.2,9.7,6.1
1994,51393,-999,0,5.1,10.1,6.2
1995,51393,-999,0,5.9,12.3,6.5
1996,51393,-999,0,7.9,11.5,7.7
1997,51393,-999,0,5.3,10.1,6
1998,51393,-999,0,6.6,11.2,5.7
1999,51393,-999,0,5.4,10.8,6.7
2000,51393,-999,0,6,11.1,5.8
2001,51393,-999,0,5.7,11.6,5.7
2002,51393,-999,0,5.5,11.3,5.2
2003,51393,-999,0,4.7,9.5,6.2
2004,51393,-999,0,4.3,8.7,8.2
2005,51393,-999,0,3.5,10.4,4.9
2006,51393,-999,0,6.2,12.4,5.2
2007,51393,-999,0,6.4,10.9,6.9
2008,51393,-999,0,6.6,11.8,5
2009,51393,-999,0,5.7,12.6,7
2010,51393,-999,0,3.8,8.7,6.8
2011,51393,-999,0,5.2,10.2,4.3
2012,51393,-999,0,2.7,6.3,5.6
2013,51393,-999,0,3.5,7.1,4.3
2014,51393,-999,0,7.5,12.9,5.5
2015,51393,-999,0,5.2,10.4,7.5
2016,51393,-999,0,4.4,8,2.4
2017,51393,-999,0,4.5,9.2,6.1
1981,51395,-999,0,3,5,7.1
1982,51395,-999,0,4.2,7.6,5
1983,51395,-999,0,4.8,6.8,4.1
1984,51395,-999,0,6.5,9.6,5.8
1985,51395,-999,0,2.7,5.5,6.6
1986,51395,-999,0,3.4,9.2,6.5
1987,51395,-999,0,4.2,8.1,5.8
1988,51395,-999,0,3.9,6.3,4
1989,51395,-999,0,3.7,7.4,4.4
1990,51395,-999,0,1.8,7.1,6.8
1991,51395,-999,0,4,6.8,5.6
1992,51395,-999,0,4.9,6.7,4.9
1993,51395,-999,0,3.1,8.6,5.3
1994,51395,-999,0,3.2,5.8,4.6
1995,51395,-999,0,4,7.3,4.3
1996,51395,-999,0,3.8,7.1,6.4
1997,51395,-999,0,4.4,8.3,5.5
1998,51395,-999,0,5.1,7.9,3.8
1999,51395,-999,0,3.7,8,4.1
2000,51395,-999,0,5.2,8.5,4.5
2001,51395,-999,0,3.4,6.8,4.4
2002,51395,-999,0,3.7,8.3,3.1
2003,51395,-999,0,4.4,6.6,6
2004,51395,-999,0,3.7,6.8,7.6
2005,51395,-999,0,2.8,7.9,4
2006,51395,-999,0,3.1,7.2,5.5
2007,51395,-999,0,5.8,8.1,6.1
2008,51395,-999,0,5.3,7.5,3.8
2009,51395,-999,0,4.3,10.3,5.9
2010,51395,-999,0,2.2,6.3,4.9
2011,51395,-999,0,4,5.2,3.9
2012,51395,-999,0,2.4,3.6,4.6
2013,51395,-999,0,3.2,5.4,3.5
2014,51395,-999,0,4.8,8.1,4.3
2015,51395,-999,0,3.4,6.1,5.1
2016,51395,-999,0,6.1,9.1,3.2
2017,51395,-999,0,5.3,8.6,5.3
1981,51396,-999,0,1.7,5.2,6.9
1982,51396,-999,0,3.3,7.3,3.9
1983,51396,-999,0,4.2,7.4,3.8
1984,51396,-999,0,5.3,9.6,3.8
1985,51396,-999,0,1.3,4.5,5.7
1986,51396,-999,0,2.2,6.9,3.9
1987,51396,-999,0,2.8,8.6,2.3
1988,51396,-999,0,2.7,5.4,3.2
1989,51396,-999,0,2,7,2.3
1990,51396,-999,0,0.2,5.1,5.3
1991,51396,-999,0,2.3,6.2,4.8
1992,51396,-999,0,2.7,5.8,2.2
1993,51396,-999,0,3.6,9.1,4.3
1994,51396,-999,0,1.2,3.3,3
1995,51396,-999,0,1.2,3.1,3.3
1996,51396,-999,0,1,5.7,4.9
1997,51396,-999,0,3.2,7.2,1
1998,51396,-999,0,3.1,7.3,3.7
1999,51396,-999,0,1.5,4.8,1.6
2000,51396,-999,0,3,7.8,2.9
2001,51396,-999,0,1,4.7,4
2002,51396,-999,0,0.5,5.7,2.2
2003,51396,-999,0,2.4,5.1,2.7
2004,51396,-999,0,2.8,6.2,4.2
2005,51396,-999,0,2.2,5.4,3.5
2006,51396,-999,0,0,3.7,2.1
2007,51396,-999,0,3.5,5.2,3.7
2008,51396,-999,0,3.3,5.9,3.7
2009,51396,-999,0,3.2,9.9,2.7
2010,51396,-999,0,2.2,5.8,3.7
2011,51396,-999,0,3,4.7,2.9
2012,51396,-999,0,1.9,4,1.1
2013,51396,-999,0,1.8,5.8,2.8
2014,51396,-999,0,3.6,6.1,3.4
2015,51396,-999,0,2.2,5.3,2.4
2016,51396,-999,0,6.2,9,4.8
2017,51396,-999,0,5.3,9.8,4
1981,51398,-999,0,2,3.9,7.7
1982,51398,-999,0,3.8,6.2,3.6
1983,51398,-999,0,3.3,4.6,4.6
1984,51398,-999,0,5.2,6.9,3.9
1985,51398,-999,0,1.5,4,6.1
1986,51398,-999,0,2.3,8.6,4.8
1987,51398,-999,0,3.4,7.3,2.9
1988,51398,-999,0,3.3,4.9,3.7
1989,51398,-999,0,3.2,6.2,3.1
1990,51398,-999,0,0.4,3.9,5.7
1991,51398,-999,0,2.3,6.3,4.9
1992,51398,-999,0,3.8,4.3,3.7
1993,51398,-999,0,3.4,7.7,3.7
1994,51398,-999,0,1.4,3.1,3.1
1995,51398,-999,0,2.4,3.2,2.7
1996,51398,-999,0,2.7,6.3,6
1997,51398,-999,0,3.3,6.1,2.9
1998,51398,-999,0,3.3,5.6,3.4
1999,51398,-999,0,2.5,4.8,2.2
2000,51398,-999,0,3.6,7.6,3.7
2001,51398,-999,0,1.3,4.8,3.7
2002,51398,-999,0,1.3,3.7,2.7
2003,51398,-999,0,3.4,5,5.1
2004,51398,-999,0,3.4,6,6.3
2005,51398,-999,0,2,6.5,2.5
2006,51398,-999,0,0.4,3.7,3.5
2007,51398,-999,0,5.4,7,4.9
2008,51398,-999,0,3.9,6,3.8
2009,51398,-999,0,3.4,8.4,4.8
2010,51398,-999,0,1.4,3.3,3.2
2011,51398,-999,0,3.4,3.6,3.3
2012,51398,-999,0,2.1,3.1,2.5
2013,51398,-999,0,2.3,4.4,2.9
2014,51398,-999,0,4.1,5.9,3.8
2015,51398,-999,0,2.3,4.3,3.6
2016,51398,-999,0,6.3,8.9,3.2
2017,51398,-999,0,5.3,8.2,3.8
1981,51402,-999,0,2.5,4.5,8.9
1982,51402,-999,0,3.8,7.1,3.1
1983,51402,-999,0,3.7,6.1,4.1
1984,51402,-999,0,5.4,7.6,4.1
1985,51402,-999,0,1,3.9,6.1
1986,51402,-999,0,2,9.7,5.6
1987,51402,-999,0,3.4,6.4,2.9
1988,51402,-999,0,3.4,5.2,3.8
1989,51402,-999,0,3.1,6.4,2.4
1990,51402,-999,0,0.6,3.6,5.8
1991,51402,-999,0,2,5.3,5
1992,51402,-999,0,3.9,4.4,3.9
1993,51402,-999,0,3.6,8.3,3.8
1994,51402,-999,0,1.7,3.9,3.4
1995,51402,-999,0,2.6,4.8,2.7
1996,51402,-999,0,2.1,5.3,5.4
1997,51402,-999,0,3.6,6.8,2.9
1998,51402,-999,0,2.6,5.6,3.6
1999,51402,-999,0,2.4,4.4,2.9
2000,51402,-999,0,3.2,7.4,4.3
2001,51402,-999,0,1.4,4.9,3.4
2002,51402,-999,0,1.1,4.8,2.4
2003,51402,-999,0,3.3,5.1,5.6
2004,51402,-999,0,2.9,5.6,5.6
2005,51402,-999,0,2.2,7.9,3.3
2006,51402,-999,0,0.4,4.9,3.3
2007,51402,-999,0,5.9,7.9,5.1
2008,51402,-999,0,4.2,6.7,4.3
2009,51402,-999,0,3.2,9.1,5.4
2010,51402,-999,0,1.2,3,4.3
2011,51402,-999,0,3.6,4.1,2.9
2012,51402,-999,0,1.7,2,2.9
2013,51402,-999,0,3.1,5.4,3.6
2014,51402,-999,0,4.9,7.4,3.6
2015,51402,-999,0,2.5,4.7,2.7
2016,51402,-999,0,6.3,8.6,4.3
2017,51402,-999,0,6.9,9.9,4
1981,68769,-999,0,3.5,5.2,8
1982,68769,-999,0,5.3,10.2,4.6
1983,68769,-999,0,5.1,8.1,4.3
1984,68769,-999,0,5.8,9.9,5.1
1985,68769,-999,0,1.6,6.4,6.4
1986,68769,-999,0,3.1,11,6.6
1987,68769,-999,0,3.9,7.3,5.8
1988,68769,-999,0,4.1,5.6,4.7
1989,68769,-999,0,4.8,9,5
1990,68769,-999,0,2.7,8.2,6.8
1991,68769,-999,0,3.4,7.2,5.6
1992,68769,-999,0,6.3,7.9,5.8
1993,68769,-999,0,3.5,9.4,5.7
1994,68769,-999,0,2.7,7.1,5.9
1995,68769,-999,0,5.3,10.1,4.6
1996,68769,-999,0,5.8,8.9,6.5
1997,68769,-999,0,5.5,10.2,5
1998,68769,-999,0,5,9,4.5
1999,68769,-999,0,4.2,8,4.7
2000,68769,-999,0,5,9.3,4.6
2001,68769,-999,0,3.3,7.6,4.5
2002,68769,-999,0,4.3,9.3,4.7
2003,68769,-999,0,3.9,7.7,6.8
2004,68769,-999,0,3.8,7.4,7.3
2005,68769,-999,0,3.6,9.2,4.7
2006,68769,-999,0,3.5,9.2,4.5
2007,68769,-999,0,6.7,9.6,5.9
2008,68769,-999,0,5.3,9.8,4.5
2009,68769,-999,0,4.4,11.1,6.2
2010,68769,-999,0,3,5.7,6.4
2011,68769,-999,0,3.9,5.9,4.8
2012,68769,-999,0,2.5,3.9,5.3
2013,68769,-999,0,4.3,7.3,4.4
2014,68769,-999,0,6.7,10.9,5.4
2015,68769,-999,0,3.3,8,5
2016,68769,-999,0,5.9,8.3,2.5
2017,68769,-999,0,5.9,10.6,4.5
