year,code,name,ASAL,AvgTemp_MarMay,SDTemp_MarMay,Cum_DD_MarMay,HeatWDays_MarMay,MaxTemp_MarMay,AvgTemp_MarAug,SDTemp_MarAug,Cum_DD_MarAug,HeatWDays_MarAug,MaxTemp_MarAug,AvgTemp_OctDec,SDTemp_OctDec,Cum_DD_OctDec,HeatWDays_OctDec,MaxTemp_OctDec,SeasRain_MarMay,Prec2Months_MarMay,PrecStDev_MarMay,PrecCoefVar_MarMay,DrySpell_MarMay,DrSpell10_MarMay,DrSpell20_MarMay,MaxRain_MarMay,SeasRain_MarAug,Prec2Months_MarAug,PrecStDev_MarAug,PrecCoefVar_MarAug,DrySpell_MarAug,DrSpell10_MarAug,DrSpell20_MarAug,MaxRain_MarAug,SeasRain_OctDec,Prec2Months_OctDec,PrecStDev_OctDec,PrecCoefVar_OctDec,DrySpell_OctDec,DrSpell10_OctDec,DrSpell20_OctDec,MaxRain_OctDec
2008,51338,-999,1,18.9,0.8,1734.9,0,25.2,17.8,1.3,3278.7,0,23.4,18.6,0.7,1711.6,0,24.7,352.9,283.7,9.8,2.5,16.1,2.8,0,74.4,451.3,283.7,7.2,2.9,16.8,5.3,0.1,74.4,338.5,303.8,12,3.2,22.7,1.8,0.9,78.8
2009,51338,-999,1,19.9,0.9,1834.1,0,24.9,18.7,1.5,3445.8,0,23.7,18.9,0.6,1739.5,0,23.5,316.4,207.5,10.5,3.1,24.2,2.8,0.9,65.3,399.1,207.5,7.8,3.6,24.7,4.9,0.9,65.3,406.5,307.6,9.5,2.1,10.5,0.7,0,66.2
2010,51338,-999,1,19.3,0.7,1775.7,0,24.5,18.2,1.3,3355.1,0,23.4,18.6,0.6,1714.3,0,24.9,641.4,404.9,16.9,2.4,17.8,1.7,0,103,770.7,404.9,12.5,3,20.2,3.9,1.2,103,292.9,245.7,6.5,2,16.1,1,0.2,44.1
2011,51338,-999,1,19.7,0.7,1807.8,0,25.9,18.6,1.3,3415.4,0,24.5,18.4,0.7,1690.1,0,24,358.9,225.9,11.5,2.9,18.9,2.5,0.5,77.6,561.9,225.9,9.6,3.2,24.4,5.8,1,77.6,561.1,488.9,17,2.8,25.7,2.7,1.2,100.2
2012,51338,-999,1,19.2,1,1766.2,0,25.5,18,1.5,3309.6,0,23.8,18.5,0.7,1701.5,0,24.3,706.1,388.2,14.9,1.9,23.4,1.9,1,71,898.7,388.2,12.1,2.5,25,4.3,1.9,71,453.4,335.6,14.7,3,15.7,1.6,0,84.1
2013,51338,-999,1,19.1,1,1755.1,0,24.8,17.8,1.6,3268.7,0,23.3,-999,-999,-999,-999,-999,664.2,578,13.2,1.8,15.2,1.2,0.1,62,811.8,578,10.3,2.3,18.8,4.3,0.4,62,331.2,228.9,9.4,2.6,15,1.3,0,60.5
1981,51340,-999,1,26.7,0.9,2457.1,0,31.2,25.6,1.4,4705,0,29.9,26.7,0.7,2321.7,0,31.2,411,303.4,8,1.8,12.4,1.8,0,53.4,625.2,303.4,6.7,2,22.1,3.7,0.9,53.4,330.3,199.9,6,1.7,9.7,0.7,0,29.9
1982,51340,-999,1,26.8,1.3,2462,0,31.5,25.7,1.5,4725.3,0,30,26.4,0.7,2295.1,0,31.3,592.6,228.6,14,2.2,15.8,1.8,0.2,96.2,857.8,228.6,11.3,2.4,17.7,3.7,0.2,98.6,448.2,353.8,10.5,2.2,16.2,1.2,0.3,56.5
1983,51340,-999,1,27.7,1.1,2540,0.3,32.1,26.4,1.6,4847.9,0.3,30.7,26.8,0.8,2328.3,0,31.2,354.4,123.3,12.8,3.2,21.3,1.9,0.9,97,579.1,123.3,10.6,3.3,21.7,3.7,1,101.4,141.7,87.7,4.4,2.9,17.8,3.7,0,24.2
1984,51340,-999,1,27.3,1.1,2505.6,0,31.7,25.7,1.8,4722.6,0,30,26.2,0.7,2278.4,0,31.2,324.6,167,7,2.1,14,2.2,0.1,37.4,574,167,7.2,2.4,15.4,3.6,0.1,48.2,336.4,253.2,7.6,2.1,13.7,0.9,0.2,41
1985,51340,-999,1,26.8,0.9,2469.5,0,31.2,25.7,1.4,4727,0,30,26.4,0.7,2295.6,0,31.2,350.9,180.8,9.6,2.5,17,2.4,0.3,61.1,540,180.8,7.8,2.6,24,3.5,1.1,61.1,215.3,134.6,7.6,3.2,24.1,2.5,0.8,52.2
1986,51340,-999,1,27,1.4,2475.1,0,31.6,25.7,1.7,4714.2,0,30,27,0.7,2346.4,0,31.6,581.3,246.3,16.8,2.6,10.2,1,0,111.3,734.2,246.3,12.5,3,17.3,2.8,0.1,111.3,282.5,180.7,9.7,3.2,17.5,1.6,0.1,71.2
1987,51340,-999,1,27.8,1.3,2542.3,0,32.1,26.2,1.9,4808.5,0,30.5,27.4,0.7,2385.9,0,31.7,431.2,184.4,13.8,2.9,18,2.1,0.4,88.5,684.9,184.4,10.7,2.9,24,3.5,1,88.5,146.2,108.3,5.1,3.2,21.3,2.3,0.6,34.9
1988,51340,-999,1,27.5,1.3,2483.3,0,31.9,26.2,1.6,4777.7,0,30.6,26.7,0.6,2318.6,0,31,364,283.6,9.5,2.4,13.9,1.1,0,57.1,586,283.6,9,2.9,17.1,3.6,0,63.4,337.2,198.7,9,2.5,17.2,2.4,0.2,61.7
1989,51340,-999,1,26.8,1.1,2466.1,0,31.2,25.6,1.5,4706.2,0,29.9,26.3,0.6,2290.1,0,31.3,362.6,220.1,9.4,2.4,13.1,2.8,0,51.8,553.3,220.1,7.6,2.5,18.9,3,0.8,51.8,407.3,285.4,13.7,3.1,26.5,2.3,1,104.5
1990,51340,-999,1,26.8,0.8,2466.6,0,31,25.7,1.3,4729,0,30,26.6,0.7,2313.9,0,31.2,402.1,288.6,9.1,2,17.5,1.3,0.2,52.8,553.2,288.6,6.9,2.3,18.1,1.6,0.3,52.8,380.9,248,16.5,3.9,23.4,2.1,0.7,137.9
1991,51340,-999,1,27.4,1.2,2520.9,0.3,31.9,25.9,1.8,4772.9,0.3,30.1,26.8,0.7,2331.2,0,31.6,487.3,148.9,15.5,2.9,16.7,3.1,0.3,91.4,748,148.9,13,3.2,29.8,4.5,1.1,100.3,192.9,124.5,6,2.8,15.4,1.8,0.3,38
1992,51340,-999,1,27.6,1.1,2518.1,0.5,31.9,26.1,1.8,4779.2,0.5,30.3,26.6,0.6,2313.7,0,31.1,326.5,136.4,13,3.7,18.8,2.7,0.3,96.7,516.3,136.4,10.5,3.8,32.2,5.9,1,96.7,302.1,183.1,8.7,2.7,16.6,1.5,0.4,50.5
1993,51340,-999,1,27.5,0.8,2528.1,0,32.1,26,1.6,4792.8,0,30.3,26.9,0.8,2336.3,0,31.5,229.4,118.7,6,2.4,17,1.6,0,39.6,430.6,118.7,5.4,2.3,17.3,1.9,0,42.4,242.4,145.6,8.2,3,13.3,0.9,0.1,60.4
1994,51340,-999,1,27.5,1.3,2492.7,0.5,31.8,26.1,1.7,4773.8,0.5,30.3,26.4,0.5,2294.7,0,30.5,481,198.9,17.3,3.3,16.7,1.8,0.1,121.6,698,198.9,12.7,3.3,16.9,2.3,0.1,121.6,457,321.6,14.6,3,15.3,2.7,0.1,86.5
1995,51340,-999,1,27.4,1,2516.7,0,31.8,26.1,1.5,4811.2,0,30.5,26.6,0.6,2313,0,31.2,422,206.5,14.9,3.2,20.1,2.8,0.7,104.3,586.5,206.5,11.2,3.4,20.2,3.8,0.8,104.7,335.4,247.4,13.6,3.7,20.3,1.6,0.7,100.1
1996,51340,-999,1,27.1,1.1,2493.8,0,31.4,25.8,1.6,4755.4,0,30.1,26.8,0.8,2333.1,0,31.3,446.4,196.6,17.3,3.4,17.5,1.8,0.3,131.1,590.5,196.6,12.6,3.8,17.8,2.5,0.4,131.1,186.3,167.7,7.4,3.6,26.7,2.3,1.3,52.4
1997,51340,-999,1,27.2,1.2,2506.4,0,31.6,26.2,1.4,4818,0,30.3,26.2,0.7,2279.2,0,30,474.2,264.5,17,3.3,26.8,2.5,1.7,107.8,728.7,264.5,14.3,3.6,32.4,4.4,1.9,110.6,806.6,576.1,17,1.9,12,1.1,0,76.6
1998,51340,-999,1,27.6,0.9,2541.7,0,31.7,26.3,1.6,4846.1,0,30.5,26.7,0.7,2323,0,31.3,497.3,318,15.4,2.8,22.3,1.8,0.8,86.7,706.6,318,12,3.1,24.2,3.3,1.4,87,165.3,136.8,7.3,4.1,23.2,2.5,0.8,58.6
1999,51340,-999,1,27,1.3,2475,0,31.5,25.7,1.7,4716.9,0,30.1,26.2,0.7,2275.1,0,30.9,396.7,232.2,13.9,3.1,16.7,2.3,0.3,106,646.5,232.2,10.5,2.9,16.8,2.7,0.3,106,251.1,198.7,7.8,2.9,17.9,2.3,0.3,50.7
2000,51340,-999,1,27.2,1.1,2503.8,0,31,25.8,1.6,4753.3,0,30,27,0.7,2350.9,0,31.2,378.6,137.4,14.2,3.3,19.3,2.6,0.5,106.5,603.3,137.4,11.1,3.2,19.7,3.2,0.5,107.6,305.6,229.1,10.5,3.2,17.5,2.1,0.3,75.8
2001,51340,-999,1,27.6,0.9,2539.6,0.3,31.9,26.2,1.7,4811.6,0.3,30.1,27,0.6,2348,0,31.5,256.9,121.7,7,2.5,18.1,1.8,0.5,45.7,464.4,121.7,5.9,2.4,18.3,2.1,0.5,47.2,202.2,158.5,7.5,3.4,15.3,1.8,0.3,58.1
2002,51340,-999,1,27.6,1.1,2503.6,0.5,32,26.2,1.7,4793.8,0.5,30.3,26.7,0.9,2320.5,0,31.1,324.9,214.3,10.1,2.8,17.3,1.6,0.4,70.7,499,214.3,8.4,3.1,20.3,2.9,0.7,78.3,426,305,14.6,3.1,18.9,2,0.8,103.8
2003,51340,-999,1,28,1.2,2556.4,0,32.1,26.4,1.9,4844,0,30.3,27.3,0.7,2373.4,0,31.5,320.3,133.5,13.4,3.9,25,2.8,1.5,103.1,489.7,133.5,10.5,4,26.1,4.3,1.7,104.3,230.1,199.6,8.3,3.3,20,2.1,1.3,61.7
2004,51340,-999,1,27.8,0.8,2553.7,0.5,31.8,26.2,1.7,4829.6,0.5,30.3,27.1,0.7,2353.3,0,30.5,213.6,158.9,6.3,2.7,21.2,2.4,0.5,34.8,432.8,158.9,8,3.4,21.6,3.5,0.7,84.3,275.9,219.9,9.3,3.1,20.1,1.6,0.4,69.2
2005,51340,-999,1,28,1,2539.8,0,31.8,26.4,1.8,4823.6,0,30.5,27.1,0.6,2353.2,0,31.2,307.7,176,9.2,2.7,15.2,2.1,0.2,59,498.8,176,7.6,2.8,21.5,3.7,0.9,59.6,161.7,139.5,6.5,3.7,25.3,1.4,1,52.6
2006,51340,-999,1,27.4,1,2517.6,0,31.5,26.2,1.4,4822.2,0,30.1,26.7,0.7,2322.1,0,31.3,409.4,256.5,12.7,2.8,16.2,1.7,0.3,85.2,636.2,256.5,10.2,2.9,16.7,2.5,0.3,87.6,584.6,476.7,17,2.7,14.4,1.5,0.2,105.2
2007,51340,-999,1,27.9,1,2561.2,0,31.6,26.5,1.7,4865.8,0,30.3,26.8,0.5,2328,0,30,492,135.4,18.6,3.5,22.6,3.1,0.5,135.9,738,135.4,14.3,3.5,23.4,4,0.5,135.9,223.8,163.3,6.9,2.9,15.5,1.8,0.3,43
2008,51340,-999,1,27,1,2483.7,0,31.7,25.7,1.5,4736.3,0,30.4,27.3,0.6,2377.3,0,31.3,386.3,214,12.4,2.9,15.1,1.1,0.3,89.2,620.7,214,9.5,2.8,16.3,2,0.3,89.2,216.6,182.1,6.4,2.8,20.4,2.4,0.6,34.8
