MARKETS,year,Month,Price
Nyeri,2006,Feb,20.00
Endarasha,2006,Feb,19.05
Karatina,2006,Feb,18.18
Gakindu,2006,Feb,NA
Nanyuki,2006,Feb,19.05
Mariakani,2006,Feb,19.00
Kaloleni,2006,Feb,20.00
Malindi,2006,Feb,27.17
Kibauni Kilifi,2006,Feb,19.00
Ukunda,2006,Feb,30.00
Mwembe Tayari,2006,Feb,25.00
Majengo,2006,Feb,NA
Sega,2006,Feb,22.00
Voi,2006,Feb,NA
Mackinon,2006,Feb,NA
Kongowea,2006,Feb,17.50
Hola,2006,Feb,20.00
Garsen,2006,Feb,20.00
Runyenjes,2006,Feb,20.00
Embu Town,2006,Feb,15.00
Siakago,2006,Feb,20.00
Mwingi,2006,Feb,17.00
Migwani,2006,Feb,18.00
Kalundu,2006,Feb,20.00
Machakos Town,2006,Feb,20.00
Tala,2006,Feb,18.00
Maua,2006,Feb,21.11
Kianjai,2006,Feb,17.78
Mwendantu,2006,Feb,15.45
Wote,2006,Feb,20.00
Garissa Town,2006,Feb,NA
Daraja Mbili,2006,Feb,15.91
Kibirigo,2006,Feb,17.39
Riochanda,2006,Feb,16.67
Nyabite,2006,Feb,18.75
Kibuye,2006,Feb,18.18
Mogonga,2006,Feb,NA
Nyamache,2006,Feb,NA
Ahero,2006,Feb,18.18
Homa Bay,2006,Feb,NA
Oyugis,2006,Feb,15.22
Kehancha,2006,Feb,NA
Kiboswa,2006,Feb,17.27
Sondu,2006,Feb,18.18
Bondo,2006,Feb,17.50
Akala,2006,Feb,NA
Siaya,2006,Feb,14.09
Ugunja,2006,Feb,14.55
Oyugis,2006,Feb,NA
Kabarnet,2006,Feb,15.00
Litein,2006,Feb,19.05
Nakuru Town,2006,Feb,20.00
Kapsabet,2006,Feb,17.39
Kilgoris,2006,Feb,NA
Eldoret,2006,Feb,16.00
Burnt Forest,2006,Feb,15.00
Turbo,2006,Feb,12.50
Kipkaren,2006,Feb,15.45
Iten,2006,Feb,12.50
Flax,2006,Feb,14.00
Kajiado Township,2006,Feb,22.00
Kapkateny,2006,Feb,15.65
Kapsokwony,2006,Feb,15.22
Bumala,2006,Feb,16.67
Busia Town,2006,Feb,15.71
Butere,2006,Feb,15.91
Kakamega Town,2006,Feb,NA
Mumias,2006,Feb,17.50
Mudete,2006,Feb,16.67
Cheptulu,2006,Feb,16.00
Mbale,2006,Feb,16.67
Kawangware,2006,Feb,22.00
Burma,2006,Feb,25.00
Gikomba,2006,Feb,20.00
Kangemi,2006,Feb,21.43
Korogocho,2006,Feb,20.00
Kibera(Toi),2006,Feb,20.48
Kiambu,2006,March,20.48
Limuru,2006,March,17.50
Thika,2006,March,18.18
Gatundu,2006,March,23.81
Muthithi,2006,March,16.67
Mukuyu,2006,March,21.05
Kiriaini,2006,March,19.05
Engineer,2006,March,16.67
Nyeri,2006,March,19.05
Endarasha,2006,March,19.05
Karatina,2006,March,NA
Gakindu,2006,March,20.00
Nanyuki,2006,March,21.05
Mariakani,2006,March,19.00
Kaloleni,2006,March,20.00
Malindi,2006,March,27.78
Kibauni Kilifi,2006,March,19.00
Ukunda,2006,March,30.00
Mwembe Tayari,2006,March,NA
Majengo,2006,March,NA
Sega,2006,March,24.00
Voi,2006,March,NA
Mackinon,2006,March,NA
Kongowea,2006,March,20.00
Hola,2006,March,20.00
Garsen,2006,March,20.00
Runyenjes,2006,March,20.00
Embu Town,2006,March,17.50
Siakago,2006,March,17.50
Mwingi,2006,March,20.00
Migwani,2006,March,20.00
Kalundu,2006,March,17.00
Machakos Town,2006,March,18.00
Tala,2006,March,NA
Maua,2006,March,22.22
Kianjai,2006,March,16.67
Mwendantu,2006,March,13.64
Wote,2006,March,18.00
Garissa Town,2006,March,NA
Daraja Mbili,2006,March,18.18
Kibirigo,2006,March,18.75
Riochanda,2006,March,15.83
Nyabite,2006,March,17.50
Kibuye,2006,March,NA
Mogonga,2006,March,NA
Nyamache,2006,March,NA
Ahero,2006,March,NA
Homa Bay,2006,March,NA
Oyugis,2006,March,19.09
Kehancha,2006,March,NA
Kiboswa,2006,March,NA
Sondu,2006,March,NA
Bondo,2006,March,17.50
Akala,2006,March,18.18
Siaya,2006,March,NA
Ugunja,2006,March,NA
Oyugis,2006,March,NA
Kabarnet,2006,March,15.00
Litein,2006,March,NA
Nakuru Town,2006,March,20.00
Kapsabet,2006,March,17.39
Kilgoris,2006,March,17.62
Eldoret,2006,March,NA
Burnt Forest,2006,March,15.22
Turbo,2006,March,15.22
Kipkaren,2006,March,13.04
Iten,2006,March,14.29
Flax,2006,March,NA
Kajiado Township,2006,March,20.00
Kapkateny,2006,March,15.22
Kapsokwony,2006,March,15.22
Bumala,2006,March,16.19
Busia Town,2006,March,NA
Butere,2006,March,15.91
Kakamega Town,2006,March,NA
Mumias,2006,March,15.91
Mudete,2006,March,18.10
Cheptulu,2006,March,18.50
Mbale,2006,March,15.91
Kawangware,2006,March,21.43
Burma,2006,March,25.00
Gikomba,2006,March,21.05
Kangemi,2006,March,21.43
Korogocho,2006,March,22.22
Kibera(Toi),2006,March,20.48
Kiambu,2006,April,19.05
Limuru,2006,April,21.50
Thika,2006,April,20.00
Gatundu,2006,April,19.05
Muthithi,2006,April,21.43
Mukuyu,2006,April,20.00
Kiriaini,2006,April,19.05
Engineer,2006,April,16.67
Nyeri,2006,April,20.00
Endarasha,2006,April,NA
Karatina,2006,April,18.18
Gakindu,2006,April,19.05
Nanyuki,2006,April,NA
Mariakani,2006,April,18.00
Kaloleni,2006,April,20.00
Malindi,2006,April,28.41
Kibauni Kilifi,2006,April,20.00
Ukunda,2006,April,31.33
Mwembe Tayari,2006,April,20.00
Majengo,2006,April,NA
Sega,2006,April,24.00
Voi,2006,April,NA
Mackinon,2006,April,NA
Kongowea,2006,April,20.00
Hola,2006,April,20.00
Garsen,2006,April,20.00
Runyenjes,2006,April,20.00
Embu Town,2006,April,20.00
Siakago,2006,April,20.00
Mwingi,2006,April,20.00
Migwani,2006,April,18.00
Kalundu,2006,April,20.41
Machakos Town,2006,April,20.11
Tala,2006,April,19.05
Maua,2006,April,22.22
Kianjai,2006,April,18.34
Mwendantu,2006,April,13.64
Wote,2006,April,20.00
Garissa Town,2006,April,NA
Daraja Mbili,2006,April,18.18
Kibirigo,2006,April,19.79
Riochanda,2006,April,19.59
Nyabite,2006,April,NA
Kibuye,2006,April,20.45
Mogonga,2006,April,NA
Nyamache,2006,April,NA
Ahero,2006,April,20.45
Homa Bay,2006,April,NA
Oyugis,2006,April,20.66
Kehancha,2006,April,NA
Kiboswa,2006,April,19.55
Sondu,2006,April,NA
Bondo,2006,April,21.00
Akala,2006,April,NA
Siaya,2006,April,NA
Ugunja,2006,April,17.27
Oyugis,2006,April,20.66
