MARKETS,year,Month,Price
MWEMBE TAYARI,2008,August,NA
MACKINON,2008,August,NA
SEGA,2008,August,NA
KONGOWEA,2008,August,NA
GARSEN,2008,August,NA
RUNYENJES,2008,August,NA
EMBU TOWN,2008,August,30.00
SIAKAGO,2008,August,20.00
MWINGI,2008,August,NA
MIGGWAINI,2008,August,NA
KALUNDU,2008,August,NA
MACHAKOS TOWN,2008,August,NA
TALA,2008,August,27.00
MAUA,2008,August,37.50
KIANJAI,2008,August,31.10
GAKOROMERE,2008,August,NA
WOTE,2008,August,NA
GARISA TOWN,2008,August,NA
DARAJA MBILI,2008,August,24.10
KIBIRIGO,2008,August,NA
NYANGUSU,2008,August,25.00
RIOCHANDA,2008,August,NA
NYABITE,2008,August,NA
MOGONGA,2008,August,NA
NYAMACHE,2008,August,NA
KIBUYE,2008,August,NA
AHERO,2008,August,NA
KIBOSWA,2008,August,NA
SONDU,2008,August,NA
BONDO,2008,August,27.00
SIAYA,2008,August,NA
NGIYA,2008,August,NA
UNGUNJA,2008,August,NA
OYUGIS,2008,August,NA
KEHACHA,2008,August,NA
KABARNET,2008,August,25.00
NAKURU TWON,2008,August,27.80
KAPSABET,2008,August,29.60
KITALE,2008,August,28.60
ELDORET,2008,August,26.50
BURN FOREST,2008,August,NA
TURBO,2008,August,21.20
KIPKAREN,2008,August,32.50
KAJIADO TOWN,2008,August,NA
BUNGOMA TOWN,2008,August,25.00
KIMILILI,2008,August,27.00
KAPSOKWONY,2008,August,NA
BUTERE,2008,August,17.40
KAKAMEGA,2008,August,19.10
MUMIAS,2008,August,20.50
MUNDETA,2008,August,26.20
CHEPTULA,2008,August,26.20
Mbale,2008,August,26.20
KAWANGWARE,2008,August,30.00
BURMA,2008,August,31.30
KIKOMBA,2008,August,30.00
KANGEMI,2008,August,30.00
KOROKOCHO,2008,August,36.60
TOI,2008,August,31.00
KIAMBU,2008,Sep,30.00
LIMURU,2008,Sep,30.00
THIKA,2008,Sep,35.00
GATUNDU,2008,Sep,36.40
MUTHITHI,2008,Sep,32.50
MUKUYU,2008,Sep,30.00
KIRIAINI,2008,Sep,NA
ENGINEER,2008,Sep,NA
NANYUKI,2008,Sep,25.00
NYAHURURU,2008,Sep,NA
MARIAKANI,2008,Sep,30.00
KALOLENI,2008,Sep,30.00
MALINDI,2008,Sep,28.00
KIBAUNI KILIFI,2008,Sep,25.00
UKUNDA,2008,Sep,NA
MWEMBE TAYARI,2008,Sep,NA
MACKINON,2008,Sep,NA
SEGA,2008,Sep,NA
KONGOWEA,2008,Sep,NA
GARSEN,2008,Sep,NA
RUNYENJES,2008,Sep,NA
EMBU TOWN,2008,Sep,35.00
SIAKAGO,2008,Sep,25.90
MWINGI,2008,Sep,28.00
MIGGWAINI,2008,Sep,28.00
KALUNDU,2008,Sep,NA
MACHAKOS TOWN,2008,Sep,NA
TALA,2008,Sep,28.00
MAUA,2008,Sep,37.50
KIANJAI,2008,Sep,NA
GAKOROMERE,2008,Sep,NA
WOTE,2008,Sep,27.00
GARISA TOWN,2008,Sep,NA
DARAJA MBILI,2008,Sep,24.10
KIBIRIGO,2008,Sep,NA
NYANGUSU,2008,Sep,NA
RIOCHANDA,2008,Sep,NA
NYABITE,2008,Sep,NA
MOGONGA,2008,Sep,NA
NYAMACHE,2008,Sep,NA
KIBUYE,2008,Sep,NA
AHERO,2008,Sep,28.50
KIBOSWA,2008,Sep,25.00
SONDU,2008,Sep,NA
BONDO,2008,Sep,26.50
SIAYA,2008,Sep,NA
NGIYA,2008,Sep,NA
UNGUNJA,2008,Sep,NA
OYUGIS,2008,Sep,NA
KEHACHA,2008,Sep,NA
KABARNET,2008,Sep,30.00
NAKURU TWON,2008,Sep,27.80
KAPSABET,2008,Sep,26.20
KITALE,2008,Sep,29.50
ELDORET,2008,Sep,31.80
BURN FOREST,2008,Sep,NA
TURBO,2008,Sep,24.10
KIPKAREN,2008,Sep,20.00
KAJIADO TOWN,2008,Sep,25.00
BUNGOMA TOWN,2008,Sep,25.00
KIMILILI,2008,Sep,25.00
KAPSOKWONY,2008,Sep,NA
BUTERE,2008,Sep,23.90
KAKAMEGA,2008,Sep,22.70
MUMIAS,2008,Sep,23.90
MUNDETA,2008,Sep,28.60
CHEPTULA,2008,Sep,28.60
Mbale,2008,Sep,26.20
KAWANGWARE,2008,Sep,33.30
BURMA,2008,Sep,35.50
KIKOMBA,2008,Sep,36.80
KANGEMI,2008,Sep,31.00
KOROKOCHO,2008,Sep,33.30
TOI,2008,Sep,31.00
KIAMBU,2008,Oct,30.00
LIMURU,2008,Oct,30.00
THIKA,2008,Oct,NA
GATUNDU,2008,Oct,31.80
MUTHITHI,2008,Oct,35.00
MUKUYU,2008,Oct,44.80
KIRIAINI,2008,Oct,NA
ENGINEER,2008,Oct,NA
NANYUKI,2008,Oct,25.00
NYAHURURU,2008,Oct,NA
MARIAKANI,2008,Oct,30.00
KALOLENI,2008,Oct,30.00
MALINDI,2008,Oct,30.00
KIBAUNI KILIFI,2008,Oct,30.00
UKUNDA,2008,Oct,NA
MWEMBE TAYARI,2008,Oct,NA
MACKINON,2008,Oct,NA
SEGA,2008,Oct,NA
KONGOWEA,2008,Oct,NA
GARSEN,2008,Oct,NA
RUNYENJES,2008,Oct,NA
EMBU TOWN,2008,Oct,26.30
SIAKAGO,2008,Oct,31.80
MWINGI,2008,Oct,NA
MIGGWAINI,2008,Oct,30.00
KALUNDU,2008,Oct,NA
MACHAKOS TOWN,2008,Oct,NA
TALA,2008,Oct,28.00
MAUA,2008,Oct,30.00
KIANJAI,2008,Oct,35.60
GAKOROMERE,2008,Oct,27.30
WOTE,2008,Oct,27.00
GARISA TOWN,2008,Oct,NA
DARAJA MBILI,2008,Oct,31.80
KIBIRIGO,2008,Oct,NA
NYANGUSU,2008,Oct,NA
RIOCHANDA,2008,Oct,NA
NYABITE,2008,Oct,NA
MOGONGA,2008,Oct,NA
NYAMACHE,2008,Oct,NA
KIBUYE,2008,Oct,27.30
AHERO,2008,Oct,27.30
KIBOSWA,2008,Oct,27.30
SONDU,2008,Oct,27.30
BONDO,2008,Oct,26.50
SIAYA,2008,Oct,27.30
NGIYA,2008,Oct,27.30
UNGUNJA,2008,Oct,27.30
OYUGIS,2008,Oct,NA
KEHACHA,2008,Oct,NA
KABARNET,2008,Oct,30.00
NAKURU TWON,2008,Oct,27.80
KAPSABET,2008,Oct,23.80
KITALE,2008,Oct,26.20
ELDORET,2008,Oct,25.00
BURN FOREST,2008,Oct,NA
TURBO,2008,Oct,20.00
KIPKAREN,2008,Oct,20.00
KAJIADO TOWN,2008,Oct,40.00
BUNGOMA TOWN,2008,Oct,27.50
KIMILILI,2008,Oct,27.50
KAPSOKWONY,2008,Oct,NA
BUTERE,2008,Oct,23.90
KAKAMEGA,2008,Oct,27.30
MUMIAS,2008,Oct,22.00
MUNDETA,2008,Oct,28.60
CHEPTULA,2008,Oct,30.00
Mbale,2008,Oct,28.60
KAWANGWARE,2008,Oct,33.00
BURMA,2008,Oct,38.90
KIKOMBA,2008,Oct,35.00
KANGEMI,2008,Oct,31.00
KOROKOCHO,2008,Oct,33.30
TOI,2008,Oct,31.00
KIAMBU,2008,Nov,35.00
LIMURU,2008,Nov,32.50
THIKA,2008,Nov,NA
GATUNDU,2008,Nov,NA
MUTHITHI,2008,Nov,35.00
MUKUYU,2008,Nov,33.30
KIRIAINI,2008,Nov,33.30
ENGINEER,2008,Nov,NA
NANYUKI,2008,Nov,35.00
NYAHURURU,2008,Nov,NA
MARIAKANI,2008,Nov,NA
KALOLENI,2008,Nov,NA
MALINDI,2008,Nov,30.00
KIBAUNI KILIFI,2008,Nov,NA
UKUNDA,2008,Nov,NA
MWEMBE TAYARI,2008,Nov,NA
MACKINON,2008,Nov,NA
SEGA,2008,Nov,NA
KONGOWEA,2008,Nov,NA
GARSEN,2008,Nov,NA
RUNYENJES,2008,Nov,NA
EMBU TOWN,2008,Nov,NA
SIAKAGO,2008,Nov,33.30
MWINGI,2008,Nov,NA
MIGGWAINI,2008,Nov,NA
KALUNDU,2008,Nov,NA
MACHAKOS TOWN,2008,Nov,32.00
TALA,2008,Nov,25.00
MAUA,2008,Nov,30.00
KIANJAI,2008,Nov,35.60
GAKOROMERE,2008,Nov,31.80
WOTE,2008,Nov,32.00
GARISA TOWN,2008,Nov,NA
DARAJA MBILI,2008,Nov,31.80
KIBIRIGO,2008,Nov,NA
NYANGUSU,2008,Nov,NA
RIOCHANDA,2008,Nov,NA
NYABITE,2008,Nov,NA
MOGONGA,2008,Nov,NA
NYAMACHE,2008,Nov,NA
KIBUYE,2008,Nov,22.70
AHERO,2008,Nov,29.60
KIBOSWA,2008,Nov,25.00
SONDU,2008,Nov,31.80
BONDO,2008,Nov,NA
SIAYA,2008,Nov,27.30
NGIYA,2008,Nov,29.60
UNGUNJA,2008,Nov,29.60
OYUGIS,2008,Nov,NA
KEHACHA,2008,Nov,NA
KABARNET,2008,Nov,NA
NAKURU TWON,2008,Nov,27.80
KAPSABET,2008,Nov,26.20
KITALE,2008,Nov,NA
ELDORET,2008,Nov,20.00
BURN FOREST,2008,Nov,NA
TURBO,2008,Nov,20.00
KIPKAREN,2008,Nov,20.00
KAJIADO TOWN,2008,Nov,40.00
BUNGOMA TOWN,2008,Nov,30.00
KIMILILI,2008,Nov,27.50
KAPSOKWONY,2008,Nov,NA
BUTERE,2008,Nov,NA
KAKAMEGA,2008,Nov,NA
MUMIAS,2008,Nov,20.00
MUNDETA,2008,Nov,28.60
CHEPTULA,2008,Nov,28.60
Mbale,2008,Nov,28.60
KAWANGWARE,2008,Nov,33.30
BURMA,2008,Nov,38.90
KIKOMBA,2008,Nov,35.00
KANGEMI,2008,Nov,33.30
KOROKOCHO,2008,Nov,33.30
TOI,2008,Nov,33.30
KIAMBU,2008,Dec,26.30
LIMURU,2008,Dec,30.00
THIKA,2008,Dec,NA
GATUNDU,2008,Dec,NA
MUTHITHI,2008,Dec,NA
MUKUYU,2008,Dec,32.60
KIRIAINI,2008,Dec,33.30
ENGINEER,2008,Dec,NA
NANYUKI,2008,Dec,30.00
NYAHURURU,2008,Dec,NA
MARIAKANI,2008,Dec,NA
KALOLENI,2008,Dec,NA
MALINDI,2008,Dec,30.00
KIBAUNI KILIFI,2008,Dec,NA
UKUNDA,2008,Dec,NA
MWEMBE TAYARI,2008,Dec,NA
MACKINON,2008,Dec,NA
SEGA,2008,Dec,NA
KONGOWEA,2008,Dec,NA
GARSEN,2008,Dec,15.00
RUNYENJES,2008,Dec,32.50
EMBU TOWN,2008,Dec,NA
SIAKAGO,2008,Dec,30.70
MWINGI,2008,Dec,NA
MIGGWAINI,2008,Dec,NA
KALUNDU,2008,Dec,NA
MACHAKOS TOWN,2008,Dec,30.00
TALA,2008,Dec,31.90
MAUA,2008,Dec,30.00
KIANJAI,2008,Dec,29.20
GAKOROMERE,2008,Dec,NA
WOTE,2008,Dec,32.00
GARISA TOWN,2008,Dec,NA
DARAJA MBILI,2008,Dec,NA
KIBIRIGO,2008,Dec,NA
NYANGUSU,2008,Dec,NA
RIOCHANDA,2008,Dec,NA
NYABITE,2008,Dec,NA
MOGONGA,2008,Dec,NA
NYAMACHE,2008,Dec,NA
KIBUYE,2008,Dec,NA
AHERO,2008,Dec,NA
KIBOSWA,2008,Dec,NA
SONDU,2008,Dec,NA
BONDO,2008,Dec,NA
SIAYA,2008,Dec,NA
NGIYA,2008,Dec,NA
UNGUNJA,2008,Dec,NA
OYUGIS,2008,Dec,NA
KEHACHA,2008,Dec,NA
KABARNET,2008,Dec,NA
NAKURU TWON,2008,Dec,27.80
KAPSABET,2008,Dec,NA
KITALE,2008,Dec,NA
ELDORET,2008,Dec,20.00
BURN FOREST,2008,Dec,NA
TURBO,2008,Dec,20.00
KIPKAREN,2008,Dec,22.00
KAJIADO TOWN,2008,Dec,40.00
BUNGOMA TOWN,2008,Dec,29.00
KIMILILI,2008,Dec,25.00
KAPSOKWONY,2008,Dec,NA
BUTERE,2008,Dec,NA
KAKAMEGA,2008,Dec,NA
MUMIAS,2008,Dec,NA
MUNDETA,2008,Dec,NA
CHEPTULA,2008,Dec,NA
Mbale,2008,Dec,NA
KAWANGWARE,2008,Dec,33.30
BURMA,2008,Dec,44.40
KIKOMBA,2008,Dec,36.40
KANGEMI,2008,Dec,33.30
KOROKOCHO,2008,Dec,36.40
TOI,2008,Dec,33.30
KIAMBU,2009,Jan,35.00
LIMURU,2009,Jan,30.00
MUTHITHI,2009,Jan,35.00
MUKUYU,2009,Jan,33.30
KIRIAINI,2009,Jan,33.30
NANYUKI,2009,Jan,35.30
SIPILI,2009,Jan,20.00
MARIAKANI,2009,Jan,33.50
KALOLENI,2009,Jan,32.00
MALINDI,2009,Jan,30.00
KIBAUNI KILIFI,2009,Jan,35.00
GARSEN,2009,Jan,22.50
RUNYENJES,2009,Jan,35.00
EMBU TOWN,2009,Jan,37.50
SIAKAGO,2009,Jan,29.60
MIGWANI,2009,Jan,NA
MACHAKOS TOWN,2009,Jan,31.60
TALA,2009,Jan,30.00
MWENDANTU,2009,Jan,31.80
WOTE,2009,Jan,30.00
GARISSA TOWN,2009,Jan,40.00
DARAJA MBILI,2009,Jan,28.60
BONDO,2009,Jan,30.00
KABARNET,2009,Jan,25.00
KAPSABET,2009,Jan,23.90
KITALE,2009,Jan,26.20
ELDORET,2009,Jan,27.30
TURBO,2009,Jan,26.20
KIPKAREN,2009,Jan,25.00
KAIADO TOWNSHIP,2009,Jan,NA
BUNGOMA TOWN,2009,Jan,27.30
KIMILILI,2009,Jan,NA
KAPSOKWONY,2009,Jan,NA
MUDETE,2009,Jan,28.60
CHEPTULU,2009,Jan,28.60
MBALE,2009,Jan,28.60
KAWANGWARE,2009,Jan,40.00
BURMA,2009,Jan,38.10
KIKOMBA,2009,Jan,25.00
KANGEMI,2009,Jan,37.50
KOROGOCHO,2009,Jan,40.90
KIBERA(TOI),2009,Jan,35.00
KIAMBU,2009,Feb,35.00
LIMURU,2009,Feb,32.50
MUTHITHI,2009,Feb,35.00
MUKUYU,2009,Feb,35.00
KIRIAINI,2009,Feb,38.10
NANYUKI,2009,Feb,33.30
SIPILI,2009,Feb,20.00
MARIAKANI,2009,Feb,35.00
KALOLENI,2009,Feb,32.00
MALINDI,2009,Feb,35.00
KIBAUNI KILIFI,2009,Feb,35.00
GARSEN,2009,Feb,NA
RUNYENJES,2009,Feb,37.50
EMBU TOWN,2009,Feb,37.50
SIAKAGO,2009,Feb,35.70
MIGWANI,2009,Feb,35.00
MACHAKOS TOWN,2009,Feb,33.00
TALA,2009,Feb,NA
MWENDANTU,2009,Feb,27.30
WOTE,2009,Feb,30.00
GARISSA TOWN,2009,Feb,38.90
DARAJA MBILI,2009,Feb,31.80
BONDO,2009,Feb,35.00
KABARNET,2009,Feb,29.00
KAPSABET,2009,Feb,32.60
KITALE,2009,Feb,28.60
ELDORET,2009,Feb,29.50
TURBO,2009,Feb,28.60
KIPKAREN,2009,Feb,32.50
KAIADO TOWNSHIP,2009,Feb,NA
BUNGOMA TOWN,2009,Feb,NA
KIMILILI,2009,Feb,NA
KAPSOKWONY,2009,Feb,NA
MUDETE,2009,Feb,35.70
CHEPTULU,2009,Feb,33.30
MBALE,2009,Feb,33.30
KAWANGWARE,2009,Feb,37.50
BURMA,2009,Feb,38.10
KIKOMBA,2009,Feb,75.00
KANGEMI,2009,Feb,37.50
KOROGOCHO,2009,Feb,38.10
KIBERA(TOI),2009,Feb,35.00
KIAMBU,2009,March,NA
LIMURU,2009,March,NA
MUTHITHI,2009,March,35.00
MUKUYU,2009,March,26.00
KIRIAINI,2009,March,NA
NANYUKI,2009,March,34.20
SIPILI,2009,March,46.60
MARIAKANI,2009,March,35.00
KALOLENI,2009,March,35.00
MALINDI,2009,March,35.00
KIBAUNI KILIFI,2009,March,35.00
GARSEN,2009,March,25.00
RUNYENJES,2009,March,37.50
EMBU TOWN,2009,March,37.50
SIAKAGO,2009,March,37.50
MIGWANI,2009,March,33.00
MACHAKOS TOWN,2009,March,32.00
TALA,2009,March,NA
MWENDANTU,2009,March,27.30
WOTE,2009,March,30.00
GARISSA TOWN,2009,March,NA
DARAJA MBILI,2009,March,31.80
BONDO,2009,March,NA
KABARNET,2009,March,30.00
KAPSABET,2009,March,32.60
KITALE,2009,March,35.00
ELDORET,2009,March,29.80
TURBO,2009,March,NA
KIPKAREN,2009,March,31.80
KAIADO TOWNSHIP,2009,March,NA
BUNGOMA TOWN,2009,March,31.80
KIMILILI,2009,March,NA
KAPSOKWONY,2009,March,NA
MUDETE,2009,March,33.30
CHEPTULU,2009,March,33.30
MBALE,2009,March,33.30
KAWANGWARE,2009,March,38.10
BURMA,2009,March,42.90
KIKOMBA,2009,March,66.70
KANGEMI,2009,March,55.00
KOROGOCHO,2009,March,36.40
KIBERA(TOI),2009,March,35.70
KIAMBU,2009,April,NA
LIMURU,2009,April,NA
MUTHITHI,2009,April,35.00
MUKUYU,2009,April,33.30
KIRIAINI,2009,April,35.70
NANYUKI,2009,April,43.80
SIPILI,2009,April,25.00
MARIAKANI,2009,April,35.00
KALOLENI,2009,April,35.00
MALINDI,2009,April,35.00
KIBAUNI KILIFI,2009,April,35.00
GARSEN,2009,April,25.00
RUNYENJES,2009,April,37.50
EMBU TOWN,2009,April,51.20
SIAKAGO,2009,April,NA
MIGWANI,2009,April,40.00
MACHAKOS TOWN,2009,April,33.00
TALA,2009,April,NA
MWENDANTU,2009,April,30.00
WOTE,2009,April,32.00
GARISSA TOWN,2009,April,NA
DARAJA MBILI,2009,April,38.60
BONDO,2009,April,NA
KABARNET,2009,April,35.00
KAPSABET,2009,April,35.70
KITALE,2009,April,35.00
ELDORET,2009,April,31.00
TURBO,2009,April,31.00
KIPKAREN,2009,April,33.30
KAIADO TOWNSHIP,2009,April,50.00
BUNGOMA TOWN,2009,April,35.00
KIMILILI,2009,April,NA
KAPSOKWONY,2009,April,NA
MUDETE,2009,April,38.10
CHEPTULU,2009,April,38.10
MBALE,2009,April,38.10
KAWANGWARE,2009,April,35.70
BURMA,2009,April,45.00
KIKOMBA,2009,April,35.00
KANGEMI,2009,April,31.80
KOROGOCHO,2009,April,41.00
KIBERA(TOI),2009,April,40.00
KIAMBU,2009,May,33.80
LIMURU,2009,May,37.50
MUTHITHI,2009,May,40.00
MUKUYU,2009,May,35.70
KIRIAINI,2009,May,38.10
NANYUKI,2009,May,44.40
SIPILI,2009,May,NA
MARIAKANI,2009,May,35.00
KALOLENI,2009,May,35.00
MALINDI,2009,May,40.00
KIBAUNI KILIFI,2009,May,35.00
GARSEN,2009,May,25.00
RUNYENJES,2009,May,40.00
EMBU TOWN,2009,May,42.50
SIAKAGO,2009,May,43.20
MIGWANI,2009,May,35.00
MACHAKOS TOWN,2009,May,38.90
TALA,2009,May,NA
MWENDANTU,2009,May,32.00
WOTE,2009,May,NA
GARISSA TOWN,2009,May,NA
DARAJA MBILI,2009,May,33.30
BONDO,2009,May,NA
KABARNET,2009,May,35.00
KAPSABET,2009,May,40.50
KITALE,2009,May,NA
ELDORET,2009,May,33.30
TURBO,2009,May,31.00
KIPKAREN,2009,May,37.50
KAIADO TOWNSHIP,2009,May,NA
BUNGOMA TOWN,2009,May,40.00
KIMILILI,2009,May,NA
KAPSOKWONY,2009,May,42.50
MUDETE,2009,May,35.70
CHEPTULU,2009,May,35.70
MBALE,2009,May,35.70
KAWANGWARE,2009,May,38.10
BURMA,2009,May,39.50
KIKOMBA,2009,May,43.50
KANGEMI,2009,May,37.50
KOROGOCHO,2009,May,40.00
KIBERA(TOI),2009,May,40.00
KIAMBU,2009,JUNE,34.70
LIMURU,2009,JUNE,37.50
MUTHITHI,2009,JUNE,NA
MUKUYU,2009,JUNE,38.10
KIRIAINI,2009,JUNE,38.10
NANYUKI,2009,JUNE,50.00
SIPILI,2009,JUNE,NA
MARIAKANI,2009,JUNE,35.00
KALOLENI,2009,JUNE,35.00
MALINDI,2009,JUNE,NA
KIBAUNI KILIFI,2009,JUNE,35.00
GARSEN,2009,JUNE,NA
RUNYENJES,2009,JUNE,35.00
EMBU TOWN,2009,JUNE,40.00
SIAKAGO,2009,JUNE,38.10
MIGWANI,2009,JUNE,34.00
MACHAKOS TOWN,2009,JUNE,32.00
TALA,2009,JUNE,NA
MWENDANTU,2009,JUNE,33.00
WOTE,2009,JUNE,32.00
GARISSA TOWN,2009,JUNE,NA
DARAJA MBILI,2009,JUNE,31.80
BONDO,2009,JUNE,NA
KABARNET,2009,JUNE,NA
KAPSABET,2009,JUNE,35.70
KITALE,2009,JUNE,37.50
ELDORET,2009,JUNE,40.00
TURBO,2009,JUNE,40.00
KIPKAREN,2009,JUNE,41.00
KAIADO TOWNSHIP,2009,JUNE,NA
BUNGOMA TOWN,2009,JUNE,40.00
KIMILILI,2009,JUNE,37.50
KAPSOKWONY,2009,JUNE,40.00
MUDETE,2009,JUNE,NA
CHEPTULU,2009,JUNE,NA
MBALE,2009,JUNE,NA
KAWANGWARE,2009,JUNE,38.10
BURMA,2009,JUNE,40.70
KIKOMBA,2009,JUNE,40.90
KANGEMI,2009,JUNE,38.00
KOROGOCHO,2009,JUNE,36.00
KIBERA(TOI),2009,JUNE,39.10
KIAMBU,2009,JULY,48.60
LIMURU,2009,JULY,37.50
MUTHITHI,2009,JULY,NA
MUKUYU,2009,JULY,NA
KIRIAINI,2009,JULY,33.30
NANYUKI,2009,JULY,44.40
SIPILI,2009,JULY,NA
MARIAKANI,2009,JULY,35.00
KALOLENI,2009,JULY,35.00
MALINDI,2009,JULY,NA
KIBAUNI KILIFI,2009,JULY,35.00
GARSEN,2009,JULY,NA
RUNYENJES,2009,JULY,35.00
EMBU TOWN,2009,JULY,35.00
SIAKAGO,2009,JULY,37.50
MIGWANI,2009,JULY,30.00
MACHAKOS TOWN,2009,JULY,33.00
TALA,2009,JULY,NA
MWENDANTU,2009,JULY,35.00
WOTE,2009,JULY,32.00
GARISSA TOWN,2009,JULY,NA
DARAJA MBILI,2009,JULY,NA
BONDO,2009,JULY,NA
KABARNET,2009,JULY,NA
KAPSABET,2009,JULY,NA
KITALE,2009,JULY,35.00
ELDORET,2009,JULY,40.00
TURBO,2009,JULY,40.00
KIPKAREN,2009,JULY,37.50
KAIADO TOWNSHIP,2009,JULY,NA
BUNGOMA TOWN,2009,JULY,37.50
KIMILILI,2009,JULY,40.00
KAPSOKWONY,2009,JULY,NA
MUDETE,2009,JULY,NA
CHEPTULU,2009,JULY,NA
MBALE,2009,JULY,NA
KAWANGWARE,2009,JULY,36.40
BURMA,2009,JULY,40.00
KIKOMBA,2009,JULY,39.10
KANGEMI,2009,JULY,37.50
KOROGOCHO,2009,JULY,NA
KIBERA(TOI),2009,JULY,38.50
KIAMBU,2009,August,NA
LIMURU,2009,August,NA
MUTHITHI,2009,August,NA
MUKUYU,2009,August,NA
KIRIAINI,2009,August,NA
NANYUKI,2009,August,44.40
SIPILI,2009,August,NA
MARIAKANI,2009,August,35.00
KALOLENI,2009,August,35.00
MALINDI,2009,August,NA
KIBAUNI KILIFI,2009,August,35.00
GARSEN,2009,August,NA
RUNYENJES,2009,August,NA
EMBU TOWN,2009,August,NA
SIAKAGO,2009,August,35.00
MIGWANI,2009,August,NA
MACHAKOS TOWN,2009,August,NA
TALA,2009,August,NA
MWENDANTU,2009,August,NA
WOTE,2009,August,NA
GARISSA TOWN,2009,August,NA
DARAJA MBILI,2009,August,NA
BONDO,2009,August,NA
KABARNET,2009,August,NA
KAPSABET,2009,August,NA
KITALE,2009,August,NA
ELDORET,2009,August,40.00
TURBO,2009,August,40.00
KIPKAREN,2009,August,32.50
KAIADO TOWNSHIP,2009,August,NA
BUNGOMA TOWN,2009,August,37.50
KIMILILI,2009,August,NA
KAPSOKWONY,2009,August,NA
MUDETE,2009,August,NA
CHEPTULU,2009,August,NA
MBALE,2009,August,NA
KAWANGWARE,2009,August,37.10
BURMA,2009,August,42.00
KIKOMBA,2009,August,35.70
KANGEMI,2009,August,38.00
KOROGOCHO,2009,August,35.70
KIBERA(TOI),2009,August,35.70
KIAMBU,2009,Sep,NA
LIMURU,2009,Sep,NA
MUTHITHI,2009,Sep,NA
MUKUYU,2009,Sep,NA
KIRIAINI,2009,Sep,NA
NANYUKI,2009,Sep,NA
SIPILI,2009,Sep,NA
MARIAKANI,2009,Sep,NA
KALOLENI,2009,Sep,NA
MALINDI,2009,Sep,NA
KIBAUNI KILIFI,2009,Sep,NA
GARSEN,2009,Sep,NA
RUNYENJES,2009,Sep,30.00
EMBU TOWN,2009,Sep,30.00
SIAKAGO,2009,Sep,NA
MIGWANI,2009,Sep,NA
MACHAKOS TOWN,2009,Sep,NA
TALA,2009,Sep,NA
MWENDANTU,2009,Sep,NA
WOTE,2009,Sep,NA
GARISSA TOWN,2009,Sep,NA
DARAJA MBILI,2009,Sep,NA
BONDO,2009,Sep,NA
KABARNET,2009,Sep,NA
KAPSABET,2009,Sep,NA
KITALE,2009,Sep,35.00
ELDORET,2009,Sep,NA
TURBO,2009,Sep,NA
KIPKAREN,2009,Sep,NA
KAIADO TOWNSHIP,2009,Sep,NA
BUNGOMA TOWN,2009,Sep,30.00
KIMILILI,2009,Sep,NA
KAPSOKWONY,2009,Sep,NA
MUDETE,2009,Sep,NA
CHEPTULU,2009,Sep,NA
MBALE,2009,Sep,NA
KAWANGWARE,2009,Sep,38.80
BURMA,2009,Sep,41.00
KIKOMBA,2009,Sep,35.70
KANGEMI,2009,Sep,38.80
KOROGOCHO,2009,Sep,36.90
KIBERA(TOI),2009,Sep,37.10
KIAMBU,2009,Oct,NA
LIMURU,2009,Oct,32.50
MUTHITHI,2009,Oct,NA
MUKUYU,2009,Oct,33.30
KIRIAINI,2009,Oct,35.70
NANYUKI,2009,Oct,44.40
SIPILI,2009,Oct,25.00
MARIAKANI,2009,Oct,36.00
KALOLENI,2009,Oct,36.00
MALINDI,2009,Oct,30.00
KIBAUNI KILIFI,2009,Oct,NA
GARSEN,2009,Oct,NA
RUNYENJES,2009,Oct,30.00
EMBU TOWN,2009,Oct,35.00
SIAKAGO,2009,Oct,32.50
MIGWANI,2009,Oct,50.00
MACHAKOS TOWN,2009,Oct,NA
TALA,2009,Oct,NA
MWENDANTU,2009,Oct,29.10
WOTE,2009,Oct,32.00
GARISSA TOWN,2009,Oct,NA
DARAJA MBILI,2009,Oct,31.80
BONDO,2009,Oct,NA
KABARNET,2009,Oct,NA
KAPSABET,2009,Oct,NA
KITALE,2009,Oct,30.00
ELDORET,2009,Oct,30.00
TURBO,2009,Oct,22.00
KIPKAREN,2009,Oct,21.20
KAIADO TOWNSHIP,2009,Oct,NA
BUNGOMA TOWN,2009,Oct,NA
KIMILILI,2009,Oct,25.00
KAPSOKWONY,2009,Oct,27.50
MUDETE,2009,Oct,NA
CHEPTULU,2009,Oct,NA
MBALE,2009,Oct,NA
KAWANGWARE,2009,Oct,36.50
BURMA,2009,Oct,40.00
KIKOMBA,2009,Oct,37.50
KANGEMI,2009,Oct,37.50
KOROGOCHO,2009,Oct,35.70
KIBERA(TOI),2009,Oct,35.00
KIAMBU,2009,Nov,32.50
LIMURU,2009,Nov,30.00
MUTHITHI,2009,Nov,NA
MUKUYU,2009,Nov,33.30
KIRIAINI,2009,Nov,31.00
NANYUKI,2009,Nov,44.40
SIPILI,2009,Nov,NA
MARIAKANI,2009,Nov,36.00
KALOLENI,2009,Nov,36.00
MALINDI,2009,Nov,35.00
KIBAUNI KILIFI,2009,Nov,36.00
GARSEN,2009,Nov,NA
RUNYENJES,2009,Nov,32.50
EMBU TOWN,2009,Nov,32.50
SIAKAGO,2009,Nov,32.50
MIGWANI,2009,Nov,50.00
MACHAKOS TOWN,2009,Nov,30.00
TALA,2009,Nov,NA
