Town,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV                   ,DEC,year
Bondo,27.4,28.4,30.1,31.8,31.8,32.9,37.5,-,-,-,-,-,2016
Akala,-,-,-,-,-,-,-,34.7,36.4,38.3,37.1,-,2016
Siaya,27.1,27.3,30.3,31.6,31.8,32.0,34.2,33.2,39.7,39.9,37.6,-,2016
Ngiya,31.5,27.3,31.9,31.6,30.7,32.7,33.7,31.8,34.7,36.8,35.1,33.5,2016
Unguja,30.5,30.5,31.2,,,33.4,35.3,35.4,33.2,36.7,35.6,-,2016
Kegonga,35.9,31.3,30.4,37.0,34.8,37.0,37.0,30.4,31.5,43.5,43.5,47.8,2016
Homabay,27.8,26.9,27.5,27.9,28.1,32.0,-,-,32.0,34.1,36.1,36.2,2016
Oyugis,24.3,24.1,24.6,27.7,-,32.0,-,-,26.4,32.4,36.7,37.5,2016
Kehacha,34.8,30.4,28.3,-,28.3,26.1,25.0,26.1,34.8,-,39.1,43.5,2016
Migori,34.8,,28.3,30.4,33.7,34.8,26.1,23.1,26.1,34.8,39.1,43.5,2016
Turkana,,,,,,,,37.4,53.5,43.2,45.5,,2016
Kabarnet,,,,,,34.1,,42.8,-,-,-,-,2016
Kimulot,,,26.0,,,32.0,32.5,36.0,32.0,32.0,-,-,2016
Sotik,-,-,-,-,,32.0,32.4,32.8,33.0,36.0,-,-,2016
Fort  Ternan,-,-,-,-,,,,,30.0,30.0,-,-,2016
Bomet,-,-,-,-,36.0,36.0,36.0,36.0,36.0,34.7,-,-,2016
Muthurwa  Narok,36.0,36.0,38.0,35.0,32.0,36.0,33.8,33.0,32.0,34.0,32.0,,2016
Nakuru  Town,60.0,62.5,62.5,50.0,50.9,57.5,60.0,60.0,48.9,47.5,44.3,34.3,2016
Mulot,29.5,-,-,-,33.9,35.1,33.6,33.1,-,-,-,-,2016
Kitale,-,-,-,-,-,-,35.6,36.1,35.4,32.1,31.3,30.2,2016
Kapenguria,-,-,28.0,28.0,28.0,32.0,-,-,-,-,-,-,2016
Eldoret,24.0,27.0,27.5,28.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,2016
Burn  Forest,31.0,31.3,35.0,35.0,35.0,35.0,35.0,35.7,40.0,46.3,33.8,35.0,2016
Turbo,25.0,26.9,30.0,32.5,35.0,35.0,35.0,37.1,37.5,34.0,28.8,29.4,2016
Kipkaren,25.0,26.9,30.0,32.5,35.0,35.0,35.0,37.9,40.0,34.0,30.5,29.4,2016
Iten,24.0,24.8,28.9,26.1,29.4,34.1,34.9,34.5,32.7,34.1,-,27.2,2016
Kajiado,50.0,40.0,50.0,50.0,47.3,46.7,44.0,42.5,50.0,45.0,50.0,-,2016
Bungoma  Town,27.0,24.0,27.0,27.6,29.2,35.6,36.4,30.3,30.1,28.9,32.4,34.4,2016
Kimilili,-,-,-,-,-,-,35.1,30.3,,21.8,26.5,,2016
Kapsokwony,-,-,-,-,-,-,-,-,35.2,25.7,26.8,28.3,2016
Bumala,35.7,35.7,35.7,35.7,35.7,33.3,41.4,45.2,40.5,40.5,40.5,40.5,2016
Busia  Town,35.7,38.1,38.1,38.1,38.1,42.9,41.7,39.3,36.9,40.5,40.5,40.5,2016
Butere,27.7,30.7,31.8,43.2,35.0,40.6,33.9,21.3,23.1,28.3,31.8,38.6,2016
Kakamega,33.2,40.0,40.0,37.5,38.8,40.0,40.6,38.3,32.5,34.4,35.0,40.8,2016
Mumias,28.3,31.8,30.7,30.7,37.5,40.0,39.1,31.0,24.0,26.0,29.5,32.0,2016
Mundeta,26.2,26.2,27.4,27.8,31.0,35.7,34.3,32.1,31.0,34.9,32.7,33.3,2016
Cheptula,28.6,26.2,,31.0,33.3,35.7,37.0,35.7,34.5,32.1,34.9,35.7,2016
Mbale,25.4,30.2,27.7,30.0,33.9,-,-,35.0,35.0,32.5,-,-,2016
Muthurwa,40.9,42.9,42.5,40.9,42.9,45.0,42.9,42.9,45.5,42.9,45.5,47.6,2016
Kawangware,45.5,42.9,42.9,42.9,45.2,47.5,45.2,43.2,45.2,45.3,,47.6,2016
Burma,45.0,45.0,41.7,41.7,41.7,50.0,45.0,45.0,45.0,50.0,50.0,50.0,2016
Gikomba,36.4,45.2,42.9,42.9,42.9,42.9,40.9,40.0,42.9,43.2,45.2,45.5,2016
Kangemi,42.9,45.0,45.5,45.0,42.9,45.0,42.9,42.9,47.6,45.0,45.2,45.2,2016
Korokocho,37.5,42.9,40.9,42.9,40.9,42.5,42.9,40.9,42.9,45.0,42.9,42.9,2016
Toi,45.0,42.9,42.9,42.5,40.9,42.9,42.9,42.5,42.9,45.0,42.9,45.0,2016
"Kiambu",40.0,40.0,40.0,40.0,40.0,40.0,40.0,-,-,-,-,-,2015
Limuru,40.0,40.0,40.0,40.0,40.0,40.0,40.0,-,-,-,-,-,2015
Thika,50.0,49.4,42.5,50.0,50.0,-,50.0,-,44.3,-,-,-,2015
Gatundu,43.8,43.8,-,-,-,-,-,-,40.0,-,-,-,2015
Kutus,33.0,28.6,-,29.7,32.0,34.2,30.1,30.7,24.3,28.6,28.6,29.2,2015
Sagana,32.0,31.1,-,32.0,36.4,38.0,30.6,24.1,31.8,28.4,33.2,36.4,2015
Kerugoya,32.5,31.5,-,34.8,34.8,36.2,32.6,37.1,29.9,29.8,29.2,31.5,2015
Muthithi,30.5,-,31.8,32.4,36.4,31.8,32.7,-,25.6,25.0,-,-,2015
Makuyu,33.3,33.3,33.3,34.5,-,34.8,33.3,35.2,33.3,39.4,29.4,28.6,2015
Kiriaini,-,35.0,35.0,37.1,40.0,40.0,37.5,36.3,35.6,32.6,32.5,-,2015
Engineer,40.0,40.0,40.0,40.0,40.0,-,-,-,-,-,-,-,2015
Nyeri,39.6,38.9,42.7,41.4,49.4,48.8,43.9,52.5,47.6,-,-,-,2015
Endarasha,41.0,42.9,37.4,41.6,43.8,,36.7,38.9,35.8,-,-,-,2015
Karatina,34.2,35.5,37.6,43.7,40.3,39.1,38.5,39.3,43.0,45.0,-,-,2015
Gakindu,-,35.6,33.3,33.0,38.6,37.8,,37.2,33.1,34.3,35.0,,2015
Nanyuki,44.6,36.2,37.5,47.2,48.9,43.0,45.8,46.1,43.1,44.4,44.3,33.5,2015
Nyahururu,32.6,29.6,27.3,36.4,34.9,31.8,31.8,31.8,30.5,30.0,25.0,27.3,2015
Kaloleni,35.0,-,-,-,-,-,-,-,-,-,-,-,2015
Malindi,31.5,30.0,34.0,37.0,-,-,-,-,-,-,-,-,2015
Kibauni Kilifi,40.0,45.0,45.0,43.8,45.0,-,-,-,-,-,-,-,2015
Ukunda,30.0,30.0,32.0,43.3,45.0,42.5,38.0,45.0,40.0,40.7,40.3,39.4,2015
Kwale,40.0,38.9,38.8,40.0,31.1,30.0,30.0,32.5,-,38.9,36.3,38.5,2015
Mpeketoni,-,-,-,-,-,-,-,-,-,40.0,-,-,2015
Mkunguni,-,60.0,55.0,50.0,56.3,-,-,50.0,50.0,50.0,50.0,-,2015
Mwembe Tayari,45.0,41.8,43.3,41.8,42.5,50.0,45.0,47.5,46.3,56.0,61.7,-,2015
Majengo,38.0,41.3,45.0,40.0,42.4,45.0,42.8,41.0,45.0,42.8,40.0,-,2015
Sega,38.3,35.0,37.5,43.8,40.0,-,40.2,45.0,45.0,45.0,45.0,-,2015
Kongowea,34.4,30.0,30.0,54.3,38.0,-,40.0,39.7,40.0,38.0,37.0,-,2015
Hola,-,-,-,-,-,50.0,37.5,35.0,-,50.0,-,35.0,2015
Garsen,-,-,-,-,-,40.0,40.0,-,40.0,-,-,-,2015
Bura Tana,-,-,-,-,-,40.0,35.0,-,35.0,35.0,-,30.0,2015
Runyenjes,33.0,31.8,27.8,27.8,32.7,32.8,31.8,30.9,25.0,23.9,27.3,27.3,2015
Embu Town,32.7,30.3,29.0,31.3,36.4,34.1,33.0,30.0,27.3,27.3,22.7,22.7,2015
Siakago,33.3,33.3,31.8,31.8,36.4,35.1,33.1,29.0,24.7,27.3,27.3,29.6,2015
Mwingi,27.4,27.3,27.0,30.3,34.2,34.6,35.9,31.7,30.0,30.0,-,30.0,2015
Kalundu,28.0,27.0,27.0,33.0,34.8,33.0,36.3,35.0,30.0,30.0,30.0,30.0,2015
