Town,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV                   ,DEC,year
NYAHURURU,17.5,16.0,14.6,12.0,12.0,22.5,11.9,14.3,-,-,-,-,2007
MARIAKANI,20.0,20.0,18.0,20.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,18.0,2007
KALOLENI,20.0,20.0,17.0,17.0,17.0,18.0,18.0,17.0,17.0,17.0,14.0,18.0,2007
MALINDI,20.0,17.2,20.0,-,20.0,20.0,20.0,20.0,-,-,-,-,2007
KIBAUNI KILIFI,21.0,20.0,18.0,18.0,17.0,16.5,17.0,17.0,17.0,17.0,.,18.0,2007
UKUNDA,35.0,35.0,38.0,35.0,35.0,30.0,25.0,25.0,-,-,-,-,2007
WUNDANYI,-,-,14.0,14.0,13.0,-,-,-,-,-,-,-,2007
MWEMBE TAYARI,20.0,20.0,23.7,30.0,20.0,20.0,20.0,18.0,-,-,-,-,2007
SEGA,20.0,20.0,20.0,22.0,20.0,-,-,-,-,-,-,-,2007
KONGOWEA,15.0,15.0,.,15.0,14.0,14.5,14.0,-,-,-,-,-,2007
GARSEN,-,20.0,25.0,-,-,-,20.0,20.0,25.0,-,-,-,2007
BURA TANA,20.0,20.0,20.0,40.0,20.0,-,-,-,-,-,-,-,2007
RUNYENJES,17.5,17.5,15.0,15.0,15.0,12.5,10.0,12.5,12.5,12.5,15.0,12.5,2007
EMBU TOWN,17.5,17.5,15.0,12.5,12.5,12.0,12.5,12.5,12.5,12.5,15.0,15.0,2007
SIAKAGO,20.0,17.5,12.5,12.5,12.5,-,11.8,11.5,11.5,15.0,15.0,15.0,2007
MWINGI,15.0,16.0,15.0,8.0,-,15.0,15.0,10.0,15.0,-,-,-,2007
MIGGWAINI,17.0,16.0,7.3,10.0,10.0,10.0,12.0,12.0,-,12.0,13.0,-,2007
MACHAKOS TOWN,18.2,-,12.0,12.0,5.7,10.0,10.0,12.0,12.0,13.0,-,-,2007
TALA,12.0,9.8,9.4,9.5,10.0,9.5,9.0,20.0,10.0,10.0,-,-,2007
MAUA,-,25.0,16.3,12.5,15.0,13.8,12.5,-,-,-,-,-,2007
KIANJAI,17.8,17.8,10.0,12.5,11.1,11.1,8.9,-,-,-,-,-,2007
GAKOROMERE,16.0,13.6,8.0,9.1,9.1,10.9,9.1,9.1,9.1,12.0,11.8,11.8,2007
WOTE,17.0,15.0,14.0,11.0,11.0,12.0,12.0,12.0,14.0,14.0,-,17.0,2007
GARISA TOWN,29.6,16.7,16.7,16.7,16.7,16.7,16.7,-,15.0,-,-,-,2007
DARAJA MBILI,13.3,14.3,13.6,14.3,14.3,13.6,12.8,11.4,13.3,14.3,9.5,17.6,2007
KIBIRIGO,16.7,-,-,-,-,16.7,11.9,-,13.3,.,.,.,2007
NYANGUSU,14.3,9.1,10.9,11.9,13.1,10.0,10.9,11.9,9.5,14.3,11.9,13.3,2007
RIOCHANDA,13.3,-,-,-,22.6,-,-,16.7,-,-,-,-,2007
NYABITE,15.5,-,-,-,14.3,-,-,14.3,-,-,-,-,2007
MOGONGA,12.4,10.9,10.4,11.9,12.4,13.3,11.7,9.5,9.5,11.9,15.0,14.3,2007
NYAMACHE,14.3,12.1,10.0,14.3,11.9,11.6,10.9,11.9,11.9,-,12.4,14.3,2007
KIBUYE,16.7,14.1,14.3,15.7,-,-,-,-,-,-,-,-,2007
AHERO,-,-,-,-,-,-,-,-,-,-,-,16.7,2007
KIBOSWA,16.2,15.7,14.1,15.2,-,-,-,-,-,-,-,-,2007
SONDU,14.6,13.6,13.6,-,-,-,-,-,-,-,16.7,16.7,2007
BONDO,15.0,15.4,17.5,17.5,14.1,15.0,15.0,16.5,16.5,16.5,16.5,-,2007
OYUGIS,12.4,13.3,-,-,16.2,-,15.7,-,-,-,-,-,2007
KEHACHA,15.9,13.6,-,-,-,-,-,-,-,-,-,-,2007
KABARNET,15.0,-,15.0,15.0,15.6,15.0,-,-,-,-,-,-,2007
NAKURU TWON,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,2007
KAPSABET,13.0,13.0,13.0,14.3,15.2,15.2,16.7,-,-,-,-,-,2007
KITALE,-,17.5,16.5,14.3,15.0,14.8,17.5,17.5,17.5,-,-,-,2007
ELDORET,13.3,13.2,13.6,15.2,18.5,17.5,19.0,17.5,14.0,15.0,14.0,12.5,2007
BURN FOREST,-,10.4,13.5,16.7,11.0,0.5,20.0,13.5,12.8,14.0,14.0,12.0,2007
TURBO,11.4,11.2,10.0,11.4,11.9,17.6,14.0,17.2,16.8,12.0,12.0,-,2007
KIPKAREN,12.9,12.0,12.0,15.0,16.5,17.5,17.5,17.5,16.5,10.4,14.0,10.8,2007
ITEN,11.9,25.0,26.3,11.9,-,-,-,-,20.0,17.5,-,-,2007
KAJIADO TOWN,20.0,20.0,-,20.0,20.0,20.0,20.0,20.0,25.0,20.0,25.0,-,2007
KAPKATENY,12.5,13.7,13.6,14.3,17.1,17.1,17.1,17.6,14.3,11.9,11.9,-,2007
BUNGOMA TOWN,14.3,14.0,13.6,15.2,13.6,-,-,-,-,14.6,13.6,14.3,2007
KIMILILI,13.3,13.7,12.9,14.3,.,15.7,16.7,15.7,16.7,11.9,13.3,14.3,2007
KAPSOKWONY,13.1,13.3,14.0,15.2,18.1,18.1,17.1,18.1,14.3,13.3,14.3,12.4,2007
BUTERE,-,-,14.7,14.6,15.9,16.5,15.7,-,-,-,-,-,2007
KAKAMEGA,14.0,14.0,13.6,15.2,15.2,16.3,15.9,13.6,13.6,12.7,13.6,13.6,2007
MUMIAS,-,-,14.7,14.7,15.7,16.7,17.0,-,-,-,-,-,2007
MUNDETA,14.3,14.3,14.3,14.3,15.2,15.2,15.2,14.3,14.3,-,15.2,14.3,2007
CHEPTULA,14.3,14.3,14.3,15.2,15.2,-,14.3,13.3,-,15.2,14.3,14.3,2007
Mbale,14.3,13.6,13.6,14.3,-,15.2,15.2,14.3,14.6,14.6,13.6,14.3,2007
KAWANGWARE,22.0,20.0,20.0,20.0,30.0,21.1,19.1,20.0,19.1,18.1,18.3,20.0,2007
BURMA,20.0,20.0,22.0,22.0,22.0,20.0,20.0,20.0,20.0,20.0,22.0,25.0,2007
KIKOMBA,19.1,19.0,20.0,19.0,18.2,20.0,18.2,20.0,19.1,17.1,20.0,20.5,2007
KANGEMI,19.5,20.5,19.1,19.0,20.0,20.0,20.0,20.0,18.2,19.1,20.0,20.5,2007
KOROKOCHO,18.0,19.5,20.0,19.0,20.0,18.2,18.2,19.0,16.4,19.5,19.1,20.0,2007
TOI,21.0,20.1,18.0,17.5,29.2,17.4,16.7,16.7,15.0,15.4,17.1,18.2,2007
,,,,,,,,,,,,,
