,Town,year,Month,Price
2427,KALUNDU,2010,MAR,NA
2428,"MACHAKOS
TOWN",2010,MAR,NA
2429,TALA,2010,MAR,NA
2430,KIANJAI,2010,MAR,15.60
2431,MWENDANTU,2010,MAR,18.20
2432,WOTE,2010,MAR,NA
2433,DARAJA MBILI,2010,MAR,24.10
2434,KIBIRIGO,2010,MAR,NA
2435,RIOSIRE,2010,MAR,NA
2436,RIOCHANDA,2010,MAR,22.90
2437,NYABITE,2010,MAR,NA
2438,MOGONGA,2010,MAR,NA
2439,Nyamache,2010,MAR,NA
2440,KIBUYE,2010,MAR,27.30
2441,AHERO,2010,MAR,27.30
2442,KIBOSWA,2010,MAR,27.30
2443,SONDU,2010,MAR,25.00
2444,BONDO,2010,MAR,NA
2445,OYUGIS,2010,MAR,28.60
2446,NAKURU TOWN,2010,MAR,NA
2447,KAPSABET,2010,MAR,NA
2448,KITALE,2010,MAR,32.50
2449,ELDORET,2010,MAR,28.80
2450,BURNT FOREST,2010,MAR,NA
2451,TURBO,2010,MAR,22.00
2452,KIPKAREN,2010,MAR,27.50
2453,"BUNGOMA
TOWN",2010,MAR,NA
2454,KIMILILI,2010,MAR,25.00
2455,KAPSOKWONY,2010,MAR,23.90
2456,BUMALA,2010,MAR,28.60
2457,BUSIA TOWN,2010,MAR,18.10
2458,"KAKAMEGA
TOWN",2010,MAR,27.30
2459,MUDETE,2010,MAR,22.40
2460,CHEPTULU,2010,MAR,26.20
2461,MBALE,2010,MAR,20.50
2462,KAWANGWARE,2010,MAR,31.00
2463,BURMA,2010,MAR,30.00
2464,GIKOMBA,2010,MAR,32.50
2465,KANGEMI,2010,MAR,31.00
2466,KOROGOCHO,2010,MAR,31.00
2467,KIBERA(TOI),2010,MAR,31.60
3292,KIAMBU,2010,APR,17.50
3293,LIMURU,2010,APR,20.00
3294,THIKA,2010,APR,20.00
3295,GATUNDU,2010,APR,25.00
3296,KUTUS,2010,APR,NA
3297,SAGANA,2010,APR,NA
3298,KERUGOYA,2010,APR,NA
3299,MUTHITHI,2010,APR,16.70
3300,MUKUYU,2010,APR,28.60
3301,KIRIAINI,2010,APR,33.30
3302,ENGINEER,2010,APR,30.00
3303,NANYUKI,2010,APR,27.80
3304,SIPILI,2010,APR,NA
3305,MARIAKANI,2010,APR,NA
3306,KALOLENI,2010,APR,NA
3307,MALINDI,2010,APR,30.00
3308,KIBAUNI KILIFI,2010,APR,NA
3309,RUNYENJES,2010,APR,17.50
3310,EMBU TOWN,2010,APR,20.00
3311,SIAKAGO,2010,APR,17.50
3312,MWINGI,2010,APR,NA
3313,MIGWANI,2010,APR,15.90
3314,KALUNDU,2010,APR,NA
3315,"MACHAKOS
TOWN",2010,APR,20.00
3316,TALA,2010,APR,NA
3317,KIANJAI,2010,APR,11.10
3318,MWENDANTU,2010,APR,15.00
3319,WOTE,2010,APR,18.00
3320,DARAJA MBILI,2010,APR,25.00
3321,KIBIRIGO,2010,APR,23.10
3322,RIOSIRE,2010,APR,NA
3323,RIOCHANDA,2010,APR,22.90
3324,NYABITE,2010,APR,20.00
3325,MOGONGA,2010,APR,NA
3326,Nyamache,2010,APR,NA
3327,KIBUYE,2010,APR,27.30
3328,AHERO,2010,APR,22.70
3329,KIBOSWA,2010,APR,27.30
3330,SONDU,2010,APR,20.50
3331,BONDO,2010,APR,NA
3332,OYUGIS,2010,APR,27.30
3333,NAKURU TOWN,2010,APR,NA
3334,KAPSABET,2010,APR,26.10
3335,KITALE,2010,APR,25.00
3336,ELDORET,2010,APR,27.50
3337,BURNT FOREST,2010,APR,22.70
3338,TURBO,2010,APR,24.00
3339,KIPKAREN,2010,APR,25.00
3340,"BUNGOMA
TOWN",2010,APR,22.70
3341,KIMILILI,2010,APR,20.80
3342,KAPSOKWONY,2010,APR,21.70
3343,BUMALA,2010,APR,NA
3344,BUSIA TOWN,2010,APR,18.10
3345,"KAKAMEGA
TOWN",2010,APR,27.30
3346,MUDETE,2010,APR,21.40
3347,CHEPTULU,2010,APR,21.40
3348,MBALE,2010,APR,21.40
3349,KAWANGWARE,2010,APR,31.00
3350,BURMA,2010,APR,30.00
3351,GIKOMBA,2010,APR,30.00
3352,KANGEMI,2010,APR,30.00
3353,KOROGOCHO,2010,APR,28.60
3354,KIBERA(TOI),2010,APR,31.00
4179,KIAMBU,2010,MAY,17.50
4180,LIMURU,2010,MAY,20.00
4181,THIKA,2010,MAY,22.00
4182,GATUNDU,2010,MAY,20.00
4183,KUTUS,2010,MAY,13.00
4184,SAGANA,2010,MAY,22.70
4185,KERUGOYA,2010,MAY,18.20
4186,MUTHITHI,2010,MAY,16.70
4187,MUKUYU,2010,MAY,28.60
4188,KIRIAINI,2010,MAY,28.60
4189,ENGINEER,2010,MAY,27.30
4190,NANYUKI,2010,MAY,22.20
4191,SIPILI,2010,MAY,26.20
4192,MARIAKANI,2010,MAY,NA
4193,KALOLENI,2010,MAY,NA
4194,MALINDI,2010,MAY,25.00
4195,KIBAUNI KILIFI,2010,MAY,NA
4196,RUNYENJES,2010,MAY,13.60
4197,EMBU TOWN,2010,MAY,13.60
4198,SIAKAGO,2010,MAY,17.50
4199,MWINGI,2010,MAY,NA
4200,MIGWANI,2010,MAY,15.00
4201,KALUNDU,2010,MAY,20.00
4202,"MACHAKOS
TOWN",2010,MAY,20.00
4203,TALA,2010,MAY,10.00
4204,KIANJAI,2010,MAY,11.10
4205,MWENDANTU,2010,MAY,13.60
4206,WOTE,2010,MAY,18.00
4207,DARAJA MBILI,2010,MAY,22.70
4208,KIBIRIGO,2010,MAY,23.10
4209,RIOSIRE,2010,MAY,NA
4210,RIOCHANDA,2010,MAY,18.80
4211,NYABITE,2010,MAY,18.00
4212,MOGONGA,2010,MAY,NA
4213,Nyamache,2010,MAY,NA
4214,KIBUYE,2010,MAY,20.50
4215,AHERO,2010,MAY,21.60
4216,KIBOSWA,2010,MAY,19.10
4217,SONDU,2010,MAY,20.50
4218,BONDO,2010,MAY,NA
4219,OYUGIS,2010,MAY,18.20
4220,NAKURU TOWN,2010,MAY,NA
4221,KAPSABET,2010,MAY,25.00
4222,KITALE,2010,MAY,22.50
4223,ELDORET,2010,MAY,25.00
4224,BURNT FOREST,2010,MAY,22.70
4225,TURBO,2010,MAY,20.00
4226,KIPKAREN,2010,MAY,25.00
4227,"BUNGOMA
TOWN",2010,MAY,20.50
4228,KIMILILI,2010,MAY,20.80
4229,KAPSOKWONY,2010,MAY,19.20
4230,BUMALA,2010,MAY,NA
4231,BUSIA TOWN,2010,MAY,NA
4232,"KAKAMEGA
TOWN",2010,MAY,22.70
4233,MUDETE,2010,MAY,21.40
4234,CHEPTULU,2010,MAY,19.10
4235,MBALE,2010,MAY,19.10
4236,KAWANGWARE,2010,MAY,23.80
4237,BURMA,2010,MAY,25.00
4238,GIKOMBA,2010,MAY,21.40
4239,KANGEMI,2010,MAY,22.70
4240,KOROGOCHO,2010,MAY,22.70
4241,KIBERA(TOI),2010,MAY,23.70
5066,KIAMBU,2010,JUNE,NA
5067,LIMURU,2010,JUNE,NA
5068,THIKA,2010,JUNE,25.00
5069,GATUNDU,2010,JUNE,22.70
5070,KUTUS,2010,JUNE,14.00
5071,SAGANA,2010,JUNE,20.80
5072,KERUGOYA,2010,JUNE,18.20
5073,MUTHITHI,2010,JUNE,16.70
5074,MUKUYU,2010,JUNE,19.10
5075,KIRIAINI,2010,JUNE,23.80
5076,ENGINEER,2010,JUNE,22.70
5077,NANYUKI,2010,JUNE,22.20
5078,SIPILI,2010,JUNE,23.80
5079,MARIAKANI,2010,JUNE,NA
5080,KALOLENI,2010,JUNE,27.00
5081,MALINDI,2010,JUNE,25.00
5082,KIBAUNI KILIFI,2010,JUNE,25.00
5083,RUNYENJES,2010,JUNE,13.60
5084,EMBU TOWN,2010,JUNE,15.90
5085,SIAKAGO,2010,JUNE,15.00
5086,MWINGI,2010,JUNE,19.00
5087,MIGWANI,2010,JUNE,15.00
5088,KALUNDU,2010,JUNE,20.00
5089,"MACHAKOS
TOWN",2010,JUNE,17.00
5090,TALA,2010,JUNE,10.00
5091,KIANJAI,2010,JUNE,12.20
5092,MWENDANTU,2010,JUNE,0.00
5093,WOTE,2010,JUNE,17.00
5094,DARAJA MBILI,2010,JUNE,18.20
5095,KIBIRIGO,2010,JUNE,20.80
5096,RIOSIRE,2010,JUNE,19.00
5097,RIOCHANDA,2010,JUNE,16.00
5098,NYABITE,2010,JUNE,18.80
5099,MOGONGA,2010,JUNE,16.70
5100,Nyamache,2010,JUNE,14.00
5101,KIBUYE,2010,JUNE,18.20
5102,AHERO,2010,JUNE,18.20
5103,KIBOSWA,2010,JUNE,17.40
5104,SONDU,2010,JUNE,18.20
5105,BONDO,2010,JUNE,22.50
5106,OYUGIS,2010,JUNE,18.20
5107,NAKURU TOWN,2010,JUNE,NA
5108,KAPSABET,2010,JUNE,21.70
5109,KITALE,2010,JUNE,25.00
5110,ELDORET,2010,JUNE,25.00
5111,BURNT FOREST,2010,JUNE,25.00
5112,TURBO,2010,JUNE,20.80
5113,KIPKAREN,2010,JUNE,22.50
5114,"BUNGOMA
TOWN",2010,JUNE,18.20
5115,KIMILILI,2010,JUNE,NA
5116,KAPSOKWONY,2010,JUNE,17.70
5117,BUMALA,2010,JUNE,NA
5118,BUSIA TOWN,2010,JUNE,NA
5119,"KAKAMEGA
TOWN",2010,JUNE,20.50
5120,MUDETE,2010,JUNE,19.10
5121,CHEPTULU,2010,JUNE,19.10
5122,MBALE,2010,JUNE,23.80
5123,KAWANGWARE,2010,JUNE,22.70
5124,BURMA,2010,JUNE,23.00
5125,GIKOMBA,2010,JUNE,22.50
5126,KANGEMI,2010,JUNE,21.40
5127,KOROGOCHO,2010,JUNE,21.70
5128,KIBERA(TOI),2010,JUNE,21.40
5953,KIAMBU,2010,JULY,18.30
5954,LIMURU,2010,JULY,16.80
5955,THIKA,2010,JULY,20.00
5956,GATUNDU,2010,JULY,20.00
5957,KUTUS,2010,JULY,13.00
5958,SAGANA,2010,JULY,21.40
5959,KERUGOYA,2010,JULY,15.90
5960,MUTHITHI,2010,JULY,14.30
5961,MUKUYU,2010,JULY,14.30
5962,KIRIAINI,2010,JULY,16.70
5963,ENGINEER,2010,JULY,25.00
5964,NANYUKI,2010,JULY,22.20
5965,SIPILI,2010,JULY,NA
5966,MARIAKANI,2010,JULY,30.00
5967,KALOLENI,2010,JULY,27.00
5968,MALINDI,2010,JULY,NA
5969,KIBAUNI KILIFI,2010,JULY,20.00
5970,RUNYENJES,2010,JULY,13.60
5971,EMBU TOWN,2010,JULY,13.60
5972,SIAKAGO,2010,JULY,15.00
5973,MWINGI,2010,JULY,19.10
5974,MIGWANI,2010,JULY,14.00
5975,KALUNDU,2010,JULY,20.00
5976,"MACHAKOS
TOWN",2010,JULY,15.00
5977,TALA,2010,JULY,10.00
5978,KIANJAI,2010,JULY,11.10
5979,MWENDANTU,2010,JULY,12.00
5980,WOTE,2010,JULY,15.00
5981,DARAJA MBILI,2010,JULY,22.70
5982,KIBIRIGO,2010,JULY,16.00
5983,RIOSIRE,2010,JULY,20.00
5984,RIOCHANDA,2010,JULY,14.00
5985,NYABITE,2010,JULY,16.00
5986,MOGONGA,2010,JULY,19.10
5987,Nyamache,2010,JULY,16.00
5988,KIBUYE,2010,JULY,15.90
5989,AHERO,2010,JULY,18.20
5990,KIBOSWA,2010,JULY,15.20
5991,SONDU,2010,JULY,18.20
5992,BONDO,2010,JULY,19.50
5993,OYUGIS,2010,JULY,17.40
5994,NAKURU TOWN,2010,JULY,NA
5995,KAPSABET,2010,JULY,21.70
5996,KITALE,2010,JULY,NA
5997,ELDORET,2010,JULY,22.50
5998,BURNT FOREST,2010,JULY,23.80
5999,TURBO,2010,JULY,18.00
6000,KIPKAREN,2010,JULY,25.00
6001,"BUNGOMA
TOWN",2010,JULY,18.20
6002,KIMILILI,2010,JULY,18.00
6003,KAPSOKWONY,2010,JULY,17.30
6004,BUMALA,2010,JULY,NA
6005,BUSIA TOWN,2010,JULY,NA
6006,"KAKAMEGA
TOWN",2010,JULY,20.50
6007,MUDETE,2010,JULY,21.40
6008,CHEPTULU,2010,JULY,16.70
6009,MBALE,2010,JULY,20.50
6010,KAWANGWARE,2010,JULY,22.20
6011,BURMA,2010,JULY,23.00
6012,GIKOMBA,2010,JULY,22.70
6013,KANGEMI,2010,JULY,22.70
6014,KOROGOCHO,2010,JULY,21.40
6015,KIBERA(TOI),2010,JULY,21.40
6840,KIAMBU,2010,AUG,17.50
6841,LIMURU,2010,AUG,15.00
6842,THIKA,2010,AUG,22.70
6843,GATUNDU,2010,AUG,22.70
6844,KUTUS,2010,AUG,13.00
6845,SAGANA,2010,AUG,13.70
6846,KERUGOYA,2010,AUG,15.90
6847,MUTHITHI,2010,AUG,14.30
6848,MUKUYU,2010,AUG,14.30
6849,KIRIAINI,2010,AUG,19.10
6850,ENGINEER,2010,AUG,20.50
6851,NANYUKI,2010,AUG,22.20
6852,SIPILI,2010,AUG,NA
6853,MARIAKANI,2010,AUG,30.00
6854,KALOLENI,2010,AUG,25.00
6855,MALINDI,2010,AUG,NA
6856,KIBAUNI KILIFI,2010,AUG,20.00
6857,RUNYENJES,2010,AUG,13.60
6858,EMBU TOWN,2010,AUG,13.60
6859,SIAKAGO,2010,AUG,14.30
6860,MWINGI,2010,AUG,20.00
6861,MIGWANI,2010,AUG,15.00
6862,KALUNDU,2010,AUG,18.00
6863,"MACHAKOS
TOWN",2010,AUG,18.00
6864,TALA,2010,AUG,NA
6865,KIANJAI,2010,AUG,11.10
6866,MWENDANTU,2010,AUG,10.90
6867,WOTE,2010,AUG,17.00
6868,DARAJA MBILI,2010,AUG,15.90
6869,KIBIRIGO,2010,AUG,16.00
6870,RIOSIRE,2010,AUG,13.00
6871,RIOCHANDA,2010,AUG,14.00
6872,NYABITE,2010,AUG,14.00
6873,MOGONGA,2010,AUG,14.70
6874,Nyamache,2010,AUG,16.00
6875,KIBUYE,2010,AUG,NA
6876,AHERO,2010,AUG,18.20
6877,KIBOSWA,2010,AUG,NA
6878,SONDU,2010,AUG,15.90
6879,BONDO,2010,AUG,17.50
6880,OYUGIS,2010,AUG,15.90
6881,NAKURU TOWN,2010,AUG,NA
6882,KAPSABET,2010,AUG,18.50
6883,KITALE,2010,AUG,20.00
6884,ELDORET,2010,AUG,22.50
6885,BURNT FOREST,2010,AUG,15.00
6886,TURBO,2010,AUG,18.50
6887,KIPKAREN,2010,AUG,25.00
6888,"BUNGOMA
TOWN",2010,AUG,18.20
6889,KIMILILI,2010,AUG,18.00
6890,KAPSOKWONY,2010,AUG,17.30
6891,BUMALA,2010,AUG,NA
6892,BUSIA TOWN,2010,AUG,NA
6893,"KAKAMEGA
TOWN",2010,AUG,20.50
6894,MUDETE,2010,AUG,21.40
6895,CHEPTULU,2010,AUG,19.10
6896,MBALE,2010,AUG,21.40
6897,KAWANGWARE,2010,AUG,22.20
6898,BURMA,2010,AUG,23.00
6899,GIKOMBA,2010,AUG,23.80
6900,KANGEMI,2010,AUG,22.70
6901,KOROGOCHO,2010,AUG,20.50
6902,KIBERA(TOI),2010,AUG,21.70
7727,KIAMBU,2010,SEP,20.00
7728,LIMURU,2010,SEP,17.50
7729,THIKA,2010,SEP,22.70
7730,GATUNDU,2010,SEP,22.70
7731,KUTUS,2010,SEP,13.60
7732,SAGANA,2010,SEP,15.90
7733,KERUGOYA,2010,SEP,13.60
7734,MUTHITHI,2010,SEP,14.30
7735,MUKUYU,2010,SEP,14.30
7736,KIRIAINI,2010,SEP,16.70
7737,ENGINEER,2010,SEP,NA
7738,NANYUKI,2010,SEP,22.20
7739,SIPILI,2010,SEP,NA
7740,MARIAKANI,2010,SEP,30.00
7741,KALOLENI,2010,SEP,25.00
7742,MALINDI,2010,SEP,NA
7743,KIBAUNI KILIFI,2010,SEP,20.00
7744,RUNYENJES,2010,SEP,13.60
7745,EMBU TOWN,2010,SEP,13.60
7746,SIAKAGO,2010,SEP,17.10
7747,MWINGI,2010,SEP,20.00
7748,MIGWANI,2010,SEP,14.00
7749,KALUNDU,2010,SEP,18.00
7750,"MACHAKOS
TOWN",2010,SEP,15.00
7751,TALA,2010,SEP,NA
7752,KIANJAI,2010,SEP,11.10
7753,MWENDANTU,2010,SEP,11.80
7754,WOTE,2010,SEP,17.00
7755,DARAJA MBILI,2010,SEP,18.20
7756,KIBIRIGO,2010,SEP,15.00
7757,RIOSIRE,2010,SEP,NA
7758,RIOCHANDA,2010,SEP,14.00
7759,NYABITE,2010,SEP,15.00
7760,MOGONGA,2010,SEP,12.50
7761,Nyamache,2010,SEP,16.00
7762,KIBUYE,2010,SEP,NA
7763,AHERO,2010,SEP,18.20
7764,KIBOSWA,2010,SEP,NA
7765,SONDU,2010,SEP,15.90
7766,BONDO,2010,SEP,17.50
7767,OYUGIS,2010,SEP,17.90
7768,NAKURU TOWN,2010,SEP,NA
7769,KAPSABET,2010,SEP,17.40
7770,KITALE,2010,SEP,17.50
7771,ELDORET,2010,SEP,20.00
7772,BURNT FOREST,2010,SEP,22.50
7773,TURBO,2010,SEP,18.00
7774,KIPKAREN,2010,SEP,10.80
7775,"BUNGOMA
TOWN",2010,SEP,18.20
7776,KIMILILI,2010,SEP,16.00
7777,KAPSOKWONY,2010,SEP,19.10
7778,BUMALA,2010,SEP,NA
7779,BUSIA TOWN,2010,SEP,NA
7780,"KAKAMEGA
TOWN",2010,SEP,18.20
7781,MUDETE,2010,SEP,19.10
7782,CHEPTULU,2010,SEP,16.70
7783,MBALE,2010,SEP,19.10
7784,KAWANGWARE,2010,SEP,20.00
7785,BURMA,2010,SEP,20.00
7786,GIKOMBA,2010,SEP,22.20
7787,KANGEMI,2010,SEP,22.20
7788,KOROGOCHO,2010,SEP,20.50
7789,KIBERA(TOI),2010,SEP,20.00
8614,KIAMBU,2010,OCT,17.50
8615,LIMURU,2010,OCT,17.50
8616,THIKA,2010,OCT,25.00
8617,GATUNDU,2010,OCT,23.80
8618,KUTUS,2010,OCT,13.60
8619,SAGANA,2010,OCT,14.30
8620,KERUGOYA,2010,OCT,15.20
8621,MUTHITHI,2010,OCT,14.30
8622,MUKUYU,2010,OCT,14.30
8623,KIRIAINI,2010,OCT,16.70
8624,ENGINEER,2010,OCT,20.00
8625,NANYUKI,2010,OCT,22.20
8626,SIPILI,2010,OCT,NA
8627,MARIAKANI,2010,OCT,NA
8628,KALOLENI,2010,OCT,NA
8629,MALINDI,2010,OCT,20.00
8630,KIBAUNI KILIFI,2010,OCT,NA
8631,RUNYENJES,2010,OCT,13.60
8632,EMBU TOWN,2010,OCT,13.60
8633,SIAKAGO,2010,OCT,34.40
8634,MWINGI,2010,OCT,20.00
8635,MIGWANI,2010,OCT,14.00
8636,KALUNDU,2010,OCT,18.00
8637,"MACHAKOS
TOWN",2010,OCT,17.00
8638,TALA,2010,OCT,11.00
8639,KIANJAI,2010,OCT,11.10
8640,MWENDANTU,2010,OCT,13.00
8641,WOTE,2010,OCT,17.00
8642,DARAJA MBILI,2010,OCT,19.10
8643,KIBIRIGO,2010,OCT,18.00
8644,RIOSIRE,2010,OCT,14.00
8645,RIOCHANDA,2010,OCT,18.00
8646,NYABITE,2010,OCT,18.00
8647,MOGONGA,2010,OCT,14.60
8648,Nyamache,2010,OCT,16.00
8649,KIBUYE,2010,OCT,NA
8650,AHERO,2010,OCT,18.20
8651,KIBOSWA,2010,OCT,NA
8652,SONDU,2010,OCT,15.90
8653,BONDO,2010,OCT,18.20
8654,OYUGIS,2010,OCT,NA
8655,NAKURU TOWN,2010,OCT,27.80
8656,KAPSABET,2010,OCT,15.20
8657,KITALE,2010,OCT,16.70
8658,ELDORET,2010,OCT,17.50
8659,BURNT FOREST,2010,OCT,20.00
8660,TURBO,2010,OCT,14.00
8661,KIPKAREN,2010,OCT,12.00
8662,"BUNGOMA
TOWN",2010,OCT,14.60
8663,KIMILILI,2010,OCT,12.50
8664,KAPSOKWONY,2010,OCT,NA
8665,BUMALA,2010,OCT,16.70
8666,BUSIA TOWN,2010,OCT,16.70
8667,"KAKAMEGA
TOWN",2010,OCT,18.20
8668,MUDETE,2010,OCT,16.70
8669,CHEPTULU,2010,OCT,16.70
8670,MBALE,2010,OCT,16.70
8671,KAWANGWARE,2010,OCT,17.40
8672,BURMA,2010,OCT,20.00
8673,GIKOMBA,2010,OCT,22.70
8674,KANGEMI,2010,OCT,17.40
8675,KOROGOCHO,2010,OCT,20.50
8676,KIBERA(TOI),2010,OCT,20.00
9501,KIAMBU,2010,NOV,20.00
9502,LIMURU,2010,NOV,17.50
9503,THIKA,2010,NOV,25.00
9504,GATUNDU,2010,NOV,25.00
9505,KUTUS,2010,NOV,NA
9506,SAGANA,2010,NOV,NA
9507,KERUGOYA,2010,NOV,NA
9508,MUTHITHI,2010,NOV,19.10
9509,MUKUYU,2010,NOV,14.30
9510,KIRIAINI,2010,NOV,16.70
9511,ENGINEER,2010,NOV,18.20
9512,NANYUKI,2010,NOV,22.20
9513,SIPILI,2010,NOV,NA
9514,MARIAKANI,2010,NOV,NA
9515,KALOLENI,2010,NOV,NA
9516,MALINDI,2010,NOV,20.00
9517,KIBAUNI KILIFI,2010,NOV,NA
9518,RUNYENJES,2010,NOV,15.90
9519,EMBU TOWN,2010,NOV,18.20
9520,SIAKAGO,2010,NOV,15.90
9521,MWINGI,2010,NOV,18.00
9522,MIGWANI,2010,NOV,14.00
9523,KALUNDU,2010,NOV,18.00
9524,"MACHAKOS
TOWN",2010,NOV,17.00
9525,TALA,2010,NOV,NA
9526,KIANJAI,2010,NOV,NA
9527,MWENDANTU,2010,NOV,NA
9528,WOTE,2010,NOV,17.00
9529,DARAJA MBILI,2010,NOV,22.70
9530,KIBIRIGO,2010,NOV,18.00
9531,RIOSIRE,2010,NOV,18.00
9532,RIOCHANDA,2010,NOV,16.00
9533,NYABITE,2010,NOV,16.00
9534,MOGONGA,2010,NOV,15.90
9535,Nyamache,2010,NOV,16.00
9536,KIBUYE,2010,NOV,NA
9537,AHERO,2010,NOV,20.50
9538,KIBOSWA,2010,NOV,NA
9539,SONDU,2010,NOV,20.50
9540,BONDO,2010,NOV,20.50
9541,OYUGIS,2010,NOV,NA
9542,NAKURU TOWN,2010,NOV,27.80
9543,KAPSABET,2010,NOV,17.40
9544,KITALE,2010,NOV,15.00
9545,ELDORET,2010,NOV,17.50
9546,BURNT FOREST,2010,NOV,NA
9547,TURBO,2010,NOV,11.20
9548,KIPKAREN,2010,NOV,14.00
9549,"BUNGOMA
TOWN",2010,NOV,18.20
9550,KIMILILI,2010,NOV,12.00
9551,KAPSOKWONY,2010,NOV,12.50
9552,BUMALA,2010,NOV,NA
9553,BUSIA TOWN,2010,NOV,NA
9554,"KAKAMEGA
TOWN",2010,NOV,15.90
9555,MUDETE,2010,NOV,16.70
9556,CHEPTULU,2010,NOV,16.70
9557,MBALE,2010,NOV,16.70
9558,KAWANGWARE,2010,NOV,19.10
9559,BURMA,2010,NOV,20.00
9560,GIKOMBA,2010,NOV,20.00
9561,KANGEMI,2010,NOV,20.00
9562,KOROGOCHO,2010,NOV,20.00
9563,KIBERA(TOI),2010,NOV,19.10
10388,KIAMBU,2010,DEC,20.00
10389,LIMURU,2010,DEC,17.50
10390,THIKA,2010,DEC,25.00
10391,GATUNDU,2010,DEC,20.00
10392,KUTUS,2010,DEC,NA
10393,SAGANA,2010,DEC,NA
10394,KERUGOYA,2010,DEC,NA
10395,MUTHITHI,2010,DEC,19.10
10396,MUKUYU,2010,DEC,16.70
10397,KIRIAINI,2010,DEC,16.70
10398,ENGINEER,2010,DEC,18.20
10399,NANYUKI,2010,DEC,22.20
10400,SIPILI,2010,DEC,NA
10401,MARIAKANI,2010,DEC,NA
10402,KALOLENI,2010,DEC,NA
10403,MALINDI,2010,DEC,18.80
10404,KIBAUNI KILIFI,2010,DEC,NA
10405,RUNYENJES,2010,DEC,18.20
10406,EMBU TOWN,2010,DEC,18.20
10407,SIAKAGO,2010,DEC,19.10
10408,MWINGI,2010,DEC,20.00
10409,MIGWANI,2010,DEC,15.00
10410,KALUNDU,2010,DEC,NA
10411,"MACHAKOS
TOWN",2010,DEC,18.00
10412,TALA,2010,DEC,NA
10413,KIANJAI,2010,DEC,NA
10414,MWENDANTU,2010,DEC,NA
10415,WOTE,2010,DEC,17.00
10416,DARAJA MBILI,2010,DEC,22.70
10417,KIBIRIGO,2010,DEC,20.50
10418,RIOSIRE,2010,DEC,NA
10419,RIOCHANDA,2010,DEC,18.00
10420,NYABITE,2010,DEC,18.00
10421,MOGONGA,2010,DEC,NA
10422,Nyamache,2010,DEC,NA
10423,KIBUYE,2010,DEC,NA
10424,AHERO,2010,DEC,20.50
10425,KIBOSWA,2010,DEC,NA
10426,SONDU,2010,DEC,NA
10427,BONDO,2010,DEC,20.50
10428,OYUGIS,2010,DEC,NA
10429,NAKURU TOWN,2010,DEC,NA
10430,KAPSABET,2010,DEC,17.40
10431,KITALE,2010,DEC,15.00
10432,ELDORET,2010,DEC,NA
10433,BURNT FOREST,2010,DEC,20.00
10434,TURBO,2010,DEC,10.40
10435,KIPKAREN,2010,DEC,NA
10436,"BUNGOMA
TOWN",2010,DEC,NA
10437,KIMILILI,2010,DEC,NA
10438,KAPSOKWONY,2010,DEC,NA
10439,BUMALA,2010,DEC,NA
10440,BUSIA TOWN,2010,DEC,NA
10441,"KAKAMEGA
TOWN",2010,DEC,15.90
10442,MUDETE,2010,DEC,16.70
10443,CHEPTULU,2010,DEC,18.10
10444,MBALE,2010,DEC,18.10
10445,KAWANGWARE,2010,DEC,20.00
10446,BURMA,2010,DEC,20.00
10447,GIKOMBA,2010,DEC,19.10
10448,KANGEMI,2010,DEC,19.10
10449,KOROGOCHO,2010,DEC,20.00
10450,KIBERA(TOI),2010,DEC,20.00
555,KIAMBU,2011,JAN,22.50
556,LIMURU,2011,JAN,20.00
557,THIKA,2011,JAN,23.80
558,GATUNDU,2011,JAN,23.80
559,KUTUS,2011,JAN,22.70
560,SAGANA,2011,JAN,22.70
561,KERUGOYA,2011,JAN,22.70
562,MUTHITHI,2011,JAN,19.10
563,MUKUYU,2011,JAN,23.80
564,KIRIAINI,2011,JAN,21.40
565,ENGINEER,2011,JAN,19.10
566,NYERI,2011,JAN,25.00
567,KARATINA,2011,JAN,20.00
568,GAKINDU,2011,JAN,22.50
569,NANYUKI,2011,JAN,42.40
570,SIPILI,2011,JAN,NA
571,MARIAKANI,2011,JAN,NA
572,KALOLENI,2011,JAN,NA
573,MALINDI,2011,JAN,20.00
574,KIBAUNI KILIFI,2011,JAN,NA
575,KWALE,2011,JAN,30.00
576,MWEMBE TAYARI,2011,JAN,25.20
577,MAJENGO,2011,JAN,25.00
578,MACKINON,2011,JAN,NA
579,SEGA,2011,JAN,24.00
580,KONGOWEA,2011,JAN,20.80
581,GARSEN,2011,JAN,NA
582,RUNYENJES,2011,JAN,20.50
583,EMBU TOWN,2011,JAN,20.50
584,SIAKAGO,2011,JAN,23.80
585,MWINGI,2011,JAN,20.00
586,MIGWANI,2011,JAN,20.00
587,KALUNDU,2011,JAN,NA
588,MACHAKOS TOWN,2011,JAN,20.00
589,TALA,2011,JAN,18.00
590,MAUA,2011,JAN,20.00
591,KIANJAI,2011,JAN,25.60
592,MWENDANTU,2011,JAN,17.00
593,WOTE,2011,JAN,20.00
594,DARAJA MBILI,2011,JAN,21.40
595,KIBIRIGO,2011,JAN,18.80
596,RIOSIRE,2011,JAN,21.10
597,RIOCHANDA,2011,JAN,17.40
598,NYABITE,2011,JAN,16.70
599,MOGONGA,2011,JAN,18.20
600,NYAMACHE,2011,JAN,20.00
601,KIBUYE,2011,JAN,20.50
602,AHERO,2011,JAN,22.70
603,KIBOSWA,2011,JAN,NA
