"","MARKETS","Jan","Feb","March","April","May","JUNE","JULY","August","Sep","Oct","Nov","Dec","year"
"1","Kiambu",40,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"2","Limuru",40,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"3","Thika",45,55,NA,NA,NA,NA,NA,47.5,40,NA,NA,NA,"2017"
"4","Kutus",40.3,50.8,51.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"5","Sagana",45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"6","Kerugoya",43.2,50.5,53.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"7","Githumu",44.1,47.6,50,57.1,61,61.9,60.3,NA,NA,NA,NA,NA,"2017"
"8","Muthithi",NA,NA,45.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"9","Makuyu",44.8,47.6,50.8,NA,NA,NA,NA,45,40,NA,NA,NA,"2017"
"10","Kiriaini",NA,NA,55,60,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"11","Ol Kalou",45,50,50,48.8,50,64,65,NA,NA,NA,NA,NA,"2017"
"12","Ndaragwa",NA,48.8,40.9,45.2,45.2,NA,62.3,NA,NA,NA,NA,NA,"2017"
"13","Nyeri",22.4,25,23.8,27.8,32.5,35,NA,NA,NA,NA,NA,NA,"2017"
"14","Endarasha",22.7,23.7,30.8,28,30.4,31,NA,55.6,63,68.6,55.6,NA,"2017"
"15","Karatina",22,21.4,20.2,22.6,28.8,NA,NA,44.4,51.3,62.2,44.4,NA,"2017"
"16","Gakindu",23.4,24.2,26.5,28.8,30,30,NA,50,50,50,NA,NA,"2017"
"17","Nanyuki",44.1,54.3,53.2,61.6,67.5,66.7,65.7,60,52.5,50,NA,NA,"2017"
"18","Nyahururu",35.7,44.9,46.2,53.8,60.3,76.4,72.4,NA,NA,NA,NA,NA,"2017"
"19","Ukunda",42.8,43,43,46.3,57.5,55,52,NA,NA,NA,NA,NA,"2017"
"20","Kwale",44.2,42.5,42.5,46.8,62,56.7,58.7,NA,NA,NA,NA,NA,"2017"
"21","Wundanyi",40,45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"22","Voi",41.3,42.5,45,NA,NA,NA,50,90,58.3,NA,NA,NA,"2017"
"23","Mwatate",40.7,44,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"24","Mwembe Tayari",46,43.8,50,62.5,82,82.5,66.3,67.5,NA,NA,NA,NA,"2017"
"25","Majengo",50,46.3,50,62.5,90,82.5,62.5,NA,NA,NA,NA,NA,"2017"
"26","Sega",48,47.5,51.3,63.8,96.7,75,60,50,45,45,NA,NA,"2017"
"27","Kongowea",46,48.8,53.8,56.3,58,60,56.3,50,53.1,50.3,NA,NA,"2017"
"28","Hola",48,37.5,48.3,67.5,47.5,58,50,43.2,36.4,36.4,NA,NA,"2017"
"29","Bura Tana",42,35,50,50,50,50,50,45.5,43.6,40.9,NA,NA,"2017"
"30","Runyenjes",44.3,45.5,45.5,45.5,45.5,52.5,45.5,54.6,46.6,36.4,NA,NA,"2017"
"31","Embu Town",43.2,45.5,45.5,48.5,54.6,54.6,47.7,NA,NA,NA,NA,NA,"2017"
"32","Siakago",40.9,NA,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"33","Tharaka",40.9,43.2,45.5,45.5,45.5,50,45.5,NA,NA,40,NA,NA,"2017"
"34","Mwingi",NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"35","Migwaini",NA,NA,NA,NA,NA,NA,50,50,46.7,40,NA,NA,"2017"
"36","Kalundu",43,43.7,50,50,NA,NA,50,NA,NA,NA,NA,NA,"2017"
"37","Machakos Town",44,48.3,NA,52.5,NA,63.1,60,50,50,NA,NA,NA,"2017"
"38","Tawa",41.7,45,45,47.6,50.5,53.4,51,NA,38.9,38.9,NA,NA,"2017"
"39","Tala",40,43,NA,42,NA,NA,NA,51.9,41.7,44.4,44.4,NA,"2017"
"40","Maua",53,66.7,66.7,NA,NA,NA,NA,56.1,NA,NA,NA,NA,"2017"
"41","Kianjai",NA,NA,NA,NA,NA,NA,47.8,NA,NA,NA,NA,NA,"2017"
"42","Gakoromere",48.3,55.6,47.9,50,51.1,54.5,53.7,50,40,NA,NA,NA,"2017"
"43","Chuka Town",49.4,51.4,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,"2017"
"44","Kathwana",41.7,25.3,55.6,53.7,NA,NA,NA,46.3,57.5,70,NA,NA,"2017"
"45","Wote",41.7,44.8,45,46.4,52.4,59,54,NA,NA,NA,37.5,NA,"2017"
"46","Kibirigo",NA,NA,NA,NA,NA,NA,40.3,NA,NA,NA,NA,NA,"2017"
"47","Riochanda",NA,NA,NA,NA,NA,NA,43.1,NA,NA,NA,NA,NA,"2017"
"48","Nyabite",NA,NA,NA,NA,NA,NA,45.8,NA,NA,NA,NA,NA,"2017"
"49","Bondo",41.9,44.7,50.1,50.1,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"50","Siaya",NA,NA,51.5,53.7,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"51","Ngiya",37.2,41.4,52.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"52","Unguja",41.9,42.8,51.7,50.1,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"53","Turkana",54.6,58,51.1,NA,NA,NA,NA,NA,38.5,58.6,58.3,NA,"2017"
"54","Kabarnet",40.3,41.3,43.3,NA,NA,66.7,66.7,NA,NA,NA,NA,NA,"2017"
"55","Kimulot",39.1,44,56,52,57,60,52,NA,NA,44,NA,NA,"2017"
"56","Muthurwa Narok",38,47,54,56,56,53.9,55.7,62.5,60,NA,NA,NA,"2017"
"57","Nakuru Town",37.2,55.3,60,61.5,63.3,66,66.7,NA,50,39.9,27.6,NA,"2017"
"58","Kitale",33.3,33.3,38.9,49,54.2,57.3,48,NA,NA,39.6,29.1,NA,"2017"
"59","Eldoret",32,32,38,40,48,53,50,NA,40.1,32.4,29.2,NA,"2017"
"60","Burn Forest",35,35,41.3,50,60.6,58.6,52.2,45,45,37.2,NA,NA,"2017"
"61","Turbo",28,31.5,32,37,49,52,48,34.8,31.8,30.9,NA,NA,"2017"
"62","Kipkaren",30.8,32.7,32,39,50,54,45.5,32.6,32.9,29.8,NA,NA,"2017"
"63","Iten",33.4,40.3,41.4,65.3,51.3,57.2,50,32.6,35.3,30.9,NA,NA,"2017"
"64","Kajiado",47.5,50,NA,50,61.7,60,NA,41.4,38.9,32.5,NA,NA,"2017"
"65","Kapkateny",NA,NA,NA,NA,NA,66.7,NA,NA,50,48.4,42,NA,"2017"
"66","Bungoma Town",35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"67","Kimilili",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"68","Kapsokwony",34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"69","Butere",34.7,38,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"70","Kakamega",41.9,50,50,NA,NA,NA,NA,29,29.6,31.3,NA,NA,"2017"
"71","Mumias",34.8,37,40,NA,NA,NA,NA,35,33.8,37.5,NA,NA,"2017"
"72","Mundeta",NA,NA,NA,57.1,57.1,58.3,NA,28,27.8,30.2,NA,NA,"2017"
"73","Cheptula",37.6,42.3,46.9,57.1,57.1,55.6,57.1,44.5,42.9,33.3,NA,NA,"2017"
"74","Mbale",40,47.5,50,52.5,56.6,59.5,57.1,41.3,33.3,33.3,NA,NA,"2017"
"75","Muthurwa",50,54.6,55,52.4,50,52.4,65,47.6,42.9,38.1,NA,NA,"2017"
"76","Kawangware",47.6,47.6,47.6,47.6,47.6,47.6,68.2,64.3,59.8,59.9,52.3,NA,"2017"
"77","Burma",50,50,60,65,65,60,70,65,62.7,60.3,52.5,NA,"2017"
"78","Gikomba",47.6,54.6,52.4,52.4,65,50,65,65,60,60,50,NA,"2017"
"79","Kangemi",50,47.5,50,47.5,54.6,59.3,55,62.5,60,58.7,50,NA,"2017"
"80","Korokocho",45,47.6,47.6,50,50,55,65,56.1,55,53.8,50,NA,"2017"
"81","Toi",47.6,50,57.1,63.6,61.9,68.2,71.4,62.5,61.1,53.5,NA,NA,"2017"
"82","Kiambu",NA,NA,35,35,35,35,NA,NA,40,40,40,40,"2016"
"83","Limuru",NA,NA,35,35,35,35,NA,NA,40,38.75,40,40,"2016"
"84","Thika",NA,45,45,NA,NA,40,40,40,40,40,40,NA,"2016"
"85","Gatundu",NA,NA,44.17,45,45,45,30,36.25,35,35,NA,NA,"2016"
"86","Kutus",32.41,24,23.71,25.36,25,29.17,33.33,32.03,32,36.04,35.71,37.5,"2016"
"87","Sagana",29.03,26.39,42.28,51.19,22.78,31.82,39.05,33.34,29.05,33.37,38.14,41.25,"2016"
"88","Kerugoya",34.61,33.33,28.17,27.7,22.48,33.41,38.1,51.13,30.43,35.57,38.24,40.91,"2016"
"89","Muthithi",22.73,22.73,22.73,23.87,24.09,25,26.14,31.82,32.39,34.09,34.09,35,"2016"
"90","Makuyu",28.57,28.57,27.98,23.81,26.19,NA,NA,NA,NA,NA,37.3,38.1,"2016"
"91","Kiriaini",32.5,35,34.38,35,NA,NA,NA,NA,NA,37.5,37,37.92,"2016"
"92","Ol  Kalou",NA,NA,NA,NA,NA,NA,NA,47.62,50,50,45,45,"2016"
"93","Ndaragwa",NA,NA,NA,NA,NA,NA,NA,NA,33.33,40,40.5,NA,"2016"
"94","Nyeri",31.82,33.79,37.96,35.8,31.47,32.19,39.47,40,40,36.32,40,40,"2016"
"95","Endarasha",38.1,35.71,NA,NA,NA,30,30.1,35,35,35,35,35,"2016"
"96","Karatina",34.17,35,33.75,32.5,30.08,24.41,31.27,34.17,33.36,31.86,30,30,"2016"
"97","Gakindu",33.36,34.58,36.95,35.97,30,46.67,38.26,38.49,35,38.75,40,40,"2016"
"98","Nanyuki",40.37,38.8,38.47,38.47,37.95,38.26,30.71,33.36,38.63,44.44,44.69,48.2,"2016"
"99","Nyahururu",22.73,24.24,25,27.27,28.64,28.64,28.03,32.2,31.82,34.85,31.82,31.82,"2016"
"100","Ukunda",40,40,40,40,39.89,40.86,40.89,41.45,41,41,40,40,"2016"
"101","Kwale",39,39.33,38,38.57,38.42,38.5,42,42,42,41.4,41.78,40,"2016"
"102","Wundanyi",NA,NA,NA,NA,NA,NA,NA,35.43,35.7,36,37,NA,"2016"
"103","Voi",NA,NA,NA,NA,NA,NA,NA,33.71,37.5,37,38,38,"2016"
"104","Mwatate",NA,NA,NA,NA,NA,NA,NA,34.2,34.5,35.33,35,NA,"2016"
"105","Mpeketoni",32.5,30,NA,NA,NA,30,30,30,31.25,33.33,33.75,40,"2016"
"106","Mkunguni",50,NA,NA,NA,NA,50,50,50,50,50,50,50,"2016"
"107","Mokowe",NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,50,"2016"
"108","Mwembe  Tayari",43,40,40,40,40,40,40,40,41.67,40,40,40,"2016"
"109","Majengo",40,40,40,40,39.2,40,40,40,40,40,40,40,"2016"
"110","Sega",41,40,40,40,40.8,40,40,40,40,40,40,40,"2016"
"111","Kongowea",34.8,35,35.5,37,39.2,40,40,39.25,38.5,39,40,40,"2016"
"112","Hola",37.5,38.33,40,NA,NA,NA,50,35,35,40,38.75,40,"2016"
"113","Garsen",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,"2016"
"114","Bura  Tana",45,40,42.5,NA,NA,NA,45,40.71,33.33,40,45,45,"2016"
"115","Runyenjes",27.27,32.05,24.24,36.36,48,24.24,22.73,24.24,27.5,29.74,33.12,36.36,"2016"
"116","Embu  Town",27.27,27.27,22.73,22.73,NA,26.14,28.79,31.82,29.09,31.82,32.96,36.36,"2016"
"117","Siakago",29.87,27.78,22.25,27.27,NA,27.27,26.14,28.41,24.09,31.82,33.33,32.96,"2016"
"118","Mwingi",30,30,29,30,NA,NA,NA,NA,30,33.25,35,35,"2016"
"119","Kalundu",30,NA,NA,NA,NA,30,30,35,32.75,NA,35,35,"2016"
"120","Machakos  Town",35,35,35,30,34.58,30,30,31.25,35,42,35,35,"2016"
"121","Tawa",30.22,29.5,29,25,27.75,30,27.67,29.5,30,29.75,32.5,35,"2016"
"122","Tala",32,32,32,25,26.25,27,26,30.5,30,31,35,NA,"2016"
"123","Maua",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.44,45.23,NA,"2016"
"124","Kianjai",NA,21.11,20.56,22.22,NA,27.78,27.78,27.78,27.78,34.57,38.89,NA,"2016"
"125","Gakoromere",33.33,33.33,24.44,22.22,24.07,27.78,33.33,33.33,33.33,35.32,38.89,38.89,"2016"
"126","Chuka  Town",47.04,36.13,31.25,34.94,30,34.03,34.9,31.74,30.99,35.44,34.86,NA,"2016"
"127","Kathwana",NA,NA,33.33,30.55,NA,NA,32.75,34.79,29.57,33.11,35.28,38.97,"2016"
"128","Wote",30,30,29.33,25,27.75,28,28.17,28.63,NA,30.8,33,NA,"2016"
"129","Marsabit",39.25,38,34.75,35.5,40,37.71,37.2,37,36,39.33,40,38,"2016"
"130","Kibuye",30.46,32.61,30.43,31.87,33.34,35.18,35.1,29.95,34.06,33.96,34.58,37.09,"2016"
"131","Ahero",31.35,31.13,29.8,29.64,29.94,32.27,35.15,33.51,34.64,36.33,37.17,39.33,"2016"
"132","Kiboswa",31.49,32.98,32.98,30.78,31.95,33.55,33.56,33.17,38.69,45.06,35.57,36.81,"2016"
"133","Sondu",30.72,30.8,30.01,30.13,NA,34.59,33.67,34.78,34.42,37.39,38.59,38.14,"2016"
"134","Bondo",27.43,28.41,30.12,31.82,31.82,32.87,37.46,NA,NA,NA,NA,NA,"2016"
"135","Akala",NA,NA,NA,NA,NA,NA,NA,34.66,36.36,38.32,37.08,NA,"2016"
"136","Siaya",27.12,27.27,30.34,31.55,31.78,32.02,34.17,33.15,39.66,39.86,37.64,NA,"2016"
"137","Ngiya",31.47,27.27,31.92,31.64,30.69,32.74,33.69,31.78,34.72,36.77,35.05,33.53,"2016"
"138","Unguja",30.52,30.52,31.17,NA,NA,33.39,35.32,35.41,33.16,36.65,35.58,NA,"2016"
"139","Kegonga",35.87,31.25,30.44,36.96,34.78,36.96,36.96,30.43,31.52,43.48,43.48,47.83,"2016"
"140","Homabay",27.77,26.85,27.5,27.87,28.13,32,NA,NA,32,34.12,36.12,36.18,"2016"
"141","Oyugis",24.27,24.09,24.64,27.67,NA,32,NA,NA,26.38,32.35,36.67,37.5,"2016"
"142","Kehacha",34.78,30.43,28.26,NA,28.26,26.09,25,26.09,34.78,NA,39.13,43.48,"2016"
"143","Migori",34.78,NA,28.26,30.43,33.7,34.78,26.09,23.08,26.09,34.78,39.13,43.48,"2016"
"144","Turkana",NA,NA,NA,NA,NA,NA,NA,37.39,53.53,43.18,45.45,NA,"2016"
"145","Kabarnet",NA,NA,NA,NA,NA,34.05,NA,42.83,NA,NA,NA,NA,"2016"
"146","Kimulot",NA,NA,26,NA,NA,32,32.5,36,32,32,NA,NA,"2016"
"147","Sotik",NA,NA,NA,NA,NA,32,32.4,32.8,33,36,NA,NA,"2016"
"148","Fort  Ternan",NA,NA,NA,NA,NA,NA,NA,NA,30,30,NA,NA,"2016"
"149","Bomet",NA,NA,NA,NA,36,36,36,36,36,34.67,NA,NA,"2016"
"150","Muthurwa  Narok",36,36,38,35,32,36,33.78,33,32,34,32,NA,"2016"
"151","Nakuru  Town",60,62.5,62.5,50,50.91,57.5,60,60,48.89,47.5,44.29,34.29,"2016"
"152","Mulot",29.5,NA,NA,NA,33.91,35.08,33.6,33.14,NA,NA,NA,NA,"2016"
"153","Kitale",NA,NA,NA,NA,NA,NA,35.61,36.11,35.42,32.08,31.25,30.21,"2016"
"154","Kapenguria",NA,NA,28,28,28,32,NA,NA,NA,NA,NA,NA,"2016"
"155","Eldoret",24,27,27.5,28,32,32,32,32,32,32,32,32,"2016"
"156","Burn  Forest",31,31.25,35,35,35,35,35,35.71,40,46.25,33.75,35,"2016"
"157","Turbo",25,26.88,30,32.5,35,35,35,37.14,37.5,34,28.75,29.38,"2016"
"158","Kipkaren",25,26.88,30,32.5,35,35,35,37.86,40,34,30.54,29.38,"2016"
"159","Iten",23.96,24.79,28.86,26.14,29.4,34.12,34.85,34.48,32.67,34.12,NA,27.23,"2016"
"160","Kajiado",50,40,50,50,47.33,46.67,44,42.5,50,45,50,NA,"2016"
"161","Bungoma  Town",26.97,24,26.99,27.55,29.17,35.61,36.42,30.27,30.11,28.87,32.43,34.41,"2016"
"162","Kimilili",NA,NA,NA,NA,NA,NA,35.05,30.27,NA,21.81,26.54,NA,"2016"
"163","Kapsokwony",NA,NA,NA,NA,NA,NA,NA,NA,35.16,25.67,26.8,28.28,"2016"
"164","Bumala",35.71,35.71,35.71,35.71,35.71,33.33,41.43,45.24,40.48,40.48,40.48,40.48,"2016"
"165","Busia  Town",35.71,38.1,38.1,38.1,38.1,42.86,41.67,39.29,36.91,40.48,40.48,40.48,"2016"
"166","Butere",27.73,30.68,31.82,43.22,35,40.57,33.85,21.29,23.1,28.25,31.82,38.64,"2016"
"167","Kakamega",33.22,40,40,37.5,38.75,40,40.63,38.33,32.5,34.38,35,40.83,"2016"
"168","Mumias",28.25,31.82,30.69,30.69,37.5,40,39.07,31,24,26,29.5,32,"2016"
"169","Mundeta",26.19,26.19,27.38,27.78,30.95,35.71,34.28,32.14,30.95,34.85,32.74,33.33,"2016"
"170","Cheptula",28.57,26.19,NA,30.95,33.33,35.71,37.01,35.71,34.52,32.14,34.92,35.71,"2016"
"171","Mbale",25.4,30.16,27.74,30,33.89,NA,NA,35,35,32.5,NA,NA,"2016"
"172","Muthurwa",40.91,42.86,42.5,40.91,42.86,45,42.86,42.86,45.45,42.86,45.45,47.62,"2016"
"173","Kawangware",45.45,42.86,42.86,42.86,45.24,47.5,45.24,43.18,45.24,45.34,NA,47.62,"2016"
"174","Burma",45,45,41.67,41.67,41.67,50,45,45,45,50,50,50,"2016"
"175","Gikomba",36.36,45.24,42.86,42.86,42.86,42.86,40.91,40,42.86,43.18,45.24,45.45,"2016"
"176","Kangemi",42.86,45,45.45,45,42.86,45,42.86,42.86,47.62,45,45.24,45.24,"2016"
"177","Korokocho",37.5,42.86,40.91,42.86,40.91,42.5,42.86,40.91,42.86,45,42.86,42.86,"2016"
"178","Toi",45,42.86,42.86,42.5,40.91,42.86,42.86,42.5,42.86,45,42.86,45,"2016"
"179","Kiambu
",40,40,40,40,40,40,40,NA,NA,NA,NA,NA,"2015"
"180","Limuru",40,40,40,40,40,40,40,NA,NA,NA,NA,NA,"2015"
"181","Thika",50,49.38,42.5,50,50,NA,50,NA,44.29,NA,NA,NA,"2015"
"182","Gatundu",43.83,43.8,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,"2015"
"183","Kutus",32.99,28.58,NA,29.72,32,34.24,30.11,30.67,24.33,28.58,28.58,29.17,"2015"
"184","Sagana",32.02,31.1,NA,32.02,36.36,37.99,30.61,24.06,31.82,28.38,33.16,36.36,"2015"
"185","Kerugoya",32.45,31.52,NA,34.78,34.78,36.23,32.61,37.12,29.91,29.8,29.22,31.46,"2015"
"186","Muthithi",30.52,NA,31.82,32.39,36.36,31.82,32.73,NA,25.57,25,NA,NA,"2015"
"187","Makuyu",33.33,33.33,33.33,34.52,NA,34.76,33.33,35.24,33.33,39.37,29.36,28.57,"2015"
"188","Kiriaini",NA,35,35,37.08,40,40,37.5,36.25,35.63,32.56,32.5,NA,"2015"
"189","Engineer",40,40,34,38,40,NA,NA,NA,NA,NA,NA,NA,"2015"
"190"," Nyeri",39.62,38.89,42.73,41.39,49.34,48.81,43.93,52.54,47.62,NA,NA,NA,"2015"
"191","Endarasha",40.95,42.86,37.37,41.61,43.81,NA,36.67,38.88,35.83,NA,NA,NA,"2015"
"192","Karatina",34.17,35.52,37.64,43.72,40.26,39.05,38.5,39.29,43.02,45,NA,NA,"2015"
"193","Gakindu",NA,35.59,33.33,33.03,38.59,37.8,NA,37.22,33.13,34.25,35,NA,"2015"
"194","Nanyuki",44.57,36.19,37.49,47.23,48.89,43.02,45.83,46.11,43.07,44.42,44.29,33.46,"2015"
"195","Nyahururu",32.56,29.55,27.27,36.36,34.85,31.82,31.82,31.82,30.52,30,25,27.27,"2015"
"196","Kaloleni",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015"
"197","Malindi",31.5,30,34,37,NA,NA,NA,NA,NA,NA,NA,NA,"2015"
"198","Kibauni Kilifi",40,45,45,43.75,45,NA,NA,NA,NA,NA,NA,NA,"2015"
"199","Ukunda",30,30,32,43.33,45,42.5,38,45,40,40.67,40.25,39.43,"2015"
"200","Kwale",40,38.89,38.75,40,31.11,30,30,32.5,NA,38.89,36.25,38.5,"2015"
"201","Mpeketoni",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,"2015"
"202","Mkunguni",NA,60,55,50,56.25,NA,NA,50,50,50,50,NA,"2015"
"203","Mwembe Tayari",45,41.75,43.25,41.75,42.5,50,45,47.5,46.25,56,61.67,NA,"2015"
"204","Majengo",38,41.25,45,40,42.43,45,42.8,41,45,42.83,40,NA,"2015"
"205","Sega",38.25,35,37.5,43.75,40,NA,40.17,45,45,45,45,NA,"2015"
"206","Kongowea",34.4,30,30,54.33,38,NA,40,39.67,40,38,37,NA,"2015"
"207","Hola",NA,NA,NA,NA,NA,50,37.5,35,NA,50,NA,35,"2015"
"208","Garsen",NA,NA,NA,NA,NA,40,40,NA,40,NA,NA,NA,"2015"
"209","Bura Tana",NA,NA,NA,NA,NA,40,35,NA,35,35,NA,30,"2015"
"210","Runyenjes",32.95,31.82,27.84,27.78,32.73,32.83,31.82,30.91,25,23.86,27.27,27.27,"2015"
"211","Embu Town",32.73,30.3,28.98,31.25,36.36,34.09,32.95,30,27.27,27.27,22.73,22.73,"2015"
"212","Siakago",33.33,33.33,31.82,31.82,36.36,35.06,33.12,28.98,24.68,27.27,27.27,29.55,"2015"
"213","Mwingi",27.4,27.25,27,30.25,34.2,34.6,35.89,31.67,30,30,NA,30,"2015"
"214","Kalundu",28,27,27,33,34.75,33,36.29,35,30,30,30,30,"2015"
"215","Machakos Town",32.5,30,30.75,40.83,35,36.25,40,36.5,35,35,35,40,"2015"
"216","Tawa",28.67,30,26,30.67,33.11,30,30,NA,33.13,32.38,32.5,33,"2015"
"217","Tala",28,26.86,26.5,26.38,33,32.22,34.25,35,35,35,35,34,"2015"
"218","Maua",30,30,30.56,36.25,36,35,35,35,35,35,35,NA,"2015"
"219","Kianjai",33.33,29.26,29.51,33.33,33.33,34.17,33.33,33.33,33.33,33.33,33.33,NA,"2015"
"220","Gakoromere",33.33,31.25,27.78,28.47,33.33,33.33,34.3,37.5,37.04,33.33,33.33,NA,"2015"
"221","Chuka Town",39.1,41.97,37.84,34.81,37.9,45.53,41.41,NA,NA,NA,NA,NA,"2015"
"222","Kaanwa",30.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015"
"223","Wote
Wajir Town",28.13,27.75,28.5,34,34.25,34.75,NA,NA,34.5,32.75,32.5,32.5,"2015"
"224","Marsabit",41.8,41.75,38,38.5,40.2,43,36.4,38.5,38.5,40,35.5,37.33,"2015"
"225","Daraja Mbili",31.25,28.41,27.44,32.58,36.36,36.36,NA,34.09,31.82,34.09,NA,NA,"2015"
"226","Kibirigo",27.17,27.08,32.29,37.5,NA,NA,NA,NA,NA,NA,NA,NA,"2015"
"227","Nyangusu",27.27,27.27,27.27,34.09,35.97,38.04,39.13,39.13,30.43,21.74,NA,NA,"2015"
"228","Riochanda",22.83,27.17,29.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015"
"229","Nyabite",31.94,26,32,35.42,NA,NA,NA,NA,NA,NA,NA,NA,"2015"
"230","Mogonga",36.36,27.27,27.27,34.09,38.18,NA,NA,NA,NA,NA,NA,NA,"2015"
"231","Igare",35.57,28.09,35.63,36.86,37.5,38.64,43.48,43.48,28.26,26.09,NA,NA,"2015"
"232","Kibuye",30.22,27.17,28.92,31.06,35.22,35.42,35.1,30.46,30.12,30.78,NA,NA,"2015"
"233","Ahero",NA,25.28,29.5,32.93,34.24,34.06,33.35,30.92,39.48,39.34,NA,NA,"2015"
"234","Kiboswa",32.18,28.94,29.57,30.87,33.77,NA,37.51,30.76,30.81,30.34,NA,NA,"2015"
"235","Sondu",NA,25.68,30.14,33.53,33.53,35.42,34.49,29.34,29.18,28.89,NA,NA,"2015"
"236","Bondo",27.67,22.92,30.18,31.46,36.58,34.71,34.03,29.26,27.43,NA,NA,NA,"2015"
"237","Siaya",27.23,NA,NA,NA,NA,NA,33.24,29.81,NA,NA,NA,NA,"2015"
"238","Ngiya",NA,23.89,NA,NA,NA,NA,34.66,27.51,NA,NA,NA,NA,"2015"
"239","Unguja",26.43,NA,NA,NA,NA,NA,35.43,27.59,NA,NA,NA,NA,"2015"
"240","Kegonga",25.35,20.83,24.15,31.25,31.67,34.78,36.96,32.5,36.96,NA,NA,NA,"2015"
"241","Homabay",28.04,31.04,31.26,36.57,NA,32.42,35.29,NA,NA,NA,NA,NA,"2015"
"242","Oyugis",27.21,28.47,30.67,33.33,34.78,33.15,35.42,NA,NA,NA,NA,NA,"2015"
"243","Kehacha",24,24,24,32,32,NA,32,32,NA,32,NA,NA,"2015"
"244","Migori",24,28,32,32,32,NA,28.26,30.43,30.43,NA,NA,NA,"2015"
"245","Kabarnet",27.78,27.78,33.33,38.89,38.89,38.89,38.89,NA,NA,NA,NA,NA,"2015"
"246","Kimulot",NA,27.46,31.27,36,34,NA,38.4,37.5,NA,NA,NA,NA,"2015"
"247","Sotik",NA,29.11,31.51,36,36,NA,42.67,36,32,NA,NA,NA,"2015"
"248","Bomet",NA,30.8,31,NA,36.42,NA,36,36,NA,NA,NA,NA,"2015"
"249","Muthurwa Narok",29,32.5,36.5,40,36.5,39,3.01,38,33.75,32.5,NA,NA,"2015"
"250","Nakuru Town",40,47.5,47.22,48.75,51.43,50,49.09,46.43,47.5,52.5,NA,NA,"2015"
"251","Kapsabet",30.43,29.35,30.43,30.43,36.96,39.13,39.13,43.48,43.48,NA,NA,NA,"2015"
"252","Mulot",NA,NA,NA,NA,NA,NA,NA,35.04,NA,NA,NA,NA,"2015"
"253","Kitale",22.92,22.92,22.92,29.17,NA,NA,NA,NA,NA,NA,NA,NA,"2015"
"254","Eldoret",30,27,27.5,30,31.78,36.6,32,32,32,32,24.5,24,"2015"
"255","Burn Forest",31,30.63,35,35.63,35,35,34.57,35,35,34.69,30,30,"2015"
"256","Turbo",20,22,24,31.63,35,35,35,36.67,30,28.33,28.13,25,"2015"
"257","Kipkaren",20,21.5,24,32.13,35,35,35,37.5,30,30,26.25,25,"2015"
"258","Iten",30.94,30,30,33.75,35.71,35,31.04,33.4,33.76,29.62,26.68,23.96,"2015"
"259","Kajiado",40,40,40,40,40,40,43,NA,46.25,45,45,50,"2015"
"260","Bungoma Town",28.57,27.14,28.95,34.32,34.29,33.33,36.96,32.45,25.09,24.63,24.31,25.42,"2015"
"261","Kimilili",NA,23.91,26.22,NA,NA,NA,NA,24,22.8,NA,20.23,NA,"2015"
"262","Kapsokwony",21.98,21.98,24.36,20.41,NA,NA,NA,26.53,25.33,NA,21.05,20.62,"2015"
"263","Bumala",26.67,27.38,30.16,30.95,33.93,36.11,36.51,25.51,23.81,25.6,28.57,32.74,"2015"
"264","Busia Town",31.43,23.81,26.19,31.55,35.12,36.51,36.11,25.51,25,26.19,27.38,35.71,"2015"
