MARKETS,Jan,Feb,March,April,May,JUNE,JULY,August,Sep,Oct,Nov,Dec,year
MARIAKANI,20,20,18,20,18,18,18,17,17,17,17,18,2007
KALOLENI,20,20,17,17,17,18,18,17,17,17,14,18,2007
MALINDI,20,17.21,20,-,20,20,20,20,-,-,-,-,2007
KIBAUNI KILIFI,21,20,18,18,17,16.5,17,17,17,17,.,18,2007
UKUNDA,35,35,38,35,35,30,25,25,-,-,-,-,2007
WUNDANYI,-,-,14,14,13,-,-,-,-,-,-,-,2007
MWEMBE TAYARI,20,20,23.67,30,20,20,20,18,-,-,-,-,2007
SEGA,20,20,20,22,20,-,-,-,-,-,-,-,2007
KONGOWEA,15,15,.,15,14,14.5,14,-,-,-,-,-,2007
GARSEN,-,20,25,-,-,-,20,20,25,-,-,-,2007
BURA TANA,20,20,20,40,20,-,-,-,-,-,-,-,2007
RUNYENJES,17.5,17.5,15,15,15,12.5,10,12.5,12.5,12.5,15,12.5,2007
EMBU TOWN,17.5,17.5,15,12.5,12.5,12,12.5,12.5,12.5,12.5,15,15,2007
SIAKAGO,20,17.5,12.5,12.5,12.5,-,11.75,11.5,11.5,15,15,15,2007
MWINGI,15,16,15,8,-,15,15,10,15,-,-,-,2007
MIGGWAINI,17,16,7.27,10,10,10,12,12,-,12,13,-,2007
MACHAKOS TOWN,18.18,-,12,12,5.71,10,10,12,12,13,-,-,2007
TALA,12,9.77,9.38,9.5,10,9.52,9,20,10,10,-,-,2007
MAUA,-,25,16.25,12.5,15,13.75,12.5,-,-,-,-,-,2007
KIANJAI,17.78,17.78,10,12.5,11.11,11.11,8.89,-,-,-,-,-,2007
GAKOROMERE,16,13.64,8,9.09,9.09,10.91,9.09,9.09,9.09,12,11.82,11.82,2007
WOTE,17,15,14,11,11,12,12,12,14,14,-,17,2007
GARISA TOWN,29.63,16.67,16.67,16.67,16.67,16.67,16.67,-,15,-,-,-,2007
DARAJA MBILI,13.33,14.29,13.64,14.29,14.29,13.64,12.83,11.36,13.33,14.29,9.52,17.62,2007
KIBIRIGO,16.67,-,-,-,-,16.67,11.9,-,13.33,.,.,.,2007
NYANGUSU,14.29,9.11,10.87,11.9,13.1,10.04,10.87,11.9,9.52,14.29,11.9,13.33,2007
RIOCHANDA,13.33,-,-,-,22.62,-,-,16.67,-,-,-,-,2007
NYABITE,15.48,-,-,-,14.29,-,-,14.29,-,-,-,-,2007
MOGONGA,12.38,10.87,10.43,11.9,12.38,13.33,11.74,9.52,9.52,11.9,15,14.29,2007
NYAMACHE,14.29,12.1,10,14.29,11.9,11.56,10.87,11.9,11.9,-,12.38,14.29,2007
KIBUYE,16.67,14.09,14.32,15.71,-,-,-,-,-,-,-,-,2007
AHERO,-,-,-,-,-,-,-,-,-,-,-,16.67,2007
KIBOSWA,16.19,15.71,14.09,15.24,-,-,-,-,-,-,-,-,2007
SONDU,14.55,13.64,13.64,-,-,-,-,-,-,-,16.67,16.67,2007
BONDO,15,15.4,17.5,17.5,14.07,15,15,16.5,16.5,16.5,16.5,-,2007
OYUGIS,12.38,13.33,-,-,16.19,-,15.71,-,-,-,-,-,2007
KEHACHA,15.91,13.64,-,-,-,-,-,-,-,-,-,-,2007
KABARNET,15,-,15,15,15.56,15,-,-,-,-,-,-,2007
NAKURU TWON,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,2007
KAPSABET,13.04,13.04,13.04,14.29,15.22,15.22,16.67,-,-,-,-,-,2007
KITALE,-,17.5,16.5,14.29,15,14.76,17.5,17.5,17.5,-,-,-,2007
ELDORET,13.33,13.18,13.64,15.24,18.5,17.5,19,17.5,14,15,14,12.5,2007
BURN FOREST,-,10.4,13.46,16.67,11,0.5,20,13.5,12.8,14,14,12,2007
TURBO,11.43,11.15,10,11.43,11.9,17.62,14,17.2,16.8,12,12,-,2007
KIPKAREN,12.86,12.03,12,15,16.5,17.5,17.5,17.5,16.5,10.4,13.95,10.8,2007
ITEN,11.9,25,26.25,11.9,-,-,-,-,20,17.5,-,-,2007
KAJIADO TOWN,20,20,-,20,20,20,20,20,25,20,25,-,2007
KAPKATENY,12.52,13.67,13.56,14.29,17.14,17.14,17.14,17.62,14.29,11.9,11.9,-,2007
BUNGOMA TOWN,14.29,13.97,13.64,15.24,13.64,-,-,-,-,14.55,13.64,14.29,2007
KIMILILI,13.33,13.67,12.85,14.29,.,15.71,16.67,15.71,16.67,11.9,13.33,14.29,2007
KAPSOKWONY,13.1,13.34,14.04,15.24,18.1,18.1,17.14,18.1,14.29,13.33,14.29,12.38,2007
BUTERE,-,-,14.7,14.55,15.91,16.52,15.71,-,-,-,-,-,2007
KAKAMEGA,13.97,13.97,13.64,15.24,15.24,16.29,15.91,13.64,13.64,12.73,13.64,13.64,2007
MUMIAS,-,-,14.69,14.65,15.71,16.67,17,-,-,-,-,-,2007
MUNDETA,14.29,14.29,14.29,14.29,15.24,15.24,15.24,14.29,14.29,-,15.24,14.29,2007
CHEPTULA,14.29,14.29,14.29,15.24,15.24,-,14.29,13.33,-,15.24,14.29,14.29,2007
Mbale,14.29,13.64,13.64,14.29,-,15.24,15.24,14.29,14.55,14.55,13.64,14.29,2007
KAWANGWARE,22,20,20,20,30,21.05,19.05,20,19.05,18.1,18.28,20,2007
BURMA,20,20,22,22,22,20,20,20,20,20,22,25,2007
KIKOMBA,19.05,19,20,19,18.18,20,18.18,20,19.05,17.14,20,20.45,2007
KANGEMI,19.49,20.5,19.05,19,20,20,20,20,18.18,19.05,20,20.45,2007
KOROKOCHO,17.95,19.5,20,19,20,18.18,18.18,19,16.36,19.5,19.05,20,2007
TOI,21,20.1,17.95,17.5,29.21,17.39,16.67,16.67,15,15.38,17.14,18.18,2007
Kiambu,15.08,19.05,20.48,19.05,21.43,21.43,19.53,19.05,15.71,15.05,16.67,16.67,2006
Limuru,18.25,19,17.5,21.5,21.25,22.5,21.43,22.5,17.5,23.53,17.5,15,2006
Thika,19.05,19.05,18.18,20,-,20,19.05,19.05,20,18.18,18.1,20,2006
Gatundu,21,19.05,23.81,19.05,-,21.43,18.18,-,-,19.05,15.22,19.05,2006
Muthithi,19.05,-,16.67,21.43,22.5,-,-,14.29,-,14.29,15.24,13.33,2006
Mukuyu,21.05,20,21.05,20,23.68,23.81,23.68,18.42,18.42,18.42,17.55,16.67,2006
Kiriaini,19.05,19.05,19.05,19.05,23.81,23.81,23.81,16.67,16.67,16.67,16.67,16.67,2006
Engineer,16.67,19.05,16.67,16.67,16.67,16.97,19.05,18.18,19.05,19.05,19.05,20,2006
Nyeri,19.05,20,19.05,20,21.43,21.43,21.43,19.05,19.05,19.05,-,-,2006
Endarasha,14.29,19.05,19.05,-,-,19.05,19.05,19.05,16.67,19.05,19.05,19.05,2006
Karatina,16.59,18.18,-,18.18,20.45,20.45,-,18.18,-,15.91,15.91,15.91,2006
Gakindu,-,-,20,19.05,17.5,20,21.43,22.5,19.05,22.5,16.67,20,2006
Nanyuki,19.05,19.05,21.05,-,-,-,-,-,20.91,18.18,20,22.22,2006
Mariakani,18,19,19,18,22,22,18,18,22,22,22,22,2006
Kaloleni,20,20,20,20,-,22,22,20,20,20,20,20,2006
Malindi,23.8,27.17,27.78,28.41,25,31.58,25,25,25.77,20,20,25,2006
Kibauni Kilifi,20,19,19,20,22,22,20,19,19,22,20,21,2006
Ukunda,30,30,30,31.33,35,32,32,32,32,38,35,35,2006
Mwembe Tayari,18,25,-,20,-,18,20,20,18,18,20,20,2006
Majengo,-,-,-,-,-,-,-,-,-,-,-,-,2006
Sega,19.5,22,24,24,20,22,20,21,20,18,22,20,2006
Voi,-,-,-,-,-,-,-,-,-,-,-,-,2006
Mackinon,-,-,-,-,-,-,20,-,-,-,-,-,2006
Kongowea,18,17.5,20,20,22,24,20,21,15,22,22,20,2006
Hola,20,20,20,20,-,-,-,16,20,16,15,-,2006
Garsen,-,20,20,20,20,20,-,-,20,17.5,-,-,2006
Runyenjes,17.5,20,20,20,20,20,19.05,20,20,20,20,17.5,2006
Embu Town,17.5,15,17.5,20,20,20,20,20,17.5,18.75,17.5,17.5,2006
Siakago,-,20,17.5,20,20,19.53,17.5,13.5,15,-,20,17.5,2006
Mwingi,17,17,20,20,22,22,21,18,16,-,17,16,2006
Migwani,18,18,20,18,20,20,20,20,17.17,18,18,-,2006
Kalundu,17,20,17,20.41,20,22,20,17,17,17,-,-,2006
Machakos Town,20,20,18,20.11,20,18,18,15,15,18,21.05,-,2006
Tala,17.57,18,-,19.05,20,17,16.67,17,12,11.9,22,12,2006
Maua,21.11,21.11,22.22,22.22,-,20,20,15,-,22.22,20,20,2006
Kianjai,18.89,17.78,16.67,18.34,18,21.11,21.11,18.89,-,18.89,18.89,18.89,2006
Mwendantu,14.1,15.45,13.64,13.64,16,15.45,18.18,18.18,16.36,16.36,16.36,15.45,2006
Wote,17,20,18,20,21,20,17,17,17,16,16,-,2006
Garissa Town,-,-,-,-,-,-,-,-,20,29.41,-,22.22,2006
Daraja Mbili,13.74,15.91,18.18,18.18,21.82,21.74,22.86,12.73,12.73,13.64,16.67,15.91,2006
Kibirigo,15.24,17.39,18.75,19.79,23.48,25,17.82,15.91,14.58,17.62,16.67,15.91,2006
Riochanda,12.51,16.67,15.83,19.59,24.17,25,12.5,11.9,-,14.29,14.29,16.67,2006
Nyabite,13.61,18.75,17.5,-,20.83,21.57,15,15.71,-,15.71,15.71,15.71,2006
Kibuye,16.82,18.18,-,20.45,,20.45,17.27,,15.91,,,14.55,2006
Mogonga,-,-,-,-,-,-,-,-,-,12.27,15.24,15.24,2006
Nyamache,-,-,-,-,-,-,-,14.29,-,11.9,15.24,16.67,2006
Ahero,15.76,18.18,-,20.45,20.45,20.45,,14.55,14.55,,-,16.67,2006
Homa Bay,-,-,-,-,-,-,-,-,-,-,-,-,2006
Oyugis,14.55,15.22,19.09,20.66,20.45,23.91,-,-,-,-,-,-,2006
Kehancha,-,-,-,-,-,-,-,16.67,19.05,19.05,19.05,21.43,2006
Kiboswa,15.45,17.27,-,19.55,,20.45,16.36,13.18,13.33,15.71,16.67,16.67,2006
Sondu,15.91,18.18,-,-,21.82,20.91,-,13.64,14.55,14.29,15.71,15.24,2006
Bondo,16.5,17.5,17.5,21,20,17.5,15,14,15,15,15,15,2006
Akala,-,-,18.18,-,,,,,,,-,-,2006
Siaya,14.55,14.09,-,-,-,-,-,-,-,-,-,-,2006
Ugunja,14.29,14.55,-,17.27,18.18,,16.36,,,,-,-,2006
Oyugis,14.55,-,-,20.66,20.45,23.91,,,,,-,-,2006
Kabarnet,13,15,15,16,18,19,19,18,,17,17,-,2006
Litein,16.67,19.05,-,-,,,,,,16.67,16.67,-,2006
Nakuru Town,22.22,20,20,20,20,22.22,22.22,22.22,22.22,22.22,22.22,22.22,2006
Kapsabet,13.04,17.39,17.39,17.39,18.7,-,19.05,15.32,11.36,10.87,13.33,-,2006
Kilgoris,-,-,17.62,20.45,22.61,23.64,21.43,-,-,14.29,-,-,2006
Eldoret,-,16,-,15.24,16.67,,22.5,15,,11.9,-,-,2006
Burnt Forest,-,15,15.22,19,19,,,17.5,17.5,16.67,16.67,10,2006
Turbo,10.42,12.5,15.22,17.5,14.58,19.95,20.23,19,13.64,14.29,-,11.9,2006
Kipkaren,15,15.45,13.04,15.91,16,16.8,16.6,12.73,13.03,13.33,-,-,2006
Iten,12.57,12.5,14.29,14.29,16.67,19.05,19.05,,,14.29,14.29,-,2006
Flax,14.29,14,-,-,-,-,-,-,-,-,-,-,2006
Kajiado Township,20,22,20,20,-,20,20,20,25,25,25,20,2006
Kapkateny,10.15,15.65,15.22,15.22,19.57,19.57,19.13,14.13,11.36,10.95,11.9,13.33,2006
Kapsokwony,10.76,15.22,15.22,15.65,19.57,19.57,18.05,13.04,13.04,11.43,-,-,2006
Bumala,14.29,16.67,16.19,-,,,,,11.9,,-,-,2006
Busia Town,13.33,15.71,-,20,,,,9.52,,,-,-,2006
Butere,15.61,15.91,15.91,20,20,19.13,22.86,,,13.64,-,-,2006
Kakamega Town,12.73,-,-,18.18,-,21.36,22.86,-,-,13.18,12.73,13.64,2006
Mumias,15.24,17.5,15.91,18.14,19.09,20.45,21.9,,,15,-,-,2006
Mudete,15,16.67,18.1,18.1,20,22.86,20.48,20.21,14.29,13.33,14.29,14.29,2006
Cheptulu,14.17,16,18.5,18.34,20,22.5,14.29,16.67,26.41,14.29,14.29,14.29,2006
Mbale,15.46,16.67,15.91,15.91,18.18,20.45,19.05,13.64,28.23,14.29,14.29,14.29,2006
Kawangware,21.43,22,21.43,21.4,21.43,23.81,21.43,21.43,19,18.18,20,23.53,2006
Burma,22.5,25,25,25,25,25,25,25,25,25,25,25,2006
Gikomba,20,20,21.05,20,25.51,25.51,22.22,22.22,21.51,20.41,20.5,22.22,2006
Kangemi,21.05,21.43,21.43,20.45,21.43,22.86,23.81,23.81,20,18.1,20,21.62,2006
Korogocho,21.28,20,22.22,20,25,25,21.05,21.05,21.86,21.86,21.86,23.53,2006
Kibera(Toi),19.05,20.48,20.48,21.43,21.43,21.43,23.86,23.86,16.67,16.19,19.05,21.16,2006
