,MARKETS,county,countyID
561,KERUGOYA,,
562,MUTHITHI,,
563,MUKUYU,,
564,KIRIAINI,,
565,ENGINEER,,
566,NYERI,,
567,KARATINA,,
568,GAKINDU,,
569,NANYUKI,,
570,SIPILI,,
571,MARIAKANI,,
572,KALOLENI,,
573,MALINDI,,
574,KIBAUNI KILIFI,,
575,KWALE,,
576,MWEMBE TAYARI,,
577,MAJENGO,,
578,MACKINON,,
579,SEGA,,
580,KONGOWEA,,
581,GARSEN,,
582,RUNYENJES,,
583,EMBU TOWN,,
584,SIAKAGO,,
585,MWINGI,,
586,MIGWANI,,
587,KALUNDU,,
588,MACHAKOS TOWN,,
589,TALA,,
590,MAUA,,
591,KIANJAI,,
592,MWENDANTU,,
593,WOTE,,
594,DARAJA MBILI,,
595,KIBIRIGO,,
596,RIOSIRE,,
597,RIOCHANDA,,
598,NYABITE,,
599,MOGONGA,,
600,NYAMACHE,,
601,KIBUYE,,
602,AHERO,,
603,KIBOSWA,,
604,SONDU,,
605,BONDO,,
606,OYUGIS,,
607,KABARNET,,
608,NAKURU TOWN,,
609,KAPSABET,,
610,KITALE,,
611,ELDORET,,
612,BURNT FOREST,,
613,TURBO,,
614,KIPKAREN,,
615,ITEN,,
616,BUNGOMA TOWN,,
617,KIMILILI,,
618,KAPSOKWONY,,
619,BUTERE,,
620,KAKAMEGA TOWN,,
621,MUMIAS,,
622,MUDETE,,
623,CHEPTULU,,
624,MBALE,,
625,KAWANGWARE,,
626,BURMA,,
627,KIKOMBA,,
628,KANGEMI,,
629,KOROGOCHO,,
630,KIBERA(TOI),,
631,KIAMBU,,
632,LIMURU,,
633,THIKA,,
634,GATUNDU,,
635,KUTUS,,
636,SAGANA,,
637,KERUGOYA,,
638,MUTHITHI,,
639,MUKUYU,,
640,KIRIAINI,,
641,ENGINEER,,
642,NANYUKI,,
643,SIPILI,,
644,MARIAKANI,,
645,KALOLENI,,
646,MALINDI,,
647,KIBAUNI KILIFI,,
648,RUNYENJES,,
649,EMBU TOWN,,
650,SIAKAGO,,
651,MWINGI,,
652,MIGWANI,,
653,KALUNDU,,
654,"MACHAKOS
TOWN",,
655,TALA,,
656,KIANJAI,,
657,MWENDANTU,,
658,WOTE,,
659,DARAJA MBILI,,
660,KIBIRIGO,,
661,RIOSIRE,,
662,RIOCHANDA,,
663,NYABITE,,
664,MOGONGA,,
665,Nyamache,,
666,KIBUYE,,
667,AHERO,,
668,KIBOSWA,,
669,SONDU,,
670,BONDO,,
671,OYUGIS,,
672,NAKURU TOWN,,
673,KAPSABET,,
674,KITALE,,
675,ELDORET,,
676,BURNT FOREST,,
677,TURBO,,
678,KIPKAREN,,
679,"BUNGOMA
TOWN",,
680,KIMILILI,,
681,KAPSOKWONY,,
682,BUMALA,,
683,BUSIA TOWN,,
684,"KAKAMEGA
TOWN",,
685,MUDETE,,
686,CHEPTULU,,
687,MBALE,,
688,KAWANGWARE,,
689,BURMA,,
690,GIKOMBA,,
691,KANGEMI,,
692,KOROGOCHO,,
693,KIBERA(TOI),,
694,KIAMBU,,
695,LIMURU,,
696,MUTHITHI,,
697,MUKUYU,,
698,KIRIAINI,,
699,NANYUKI,,
700,SIPILI,,
701,MARIAKANI,,
702,KALOLENI,,
703,MALINDI,,
704,KIBAUNI KILIFI,,
705,GARSEN,,
706,RUNYENJES,,
707,EMBU TOWN,,
708,SIAKAGO,,
709,MIGWANI,,
710,MACHAKOS TOWN,,
711,TALA,,
712,MWENDANTU,,
713,WOTE,,
714,GARISSA TOWN,,
715,DARAJA MBILI,,
716,BONDO,,
717,KABARNET,,
718,KAPSABET,,
719,KITALE,,
720,ELDORET,,
721,TURBO,,
722,KIPKAREN,,
723,KAIADO TOWNSHIP,,
724,BUNGOMA TOWN,,
725,KIMILILI,,
726,KAPSOKWONY,,
727,MUDETE,,
728,CHEPTULU,,
729,MBALE,,
730,KAWANGWARE,,
731,BURMA,,
732,KIKOMBA,,
733,KANGEMI,,
734,KOROGOCHO,,
735,KIBERA(TOI),,
736,KIAMBU,,
737,LIMURU,,
738,THIKA,,
739,GATUNDU,,
740,MUTHITHI,,
741,MUKUYU,,
742,KIRIAINI,,
743,ENGINEER,,
744,NANYUKI,,
745,NYAHURURU,,
746,MARIAKANI,,
747,KALOLENI,,
748,MALINDI,,
749,KIBAUNI KILIFI,,
750,UKUNDA,,
751,MWEMBE TAYARI,,
752,MACKINON,,
753,SEGA,,
754,KONGOWEA,,
755,GARSEN,,
756,RUNYENJES,,
757,EMBU TOWN,,
758,SIAKAGO,,
759,MWINGI,,
760,MIGGWAINI,,
761,KALUNDU,,
762,MACHAKOS TOWN,,
763,TALA,,
764,MAUA,,
765,KIANJAI,,
766,GAKOROMERE,,
767,WOTE,,
768,GARISA TOWN,,
769,DARAJA MBILI,,
770,KIBIRIGO,,
771,NYANGUSU,,
772,RIOCHANDA,,
773,NYABITE,,
774,MOGONGA,,
775,NYAMACHE,,
776,KIBUYE,,
777,AHERO,,
778,KIBOSWA,,
779,SONDU,,
780,BONDO,,
781,SIAYA,,
782,NGIYA,,
783,UNGUNJA,,
784,OYUGIS,,
785,KEHACHA,,
786,KABARNET,,
787,NAKURU TWON,,
788,KAPSABET,,
789,KITALE,,
790,ELDORET,,
791,BURN FOREST,,
792,TURBO,,
793,KIPKAREN,,
794,KAJIADO TOWN,,
795,BUNGOMA TOWN,,
796,KIMILILI,,
797,KAPSOKWONY,,
798,BUTERE,,
799,KAKAMEGA,,
800,MUMIAS,,
801,MUNDETA,,
802,CHEPTULA,,
803,Mbale,,
804,KAWANGWARE,,
805,BURMA,,
806,KIKOMBA,,
807,KANGEMI,,
808,KOROKOCHO,,
809,TOI,,
810,KIAMBU,,
811,LIMURU,,
812,THIKA,,
813,GATUNDU,,
814,MUTHITHI,,
815,MUKUYU,,
816,KIRIAINI,,
817,ENGINEER,,
818,NYERI,,
819,ENDARASHA,,
820,KARATINA,,
821,GAKINDU,,
822,NANYUKI,,
823,NYAHURURU,,
824,MARIAKANI,,
825,KALOLENI,,
826,MALINDI,,
827,KIBAUNI KILIFI,,
828,UKUNDA,,
829,WUNDANYI,,
830,MWEMBE TAYARI,,
831,SEGA,,
832,KONGOWEA,,
833,GARSEN,,
834,BURA TANA,,
835,RUNYENJES,,
836,EMBU TOWN,,
837,SIAKAGO,,
838,MWINGI,,
839,MIGGWAINI,,
840,MACHAKOS TOWN,,
841,TALA,,
842,MAUA,,
843,KIANJAI,,
844,GAKOROMERE,,
845,WOTE,,
846,GARISA TOWN,,
847,DARAJA MBILI,,
848,KIBIRIGO,,
849,NYANGUSU,,
850,RIOCHANDA,,
851,NYABITE,,
852,MOGONGA,,
853,NYAMACHE,,
854,KIBUYE,,
855,AHERO,,
856,KIBOSWA,,
857,SONDU,,
858,BONDO,,
859,OYUGIS,,
860,KEHACHA,,
861,KABARNET,,
862,NAKURU TWON,,
863,KAPSABET,,
864,KITALE,,
865,ELDORET,,
866,BURN FOREST,,
867,TURBO,,
868,KIPKAREN,,
869,ITEN,,
870,KAJIADO TOWN,,
871,KAPKATENY,,
872,BUNGOMA TOWN,,
873,KIMILILI,,
874,KAPSOKWONY,,
875,BUTERE,,
876,KAKAMEGA,,
877,MUMIAS,,
878,MUNDETA,,
879,CHEPTULA,,
880,Mbale,,
881,KAWANGWARE,,
882,BURMA,,
883,KIKOMBA,,
884,KANGEMI,,
885,KOROKOCHO,,
886,TOI,,
887,Kiambu,,
888,Limuru,,
889,Thika,,
890,Gatundu,,
891,Muthithi,,
892,Mukuyu,,
893,Kiriaini,,
894,Engineer,,
895,Nyeri,,
896,Endarasha,,
897,Karatina,,
898,Gakindu,,
899,Nanyuki,,
900,Mariakani,,
901,Kaloleni,,
902,Malindi,,
903,Kibauni Kilifi,,
904,Ukunda,,
905,Mwembe Tayari,,
906,Majengo,,
907,Sega,,
908,Voi,,
909,Mackinon,,
910,Kongowea,,
911,Hola,,
912,Garsen,,
913,Runyenjes,,
914,Embu Town,,
915,Siakago,,
916,Mwingi,,
917,Migwani,,
918,Kalundu,,
919,Machakos Town,,
920,Tala,,
921,Maua,,
922,Kianjai,,
923,Mwendantu,,
924,Wote,,
925,Garissa Town,,
926,Daraja Mbili,,
927,Kibirigo,,
928,Riochanda,,
929,Nyabite,,
930,Kibuye,,
931,Mogonga,,
932,Nyamache,,
933,Ahero,,
934,Homa Bay,,
935,Oyugis,,
936,Kehancha,,
937,Kiboswa,,
938,Sondu,,
939,Bondo,,
940,Akala,,
941,Siaya,,
942,Ugunja,,
943,Oyugis,,
944,Kabarnet,,
945,Litein,,
946,Nakuru Town,,
947,Kapsabet,,
948,Kilgoris,,
949,Eldoret,,
950,Burnt Forest,,
951,Turbo,,
952,Kipkaren,,
953,Iten,,
954,Flax,,
955,Kajiado Township,,
956,Kapkateny,,
957,Kapsokwony,,
958,Bumala,,
959,Busia Town,,
960,Butere,,
961,Kakamega Town,,
962,Mumias,,
963,Mudete,,
964,Cheptulu,,
965,Mbale,,
966,Kawangware,,
967,Burma,,
968,Gikomba,,
969,Kangemi,,
970,Korogocho,,
971,Kibera(Toi),,
