Lon;Lat;1980-1981;1981-1982;1982-1983;1983-1984;1984-1985;1985-1986;1986-1987;1987-1988;1988-1989;1989-1990;1990-1991;1991-1992;1992-1993;1993-1994;1994-1995;1995-1996;1996-1997;1997-1998;1998-1999;1999-2000;2000-2001;2001-2002;2002-2003;2003-2004;2004-2005;2005-2006;2006-2007;2007-2008;2008-2009;2009-2010;2010-2011;2011-2012;2012-2013
35.5;5.5;26.9305847460598;26.9696564810353;26.7887896910914;26.5852540953243;26.7297014966274;26.5558210686857;27.0718834161167;27.6239467404091;26.015047550859;26.4143677758231;27.1221582684039;26.9330407955424;26.6486454314314;27.0000295671941;26.9715888700414;27.4006115213619;27.2125125269554;26.8916092667637;26.8953044488745;26.5731620942319;27.0464601659543;27.2305123031425;27.10316061408;27.2019010081504;27.1518950662601;27.7523354077507;27.0354673334431;27.3087472893072;27.3249241251391;27.5117848287899;27.2623197280822;26.7932326737219;27.6979232311894
36.5;5.5;25.8480231561532;25.8026617550061;25.7351102714611;25.465627206123;25.590154009032;25.4280215280174;25.9409370020606;26.6379196240612;25.1063498001882;25.3555746061912;26.0178313981793;26.0409634938121;25.6162569503137;25.9374229321858;25.8656361971759;26.3223528082742;26.1292061611203;25.7254363143929;25.8772767395508;25.5058196929736;26.0490433591479;26.1777680877399;26.0009869459075;26.0241456557106;26.0360052489578;26.5793912516009;25.9460297354413;26.2150542574382;26.1561383375237;26.427669886909;26.2624650982383;25.689918338797;26.6358812824301
37.5;5.5;23.3220689339601;23.2087642802693;23.2386232457165;22.9204412320771;23.037229836509;22.8827721952476;23.3895712250352;24.1840667257116;22.7677479509448;22.8712097476051;23.4748814045979;23.6908592302505;23.1318539382869;23.4494637900427;23.3089423364829;23.7662636078761;23.6293889551659;23.0642414710249;23.4062698246709;22.9764330244516;23.6189698744734;23.697289510923;23.4583132041588;23.4058036305541;23.4624700146167;23.9821080090024;23.3807953630502;23.6815081894591;23.5931026616651;23.9169361180329;23.8219957932533;23.1790640339958;24.1056187277977
38.5;5.5;20.7256925040357;20.6140722659631;20.7046509961813;20.3348497638766;20.4766266753406;20.3139259473189;20.8276826379849;21.6137706572852;20.3985329733402;20.3882706091742;20.899975192293;21.2608209094742;20.6100166998215;20.9389753487335;20.7188702223792;21.1360192930102;21.1035689631778;20.3285379193385;20.8915697388552;20.3885283025104;21.1429882980455;21.2071779749796;20.8756821030996;20.7555473492471;20.8435724314307;21.3706275461645;20.7356462097512;21.1188316947483;21.0471186148857;21.3908520787455;21.2936601591003;20.6272624593427;21.500884849486
39.5;5.5;21.6332500766819;21.5232242483391;21.5779496935186;21.2684550694806;21.413212153847;21.2477740666872;21.78750096851;22.4719846302369;21.3967871889181;21.3569203304833;21.7764943919521;22.2036379845119;21.5543691614172;21.8351508166761;21.4961006120385;21.9579251083683;21.9946779919088;21.0344596369765;21.8401329370988;21.2811249712758;22.1023854489469;22.1716071032192;21.7887014406836;21.6138334657407;21.6732054369365;22.2042165628716;21.6011002217899;21.9736375827419;21.9859658975812;22.2932715222411;22.207908322198;21.5423086167115;22.3127528807893
40.5;5.5;23.7996708059877;23.698857740888;23.6837316370124;23.4256456287557;23.5934777488717;23.4128988569802;24.0290400517534;24.5631643250747;23.595246690461;23.5771068672798;23.8938451980909;24.3549425017389;23.7566177868796;23.9454264070805;23.4973770930626;24.0153198470234;24.0922533594354;23.0233834181787;24.0351157498368;23.4347044189214;24.298039774674;24.3879083394054;23.9686468216939;23.7457803125379;23.756722696714;24.2866002909678;23.7351697145828;24.0728408754472;24.1743071822828;24.4381774174584;24.3517325873957;23.6886004580623;24.3554375706097
41.5;5.5;27.0374573783931;26.9527757369018;26.8257511468133;26.6421907811866;26.7839298918186;26.6360215768858;27.3322590159768;27.7767324282309;26.809097920006;26.816916908749;27.052678120563;27.5053689803882;26.9953008283718;27.1109215869737;26.5218684367062;27.1463632995996;27.2109627997206;26.1824560289138;27.2308170343057;26.6842402106741;27.490462141842;27.5835809043563;27.2368343973348;26.9535236201819;26.9066171342057;27.3819707951734;27.0055693995967;27.1511518897402;27.3784432450788;27.5372098702426;27.5097624150279;26.895703761047;27.4313489023697
42.5;5.5;27.8088373941063;27.7249437175783;27.5299910361275;27.3395734792558;27.5069357718413;27.3910156602838;28.1509532552317;28.5202747443971;27.5352363101601;27.6065942742376;27.8003793666574;28.1864959824617;27.7707103479415;27.8248302830373;27.170701789987;27.8594669640914;27.8727050591567;26.9592581742244;27.9800433564297;27.4760806721615;28.2360460500559;28.3316573082088;28.028836053901;27.7033027133477;27.6273902331192;28.0412744165419;27.7907590922194;27.8134664461001;28.0969707918517;28.2048750249771;28.2131186545044;27.6551589780182;28.1044297591978
43.5;5.5;28.5545796859948;28.4572356076717;28.2223837448541;27.9703341337058;28.1999651270376;28.130147431837;28.9319815925235;29.252408867366;28.2127185700037;28.371050765846;28.5786867704541;28.83838703239;28.5139548823984;28.5319902677288;27.8669835278114;28.5971200595269;28.5198040811222;27.7802874610099;28.7125031025364;28.2444762724052;28.9680521536035;29.0505523543733;28.7816140787205;28.4301663888046;28.3567575836966;28.6934195931612;28.5276474712652;28.4813767299031;28.7633482559973;28.8570783506659;28.9057534485902;28.4051197174917;28.7964085659408
44.5;5.5;28.6919988843428;28.6484606868964;28.417771011859;28.0966442993694;28.3003572116933;28.2844474317383;28.9701874344149;29.3020250664164;28.32514467305;28.5412378818141;28.7515551952957;28.9146164481737;28.6903981521469;28.6998948816972;28.0601668006927;28.7751749334392;28.5842808666524;28.0802558401681;28.8522956136423;28.4430635338573;29.1471572906025;29.2156464172307;28.9476185638335;28.5946814330598;28.5540184146203;28.7876560690322;28.7299081332275;28.6135290656589;28.8669503541615;28.980156612342;29.0213168908248;28.5931497977441;28.9289278681851
45.5;5.5;28.3414887624772;28.3628186196732;28.1482225975615;27.7480337865106;27.9330968274479;27.9598036651796;28.5412092399579;28.888147643691;27.9699924669899;28.2377816221196;28.4546740259195;28.5290219426191;28.3927615729729;28.3877080876987;27.786176385491;28.4793262301443;28.1932227267592;27.9066233246841;28.5051007498993;28.1631037958445;28.8552254275879;28.9059660218753;28.6396013259437;28.2895614437052;28.2951118394113;28.4080316510351;28.4549820327212;28.2808638572848;28.4987015224031;28.6429896650933;28.6605480793514;28.3180012693304;28.5978833235606
